Unnamed: 0,24. Measurements,24. மோவுன்/மிதின்,"मोव्न, मितिन","ꢪꣂꢮꢸꢥ꣄, ꢪꢶꢡꢶꢥ꣄"
அகலம்  ,breadth,பெஸாவ்(கட்டிடம்)/ருந்தி(துணி),प॑साव (कट्टिटम) रुन्ति (तुणि),"ꢦꢾꢱꢵꢮ꣄ (ꢒꢜ꣄ꢜꢶꢜꢪ)꣄, ꢬꢸꢥ꣄ꢡꢶ (ꢡꢸꢠꢶ)"
அங்குலம்  ,inch,போ3ட்,बा॑ट्,ꢨꣂꢜ꣄
அடி  ,foot,அடி3,अडि,ꢂꢞꢶ
அளவு  ,measurement,மோவு,मोवु,ꢪꣂꢦꢸ
அளவு கோல்  ,scale,மோவுக2ட்டி,मोवुखट्टि,ꢪꣂꢦꢸ ꢓꢜ꣄ꢜꢶ
ஆரம்  ,radius,அரொ,अरा॑,ꢂꢬꣁ
ஆழம்  ,depth,நிம்னொ/லோத்,"निम्ना॑, लोत","ꢥꢶꢪ꣄ꢥꣁ, ꢭꣁꢡ꣄"
ஆழாக்கு  ,1/8 of a standard measurment,அட்னொ,अट्ना॑,ꢂꢜ꣄ꢥꣁ
உரி  ,half measure,ஹத்த3ட்3டொ3,हत्दड्डा॑,ꢲꢡ꣄ꢣꢞ꣄ꢞꣁ
உழக்கு  ,1/4 of a measure,காலட்3டொ3/சோவு,"कालड्डा॑, चोवु","ꢒꢵꢭꢞ꣄ꢞꣁ, ꢱꣂꢮꢸ"
நிறுத்தல் அளவை   ,measurement of weighing,பா4ர்மோவு,भार्मोवु,ꢩꢵꢬ꣄ꢪꣂꢮꢸ
எடை  ,weight,ஜோக்,जोक,ꢙꣂꢒ꣄
எண்ணல் அளவை   ,measurement of counting,மொவ்ஜன்மோவு,मा॑व्जन्मोवु,ꢪꣁꢮ꣄ꢙꢥ꣄ꢪꣂꢮꢸ
கருவி  ,instrument,உபகரணொ,उपकरणा॑,ꢆꢦꢒꢬꢠꣁ
கன அளவு   ,cubic measurement,க3னமோவு,गनमोपु,ꢔꢥꢪꣂꢦꢸ
கனம்  ,heavyness,பா4ர்,भार्,ꢩꢵꢬ꣄
கஜம்  ,yard,கெ3ஜ்ஜு,ग॑ज्जु,ꢔꢾꢙ꣄ꢙꢸ
குறுக்களவு  ,cross-section measurement,அவ்ட3மோவு,अव्डमोवु,ꢂꢮ꣄ꢞ ꢪꣂꢮꢸ
சதுர அளவு   ,square measurement,சத்ருல்மோவு,चत्रुल्मोपु,ꢗꢡ꣄ꢬꢸꢭ꣄ ꢪꣂꢮꢸ
சாண்  ,six inches or little more covering the tip of the stretched thumb to the tip of the stretched little finger,ஜாண்,जाण्,ꢙꢵꢠ꣄
சிட்டிகை  ,a pinch,சிம்டொ,चिटा॑,ꢗꢶꢪ꣄ꢜꣁ
சுற்றளவு  ,perimeter,பரிதி/குண்வயமோவு,"परिति, कुण्वयमोवु","ꢦꢬꢶꢡꢶ, ꢒꢸꢠ꣄ꢮꢫ ꢪꣂꢮꢸ"
தராசு  ,balance,துலொ/நராஜி,"तुला॑, नराजि","ꢡꢸꢭꣁ, ꢥꢬꢵꢙꢶ"
துண்டு  ,piece,குட்கொ,कुट्का॑,ꢒꢸꢜ꣄ꢒꣁ
துளி  ,drop,பி3ந்து3,बिन्दु,ꢨꢶꢥ꣄ꢣꢸ
தோலா  ,a weight of 10 grams,தோலொ,ता॑ळा॑,ꢡꣁꢭꣁ
நாழி  ,approximately little more than half litre,நாளி,नाळि,ꢥꢵꢳꢶ
