Unnamed: 0,25. Metals,25.லோஹுன்,लोहुन,ꢭꣁꢲꢸꢥ꣄
அலுமினியம்  ,aluminium,ஜெல்மின்,ज॑ल्मिन,ꢙꢾꢭ꣄ꢪꢶꢥ꣄
இரும்பு  / உருக்கு  ,iron,லொ:க3ண்,ल्हा॑गण्,ꢭꢴꣁꢔꢠ꣄
"ஈயம், காரீயம் ",lead,கெஸ்துல்,क॑स्तुल्,ꢒꢾꢱ꣄ꢡꢸꢭ꣄
உலோகம்  ,metal,லோஹு,लोहु,ꢭꣂꢲꢸ
ஐம்பொன் பஞ்சலோகம்  ,"an alloy of iron, gold, silver, brass and copper",பஞ்சலோஹு,पञ्चलोहु,ꢦꢛ꣄ꢗꢭꣂꢲꢸ
கண்ணாடி  ,glass,அத்3த3ம்/ஹபாள்/ த3வ்னொ/முக்ரொ,"अद्दम्, हपाळ, दव्ना॑, मुक्रा॑","ꢂꢣ꣄ꢣꢪ꣄, ꢲꢦꢵꢥ꣄, ꢣꢮ꣄ꢥꣁ, ꢪꢸꢒ꣄ꢬꣁ"
காந்தம்  ,magnet,கா3ந்தம்,गान्तम्,ꢔꢵꢥ꣄ꢡꢪ꣄
செம்பு  ,copper,தம்பெ3/தம்பு3ரம்,"तम्ब॑, तम्बुरम्","ꢡꢪ꣄ꢨꢾ, ꢡꢪ꣄ꢨꢸꢬꢪ꣄"
தகரம்  ,tin,தவ்/தெக3ட்,"तव, त॑कट्","ꢡꢭ꣄, ꢡꢾꢒꢜ꣄"
தங்கம்  ,gold,ஸொன்னொ/ ஸொர்ணு/அப்ரஞ்ஜி,"सा॑न्ना॑, सा॑र्णु, अप्रञ्जि","ꢱꣁꢥ꣄ꢥꣁ, ꢱꣁꢬ꣄ꢠꢸ, ꢂꢦ꣄ꢬꢛ꣄ꢙꢶ"
துத்தநாகம்  ,zinc,துத்தநாக்3,तुत्तनाग,ꢡꢸꢡ꣄ꢡꢥꢵꢔ꣄
நாகம்  ,zinc,நாக்3,नाग,ꢥꢵꢔ꣄
பித்தளை  ,brass,லீது,लीतु,ꢭꢷꢡꢸ
வெண்கலம்  ,bronze,கஸொ,कसा॑,ꢒꢱꣁ
வெள்ளி  ,silver,ருப்பொ,रुप्पा॑,ꢬꢸꢦ꣄ꢦꣁ
