Unnamed: 0,38.3. Months (Tamil Calender),ம:டா3ன்,म्हडान्,ꢪꢴꢞꢵꢥ꣄
சித்திரை  ,April-May,சைத்ரொ,चैत्रा॑,ꢗꣀꢡ꣄ꢬꣁ
வைகாசி  ,May-June,வைஸாக்,वैसाक,ꢮꣀꢱꢵꢒ꣄
ஆனி  ,June-July,ஜேஷ்டொ,जोष्टा॑,ꢙꣂꢰ꣄ꢜꣁ
ஆடி  ,July-August,ஆஷாடொ3,आषाडा॑,ꢃꢰꢵꢞꣁ
ஆவணி  ,August-September,ஸ்ராவணொ,स्रावणा॑,ꢱ꣄ꢬꢵꢮꢠꣁ
புரட்டாசி  ,September-October,பா4த்3ரபதொ3,भाद्रपदा॑,ꢩꢵꢣ꣄ꢬꢦꢣꣁ
ஐப்பசி  ,October-November,ஆஸ்வீஜொ,आस्वीजा॑,ꢃꢱ꣄ꢮꢷꢙꣁ
கார்த்திகை  ,November-December,கார்திகொ,कार्तिका॑,ꢒꢵꢬ꣄ꢡꢶꢒꣁ
மார்கழி  ,December-January,மார்க3ஸீர்ஸொ,मार्गसीर्सा॑,ꢪꢵꢬ꣄ꢔꢱꢷꢬ꣄ꢱꣁ
தை  ,January-February,புஷ்யொ,पुष्या॑,ꢦꢸꢰ꣄ꢫꣁ
மாசி  ,February-March,மாகொ4,माघा॑,ꢪꢵꢕꣁ
பங்குனி  ,March-April,பா2ல்கு3னி,फाल्गुनि,ꢧꢵꢭ꣄ꢔꢸꢥꢶ
 ,,,,
