Unnamed: 0,26. Music and Cultural Entertainments,26.ஸங்கீ3த் கினு கலாசாரு ஸொந்துன்,सङ्गीत किनु कलाचारु सा॑न्तुन,ꢱꢖ꣄ꢔꢷꢡ꣄ ꢒꢶꢥꢸ ꢒꢭꢵꢗꢵꢬꢸ ꢱꣁꢥ꣄ꢡꢸꢥ꣄
அரங்கம்  / அரங்கு,stage,மஞ்சு,मञ्चु,ꢪꢛ꣄ꢗꢸ
அரங்கேற்றம்  ,debut / maiden performance,பை2ல ப்ரத3ர்ஷனொ,फैल प्रदर्षना॑,ꢧꣀꢭ ꢦ꣄ꢬꢣꢬ꣄ꢰꢥꣁ
அரிகதை  ,religious discourse with narration,ஹரிகெ2தொ,हरिख॑ता॑,ꢲꢬꢶꢓꢾꢡꣁ
அரும்பொருட்காட்சியகம்   ,museum,புராதன வஸ்து ப்ரத3ர்ஷினி,पुरातन वस्तु प्रदर्षिनि,ꢦꢸꢬꢵꢡꢥꢮꢱ꣄ꢡꢸ ꢦ꣄ꢬꢣꢬ꣄ꢰꢶꢥꢶ
ஆட்டம்  ,dance, நாசு/நடனம்,"नाचु, नटनम","ꢥꢵꢗꢸ, ꢥꢜꢥꢪ꣄"
இசை  ,music,ஸங்கீ3த்,सङगीत्,ꢱꢖ꣄ꢔꢷꢡ꣄
இசைநிகழ்ச்சி  ,musical concert,ஸங்கீ3துவைப4வ்,सङगीतु वैभव,ꢱꢖ꣄ꢔꢷꢡꢸ ꢮꣀꢩꢮ꣄
ஒப்பனை  ,make up,ஸிங்க3ர்லினி,सिङकार्लिनि,ꢱꢶꢖ꣄ꢒꢵꢬ꣄ꢭꢶꢥꢶ
ஓரங்கநாடகம்   ,one act play,ஏகாங்கி நட்கம்,एकाङ्कि नट्कम,ꢍꢒꢵꢖ꣄ꢒꢶ ꢥꢜ꣄ꢒꢪ꣄
ஒலி ஒளிக்காட்சி   ,music and light programme,ஸப்3து3 ப்ரகாஷு த3ர்ஷனொ,सब्दुप्रकाषु दर्षना॑,ꢱꢨ꣄ꢣꢸ ꢦ꣄ꢬꢒꢵꢱꢸ ꢣꢬ꣄ꢰꢥꣁ
ஒலிப்பதிவு  ,sound recording,தொ4னி பஞ்ஜீகரணொ,धोनि पञ्जीकरणा॑,ꢤꣁꢥꢶ ꢦꢛ꣄ꢙꢷꢒꢬꢠꣁ
ஒலிப்பெருக்கி  ,loudspeaker,ஸப்3து3கு3ண்வி,सब्दु गुण्वि,ꢱꢨ꣄ꢣꢸꢔꢸꢠ꣄ꢮꢶ
ஓவியம்  ,painting,சித்ரு,चित्रु,ꢗꢶꢡ꣄ꢬꢸ
கச்சேரி  ,concert,ஸங்கீ3த வைப4வ்,सङ्गीत वैभव,ꢱꢖ꣄ꢔꢷꢡ ꢮꣀꢩꢮ꣄
கட்டை  ,pitch,கீ3துஸ்ருதி/க3வ்னி ஸ்தா2ன்/ஸ்தானப்ரயத்னொ,"गीतुस्रुति, गव्निस थान, स्तानप्रयत्ना॑","ꢒꢷꢡꢸꢱ꣄ꢬꢸꢡꢶ, ꢔꢮ꣄ꢥꢶꢱ꣄ꢢꢵꢥ꣄, ꢱ꣄ꢡꢵꢥꢦ꣄ꢬꢫꢡ꣄ꢥꣁ"
கண்கட்டு வித்தை   ,magic,மோடி3வித்தெ,मोटिवित्त॑,ꢪꣂꢜꢶ ꢮꢶꢡ꣄ꢡꢾ
கலை  ,art,கலொ,कला,ꢒꢭꢵ
கலைஞன்  ,artiste,கலாகார்,कलाकार्,ꢒꢭꢵꢒꢵꢬ꣄
காட்சி  ,scene,காக்ஷி,काक्षि,ꢒꢵꢒ꣄ꢰꢶ
கிராமிய நடனம்   ,a folk dance,க்3ராமிய நாசு,ग्रामिय नाचु,ꢔ꣄ꢬꢵꢪꢶꢫ ꢥꢵꢗꢸ
கும்மி  ,a group dance,ஜெதொமிளி க2ளந்நாசு,जेतोमिळि खळन्नाचु,ꢙꢾꢡꣁꢪꢶꢳꢶ ꢓꢳꢥ꣄ꢥꢵꢗꢸ
குஸ்தி  ,wrestling,மல்லயுத்3து3,मल्लयुद्दु,ꢪꢭ꣄ꢭꢫꢸꢣ꣄ꢣꢸ
கூத்து  ,a folk dance,நாசு,नाचु,ꢥꢵꢗꢸ
கொட்டகை  ,theatre,நாசுகொ2ட்டொ,नाचुखा॑ट्टा॑,ꢥꢵꢗꢸ ꢓꣁꢜ꣄ꢜꣁ
கோட்டுவாத்தியம்  ,a musical instrument,சித்ரவீணொ,चित्रवीणा॑,ꢗꢶꢡ꣄ꢬ ꢮꢷꢠꢾ
கோமாளி  ,clown,விதூ4ஷக்,विधूषक्,ꢮꢶꢤꢹꢰꢒ꣄
கோலாட்டம்  ,a native dance with sticks,கோலுகா2ள்,कोलु खाल्,ꢒꣁꢭꢸ ꢓꢵꢭ꣄
சங்கீதம்  ,music,ஸங்கீ3த்,सङ्गीत्,ꢱꢖ꣄ꢔꢷꢡ꣄
சாரீரம்  ,"sound quality, tone",ஸுக4டி3/க4டி3 உடாவ்,"सुघडि, घडि उटाव","ꢱꢸꢕꢞꢶ, ꢕꢞꢶ ꢆꢜꢵꢮ꣄"
,,சித்ரு,चित्रु,ꢗꢶꢡ꣄ꢬꢸ
செண்டை  ,a drum,செண்டெ,च॑ण्ट॑,ꢗꢾꢠ꣄ꢜꢾ
தயாரிப்பாளர்  ,producer,தயார் கெர்னார்,तयार क॑र्नार,ꢡꢫꢵꢬ꣄ ꢒꢾꢬ꣄ꢥꢵꢬ꣄
தயாரிப்பு  ,production,தயார்கெர்னி,तयार्क॑र्नि,ꢡꢫꢵꢬ꣄ꢒꢾꢬ꣄ꢥꢶ
