அரை  ,half,ஹத்3து3,हद्दु,ꢲꢣ꣄ꢣꢸ
அரைக்கால்  ,one eight,அர்க்யால்,अर्क्याल,ꢂꢬ꣄ꢒ꣄ꢫꢵꢭ꣄
இலக்கம்  ,"digit, number",அங்கொ,अङ्का॑,ꢂꢖ꣄ꢒꢾ
எண்  ,number,ஸங்க்2யொ,सङ्ख्यो,ꢱꢖ꣄ꢓ꣄ꢫꣁ
கால்  ,quarter,ஸொவு,सा॑वु,ꢱꣂꢮꢸ
மாகாணி  ,1/16 of a measure,களொ/விஸமட்3டொ3,"कळा॑, वीसमड्डा॑","ꢒꢳꣁ, ꢮꢷꢱꢪꢞ꣄ꢜꣁ"
முக்கால்  ,three-fourth,திவ,तिव,ꢡꢶꢮ
முண்டாணி  ,1/32 of a measure,"ஸிலி, ஸத்3து3விஸம்","सिलि, सद्दुविसम्","ꢱꢶꢭꢶ, ꢱꢣ꣄ꢣꢸꢮꢶꢱꢪ꣄"
பாழ்  ,zero,ஸுந்ய,सून्य,ꢱꢸꢥ꣄ꢫ
பூஜியம்  ,zero,ஸுந்நு,सुन्नु,ꢱꢸꢥ꣄ꢥꢸ
ஒன்று  ,one,யோக்3,योग्,ꢫꣂꢔ꣄
இரண்டு  ,two,தீ3,दी,ꢣꢷ
மூன்று  ,three,தீ3நு,दीनु,ꢣꢷꢥꢸ
நான்கு  ,four,சாரு,चारु,ꢗꢵꢬꢸ
ஐந்து  ,five,பாஞ்ச்,पाञ्च्,ꢦꢵꢛ꣄ꢗ꣄
ஆறு  ,six,ஸோ,सो,ꢱꣂ
ஏழு,seven,ஸாத்2,साथ्,ꢱꢵꢢ꣄
எட்டு  ,eight,ஆட்2,आठ्,ꢃꢝ꣄
ஒன்பது  ,nine,நொவ்,ना॑व्,ꢥꣁꢮ꣄
பத்து  ,ten,தெ3ஸ்,द॑स्,ꢣꢾꢱ꣄
பதினொன்று  ,eleven,விக்யார்,विक्यार्,ꢮꢶꢒ꣄ꢫꢵꢬ꣄
பன்னிரண்டு  ,twelve,பா3ர்,बार्,ꢨꢵꢬ꣄
பதிமூன்று  ,thirteen,தேர்,तेर्,ꢡꢿꢬ꣄
பதினான்கு  ,fourteen,சொவ்த்3,चा॑व्द्,ꢗꣁꢮꢣ꣄
பதினைந்து  ,fifteen,ப2ந்த3ர்,फ्न्दर्,ꢧꢥ꣄ꢣꢬ꣄
பதினாறு  ,sixteen,ஸொவள்,सा॑वळ,ꢱꣁꢮꢳ꣄
பதினேழு  ,seventeen,ஸத்தர்,सत्तर्,ꢱꢡ꣄ꢡꢬ꣄
பதினெட்டு  ,eighteen,அடா2ர்,अठार्,ꢂꢝꢵꢬ꣄
பத்தொன்பது  ,nineteen,ஒக்நீஸ்,आ॑क्नीस्,ꢏꢒ꣄ꢥꢷꢱ꣄
இருபது  ,twenty,வீஸ்,वीस्,ꢮꢷꢱ꣄
முப்பது  ,thirty,தீஸ்,तीस्,ꢡꢷꢱ꣄
முப்பத்திரண்டு  ,thirty two,தீ3களதீஸ்,दीकळतीस्,ꢣꢷꢒꢳꢡꢷꢱ꣄
நாற்பது  ,forty,சளிஸ்,चळिस्,ꢗꢳꢶꢱ꣄
நாற்பத்துமூன்று   ,forty three,தீ2ந்களசளிஸ்,थिन्कळ चळिस्,ꢢꢷꢥ꣄ꢒꢳ ꢗꢳꢶꢱ꣄
ஐம்பது  ,fifty,பொந்நாஸ்,पा॑न्नास्,ꢦꣁꢥ꣄ꢥꢵꢱ꣄
ஐம்பத்து நான்கு   ,fifty four,சார்கள பொந்நாஸ்,चार्कळ पा॑न्नास्,ꢗꢵꢬ꣄ꢒꢳ ꢦꣁꢥ꣄ꢥꢵꢱ꣄
அறுபது  ,sixty,ஸாட்,साट्,ꢱꢵꢜ꣄
அறுபத்தைந்து  ,sixty five,பாஞ்சளஸாட்,पाञ्सळसाट्,ꢦꢵꢛ꣄ꢗꢳ ꢱꢵꢜ꣄
எழுபது  ,seventy,ஸீர்,सीर्,ꢱꢷꢬ꣄
