Unnamed: 0,28. Physique and Physical Deformities,ஶெரீர் கினு ஶெரிரு விகாருன்,श॑रीर किनु श॑रीरु विकारुन,ꢯꢾꢬꢷꢬ꣄ ꢒꢶꢥꢸ ꢯꢾꢬꢶꢬꢸ ꢮꢶꢒꢵꢬꢸꢥ꣄
அங்கஹீனம்  / உடல் ஊனம்   ,physical deformity,அங்க3 விகாருன்/ ஶாரீரிக விகாருன்,"अङ्गविकारुन, सारीरिक विकारुन","ꢂꢖ꣄ꢔꢮꢶꢒꢵꢬꢸꢥ꣄, ꢯꢵꢬꢷꢬꢶꢒ ꢮꢶꢒꢵꢬꢸꢥ꣄"
,,"அங்க3ஹினு, ஷாரீரிக, அஷகதத","अङ्गहीनु, शारीरिक, अष्कतत","ꢂꢖ꣄ꢔꢲꢷꢥꢸ, ꢯꢵꢬꢷꢬꢶꢒ, ꢂꢰ꣄ꢒꢡꢡ"
உடல் ஊனமுற்றோர்   ,physically handicapped,அங்க3ஹீனுன்/நூனஶரீரி,"अङ्गहीनुन्, नूनुशरीरि","ꢂꢖ꣄ꢔꢲꢷꢥꢸꢥ꣄, ꢥꢹꢥꢯꢬꢷꢬꢶ"
ஊமை  / ஊமையன்  ,dumb,"மூகொ, மூகொ2","मूका॑, मूखा॑","ꢪꢹꢒꣁ, ꢪꢹꢓꣁ"
ஊமைச்சி  ,dumb (female),மூகி,मूकि,ꢪꢹꢒꢶ
ஓரக் கண்ணன்   ,squint eyed man,ஒரொதொ3ளொவான்/ஒரொதொ3ளிவான்,"ओरोदोलोवान, ओरोदोलिवान","ꢏꢬꣁꢣꣁꢭꣁꢮꢵꢥ꣄, ꢏꢬꣁꢣꣁꢭꢶꢮꢵꢥ꣄"
ஓரக் கண்ணி   ,squint eyed woman,ஒரொதொ3ளி,ओरोदोलि,ꢏꢬꣁꢣꣁꢭꢶ
,,யோகதொ3வாம்,योकदोलवान,ꢫꣁꢒ꣄ ꢣꣁꢭꢮꢵꢥ꣄
காதுகேளாதோர்   ,deaf persons,செவுட்3/எடொ3,"च॑वुट्, ए॑डा॑","ꢗꢾꢮꢸꢜ꣄, ꢌꢞꣁ"
குட்டை  ,"dwarf, short",அக்குரொ/குள்ளொ,"अक्कुरा॑, कुळ्ळा॑","ꢂꢒ꣄ꢒꢸꢬꣁ, ꢒꢸꢳ꣄ꢳꣁ"
