Unnamed: 0,46. Pronouns (Personal and Interrogatives),46.புருஷ ப்ரதி நாவுன் கினு புஸ்னின்,पुरुष प्रति नावुन किनु पुस्निन,ꢦꢸꢬꢸꢰ ꢦ꣄ꢬꢡꢶ ꢥꢵꢮꢸꢥ꣄ ꢒꢶꢥꢸ ꢦꢸꢱ꣄ꢥꢶꢥ꣄
நான்  ,I,மீ,मी,ꢪꢷ
நாம்  ,we (incl.),அமி,अमि,ꢂꢪꢶ
நாங்கள்  ,we (excl.),அமி,अमि,ꢂꢪꢶ
நீ  ,you (sg.),தூ,तू,ꢡꢹ
நீர்  ,you (sg. hon.),துமி,तुमि,ꢡꢸꢪꢶ
நீவீர்  ,you (sg. hon.),துமி,तुमि,ꢡꢸꢪꢶ
நீங்கள்  ,you (pl. and sg. hon.),துமி,तुमि,ꢡꢸꢪꢶ
இவன்  ,he (prox.),எனொ,ए॑ना॑,ꢌꢥꣁ
இவள்  ,she (prox.),இனொ,इना॑,ꢄꢥꣁ
இவர்  ,he (prox. hon.),எனு,एनु,ꢌꢥꢸ
இவர்கள்  ,they (prox.),எனு,एनु,ꢌꢥꢸ
இது  ,it (prox.),எல்யொ,एल्या॑,ꢌꢭ꣄ꢫꣁ
இவை  ,they (prox. N.H.),எல்யெ,एल्ये,ꢌꢭ꣄ꢫꢾ
அவன்  ,he (rem.),தெனொ,त॑ना॑,ꢡꢾꢥꣁ
அவள்  ,she (rem.),தினொ,तिना॑,ꢡꢶꢥꣁ
அது  ,it (rem.),த்யொ,त्या॑,ꢡ꣄ꢫꣁ
அவை  ,they (rem. N.H.),த்யெ,त्य॑,ꢡ꣄ꢫꢾ
தான்  ,reflexive (sg. hon.),அபுல்,अपुल,ꢂꢦꢸꢭ꣄
தாம்  ,reflexive (pluhon.),அப்லான்,अप्लान्,ꢂꢦ꣄ꢭꢵꢥ꣄
தாங்கள்  ,reflexive you (plu. hon.),துமி,तुमि,ꢡꢸꢪꢶ
எவன்  ,he (inter.),கோன்,कोन्,ꢒꣂꢥ꣄
எவள்  ,she (inter.),கோன்,कोन्,ꢒꣂꢥ꣄
எவர்  ,he (inter. hon.),கோன்,कोन्,ꢒꣂꢥ꣄
எவர்கள்  ,they (inter.),கோன்கோன்,कोन् कोन्,ꢒꣂꢥ꣄ꢒꣂꢥ꣄
எது  ,which,கோனெ/கோன்யெ,"कोन॑, कोन्य॑","ꢒꣂꢥꢾ, ꢒꣂꢥ꣄ꢫꢾ"
எவை  ,which (pl.),கோனெ/கோன்யொ,"कोन॑, कोन्या॑","ꢒꣂꢥꢾ, ꢒꣂꢥ꣄ꢫꣁ"
யார்  ,who,கோன்,कोन्,ꢒꣂꢥ꣄
 ,,,,
