அதிமதுரம்  ,licorice,அதி3மது4ரம்,अदिमधुरम,ꢂꢣꢶꢪꢤꢸꢬꢪ꣄
அரிசி  ,rice,தந்து3,तन्दु,ꢡꢥ꣄ꢣꢸ
ஆமணக்கு  ,castor,ஏரண்டொ3,एरण्डा॑,ꢍꢬꢠ꣄ꢞꣁ
இஞ்சி  ,ginger,அல்லொ,अल्ला॑,ꢂꢭ꣄ꢭꣁ
இலவங்கம்  ,cloves,லொம்பூ2ல்,ला॑म्पूल,ꢭꣁꢪ꣄ꢧꢹꢭ꣄
உப்பு  ,salt,மீட்,मीट्,ꢪꢷꢜ꣄
உமி  ,husk of paddy,உங்கொ/துஸொ,"उङ्का॑, दुसा॑","ꢆꢖ꣄ꢒꣁ, ꢣꢸꢱꣁ"
உருளைக் கிழங்கு   ,potato,து4ள்மூள்,धुळ्मूळ,ꢤꢹꢳ꣄꣄ꢪꢹꢳ꣄꣄
உள்ளி  ,onion,கந்தொ3,कन्दा॑,ꢒꢥ꣄ꢣꣁ
உளுந்து  ,blackgram,உடி3த்,उडित्,ꢆꢞꢶꢡ꣄
எண்ணெய்  ,oil,தேல்,तेल्,ꢡꢿꢭ꣄
எள்ளு  ,gingili,தீள்,तीळ,ꢡꢷꢳ꣄꣄
ஏலம்  ,cardamom,எலொ,एला॑,ꢌꢭꣁ
ஓமம்  ,bishop`s weed,ஒமொ,आ॑मा॑,ꢏꢪꣁ
கசகசா  ,poppy seed,க3ஸக3ஸால்,गसगसाल,ꢔꢱꢔꢱꢵꢭ꣄
பொரிக்கடலை  ,Bengal gram,சென்னொ,च॑न्ना॑,ꢗꢾꢥ꣄ꢥꣁ
கடுகு  ,mustard,மு:ரி,म्हुरि,ꢪꢴꢸꢬꢶ
கருவாப்பட்டை  ,cinnamon,லவங்க3 பட்டொ,लवङ्गपट्टै,ꢭꢮꢖ꣄ꢔ ꢦꢜ꣄ꢜꣀ
கல்கண்டு  ,Sugar crystal,கெ2ண்டு3/ இக்ஷுகெ3ட்3டொ3,"ख॑ण्डि, इक्षुग॑ड्डा॑","ꢓꢾꢠ꣄ꢞꢸ, ꢄꢒ꣄ꢱꢸꢔꢾꢞ꣄ꢞꣁ"
"காணம், கொள்ளு  ",horsegram,குளித்,कुळित,ꢒꢸꢳꢶꢡ꣄ 
காப்பிப்பொடி  ,coffee powder,காபிபு4ர்கொ,कापिभुर्का॑,ꢒꢵꢦꢶꢩꢸꢬ꣄ꢒꣁ
பெருங்காயம்  ,asafoetida,ஹிங்கு3,हिङ्गु,ꢲꢶꢖ꣄ꢔꢸ 
,,ரொம்பு2ல்,रोम्फुल्,ꢬꣁꢪ꣄ꢧꢸꢭ꣄
கிஸ்மிஸ்  ,Drygrapes,கிஸ்மிஸ்,किस्मिस्,ꢒꢶꢱ꣄ꢪꢶꢱ꣄
குங்குமப்பூ  ,saffron,குங்கு3ம்பூ2ல்/கேஸரி,"कुङ्कुम्फूल्, केसरि","ꢒꢸꢖ꣄ꢒꢸꢪ꣄ꢧꢸꢭ꣄, ꢒꢾꢱꢬꢶ "
கூழுமாவு  ,arrowroot powder,ஆரவல்லிபு4ர்கொ,आरवल्लि भुका॑,ꢃꢬꢮꢭ꣄ꢭꢶ ꢩꢸꢬ꣄ꢒꣁ
கேழ்வரகு  ,ragi,ர:கி3,र्हगि,ꢬꢴꢔꢶ
கேசரி  ,saffron powder,கேஸரி பு4ர்கொ,केसर्भुका॑,ꢒꢿꢱꢬꢶꢩꢸꢬ꣄ꢒꣁ
கொண்டைக் கடலை   ,Bengal gram,கச்சென்னொ,कच्च॑न्ना॑,ꢒꢗ꣄ꢗꢾꢥ꣄ꢥꣁ
கொத்துமல்லி  ,coriander,த4னியா/கொத்தமல்லி,"धनिया, का॑त्तमल्लि","ꢤꢥꢶꢫꢵ, ꢒꣁꢡ꣄ꢡꢪꢭ꣄ꢭꢶ"
கொப்பரைக் தேங்காய்    ,copra,ஸுக்கெநரெள்,सुक्क॑ नर॑ल,ꢱꢸꢒ꣄ꢒꢾ ꢥꢬꢾꢭ꣄
கோதுமை  ,wheat,கோ4மு/ கோ4ம தந்து3,"घोमु, घोम तन्दु","ꢕꣁꢪꢸ, ꢕꣂꢪ ꢡꢥ꣄ꢣꢸ"
சர்க்கரை  ,sugar,ஸெக்கர்,सेक्कर्,ꢱꢾꢒ꣄ꢒꢬ꣄
சிறுபயிறு  ,green gram,நிளம்,निळम्,ꢥꢶꢳꢪ꣄
சிகைக் காய்ப்பொடி   ,soapnut powder,ஸிகா3ய்பு4ர்கொ,सिगाय्भुका॑,ꢱꢶꢔꢵꢫ꣄ꢩꢸꢬ꣄ꢒꣁ
சீரகம்  ,cummin seeds,ஜிரொ,जिरा॑,ꢙꢶꢬꣁ
சீனி  ,sugar,ஸெக்கர்,सेक्कर्,ꢱꢾꢒ꣄ꢒꢬ꣄
சீனிக் கிழங்கு   ,sweet potato,ஸெக்கரு கெளங்கு3  ,स॑क्कर क॑ळङ्कु,ꢗꢾꢒ꣄ꢒꢬ꣄ ꢒꢾꢳꢖ꣄ꢒꢸ
சுக்கு  ,dry ginger,ஸொண்டி,सा॑ण्टि,ꢱꣁꢠ꣄ꢜꢶ
சோடா உப்பு   ,caustic soda,ஸோடா3மீட்,सा॑डा मीट्,ꢫꣂꢞ ꢪꢷꢜ꣄
சோளம்  ,maize,ஜொ2ள்ளொ,झा॑ळ्ळा॑,ꢚꣁꢳ꣄ꢳꣁ
தவிடு  ,bran,கொண்டொ3,का॑ण्डा॑,ꢒꣁꢠ꣄ꢞꣁ
துவரம் பருப்பு   ,arahar daal,தோ2ருபெ3ளொ,थोरु ब॑ळा॑,ꢤꣂꢬꢸꢨꢾꢳꣁ 
துவரை  ,arahar pod,தோ2ர்,थोर्,ꢤꣂꢬ꣄
தேங்காய் எண்ணெய்   ,coconut oil,நரளுதேல்,नरळु तेल,ꢥꢬꢸꢳꢸ ꢡꢾꢭ꣄
தேயிலை  ,tea,டீ,टी,ꢜꢷ
நல்லெண்ணெய்  ,gingili oil,சொகட்தேல்,चा॑कट्तेल,ꢗꣁꢒꢜ꣄ꢡꢾꢭ꣄
நிலக்கடலை  ,ground nut,பொ4இ~ சென்னொ/கட3லெ,"भोइ~ च॑न्ना॑, कडल॑","ꢩꣁꢄꢄ ꢗꢾꢥ꣄ꢥꣁ, ꢒꢞꢭꢾ"
நெல்  ,paddy,ஸாள்,साल्,ꢱꢵꢭ꣄
பட்டாணி  ,peas,பட்டாணி,पट्टाणि,ꢦꢜ꣄ꢜꢵꢠꢶ
பருப்பு  ,daal,பெ3ளொ,ब॑ळा॑,ꢨꢾꢳꣁ 
பலசரக்கு  ,provisions,ஸிஸ்லொ,सिस्ला॑,ꢱꢶꢱ꣄ꢭꣁ
பாக்கு  ,arecanut,ஹப்பள்,अप्पळ,ꢂꢦ꣄ꢦꢳ꣄
பாசிப்பயிறு  ,green gram,நிளமுபெ3ளொ,निलमु ब॑ळा॑,ꢥꢶꢭꢪꢸ꣄ ꢨꢾꢳꣁ
பாதாம் பருப்பு   ,almond,பா3தா3ம்,बादाम्,ꢨꢵꢣꢵꢪ꣄
பார்லி  ,barley,பா3ர்லி,बार्लि,ꢨꢵꢬ꣄ꢭꢶ
புகையிலை  ,tobacco,து4ம்பான்,धुम्पान्,ꢤꢸꢪ꣄ꢦꢵꢥ꣄
புழுங்கல் அரிசி   ,boiled rice,ஹுட3 தந்து3,हुड तन्दु,ꢲꢸꢞ ꢡꢥ꣄ꢣꢸ
புளி  ,tamarind,சீஸ்,चीस्,ꢗꢷꢱ꣄
பூண்டு  ,garlic,லொஸன்,ला॑सन,ꢭꣁꢱꢥ꣄
பெருஞ்சீரகம்  ,aniseed,மொ:ட3ஜிரொ,म्हा॑ड जिरा॑,ꢪꢴꣁꢞ ꢙꢶꢬꣁ
மக்காச்சோளம்  ,maize,ஜொ2ள்ளொ,झा॑ळ्ळा॑,ꢚꣁꢳ꣄ꢳꣁ
மஞ்சள்  ,turmeric,ஹளத்,हळत्,ꢲꢳꢡ꣄
மண்ணெண்ணெய்  ,kerosine,தி3க3ரம்,दिगरम्,ꢣꢶꢔꢬꢪ꣄
,,மூல்துல்லொ ஆல்வல்லி கிழங்கு3,मूल्पुल्ला॑ आल्वल्लि किळङ्गु,ꢪꢹꢭ꣄ꢡꢸꢭ꣄ꢭꣁ ꢃꢭ꣄ꢮꢭ꣄ꢭꢶ  ꢒꢶꢳꢖ꣄ꢔꢸ
,,ஆல்வல்லி கிழங்கு3,आल्वल्लि किळङ्गु,ꢃꢭ꣄ ꢮꢭ꣄ꢭꢶ ꢒꢶꢳꢖ꣄ꢔꢸ 
மாவு  ,flour,பீட்,पीट्,ꢦꢷꢜ꣄
மிளகு  ,pepper,மிரி,मिरि,ꢪꢶꢬꢶ
முந்திரிப் பருப்பு   ,cashew nut,காஜு,काजु,ꢒꢵꢙꢸ
மொச்சைப் பயிறு   ,bean gram,கென்னு,क॑न्नु,ꢒꢾꢥ꣄ꢥꢸ
ரவை  ,suji,ரவெ/ஸொஜ்ஜி,"रव॑,सा॑ज्जि","ꢬꢮꢾ, ꢱꣁꢙ꣄ꢙꢶ"
வால்மிளகு  ,tail pepper,பூஸுமிரி,पूसुमिरि,ꢦꢹꢱꢸ ꢪꢶꢬꢶ
வெஞ்சனம்  ,Sidedish,சய்லி,चय्लि,ꢗꢫ꣄ꢭꢶ
வெந்தயம்  ,fenugreek,மித்தி,मित्ति,ꢪꢶꢡ꣄ꢡꢶ
வெல்லம்  ,Jaggary,கு3ள்ளு/கு3ட்3ளு,"गुळ्ळु, गुड्ळु","ꢔꢸꢳ꣄ꢳꢸ, ꢔꢸꢞ꣄ꢳꢸ"
வெள்ளைப் பூண்டு   ,garlic,லொஸன்,ला॑सन्,ꢭꣁꢱꢥ꣄
வேர்க்கடலை  ,groundnut,கட3லெ,कडल॑,ꢒꢞꢭꢾ
ஜாதிக்காய்  ,nutmeg,ஜாதி கய்லொ,जाति कय्ला॑,ꢙꢵꢡꢶ ꢒꢫ꣄ꢭꣁ
சித்தரத்தை,galangal,து4ம்பு3ராஸ்டு,धुम्बुरास्टु,ꢤꢸꢪ꣄ꢨꢸꢬꢵꢱ꣄ꢜꢸ
பேரிச்சம்பழம்,dates,க2ஜுர்/க2ஸ்லொ,"खजुर, खस्ला॑","ꢓꢙꢸꢬ꣄, ꢓꢱ꣄ꢭꣁ"
பச்சரிசி,,கஸ்தந்து3,कस्तन्त्तु,ꢒꢱ꣄ꢡꢥ꣄ꢡꢸ
