Unnamed: 0,36. Seasons and Weather,ருதுன் கினு வாதாவரனுன்,रुतुन किनु वातावरनुन,ꢬꢸꢡꢸꢥ꣄ ꢒꢶꢥꢸ ꢮꢵꢡꢵꢮꢬꢥꢸꢥ꣄
அமாவாசை  ,new moon,அமாஸ்,अमास्,ꢂꢪꢵꢱ꣄
இலையுதிர்காலம்   ,autumn,வரா கால்,वरा काल,ꢮꢬꢵ ꢒꢵꢭ꣄
ஒலி  ,sound,ஸப்3து3,सप्तु,ꢱꢨ꣄ꢣꢸ
ஒளி  ,light,ப்ரகாஷ்,प्रकाष,ꢦ꣄ꢬꢒꢵꢰ꣄
காலநிலை  ,weather,வாதாவரன்,वातावरन,ꢮꢵꢡꢵꢮꢬꢥ꣄
காலம்  ,season,வேள்/கால்,"वेळ, काल्","ꢮꢿꢳ꣄꣄, ꢒꢵꢭ꣄"
குளிர்  ,chill/coldness,ஹிமுஸ்,हिमुस्,ꢲꢶꢪꢸꢱ꣄
குளிர்காலம்  ,winter season,ஹிமளொ/ஹிமுஸுகால்,"हिमुळा॑, हिमुसु काल","ꢲꢶꢪ꣄ꢳꣁ, ꢲꢶꢪꢸꢱꢹ ꢒꢵꢭ꣄"
கோடை காலம்   ,summer season,ஹூனுகால்/ க்3ரீஷ்ம கால்,"हूनुकाल, ग्रीष्म काल","ꢲꢹꢥꢸꢒꢵꢭ꣄, ꢔ꣄ꢬꢷꢰ꣄ꢪ ꢒꢵꢭ꣄"
சூடு  ,heat,ஹுன்னொ,हून्ना॑,ꢲꢹꢥ꣄ꢥꣁ
தட்பம்  ,cold,ஸிள்ளொ/ஶீதள்,"सिळ्ळा॑, शीतळ","ꢱꢶꢳ꣄ꢳꣁ, ꢯꢷꢡꢳ꣄"
தட்பவெப்ப நிலை   ,climate/weather,ஸீதோஷ்ணொ,सीता॑ष्णा॑,ꢱꢷꢡꣂꢰ꣄ꢠꣁ
தென்றல்  ,southwind/ breeze,முகுல் வரொ,मुकुल्वरा॑,ꢪꢸꢒꢸꢭ꣄ ꢮꢬꣁ
பருவம்  ,season,ருது,रुतु,ꢬꢸꢡꢸ
பருவ மழை   ,monsoon,ருது பொவ்ஸ்,रुतु पा॑व्स,ꢬꢸꢡꢸ ꢦꣁꢮ꣄ꢱ꣄
பனிக்காலம்  ,winter,ஹிமுஸுகால்/ஹிமளொ,"हिमुसुकाल, हिमळा॑","ꢲꢶꢪꢸꢱ꣄ꢒꢵꢭ꣄, ꢲꢸꢪꢳꣁ"
பெளர்ணமி  ,full moon,புண்ணிம்/ பூர்ணிமொ,"पुण्णिम, पूर्णिमा॑","ꢦꢸꢠ꣄ꢠꢶꢪ꣄, ꢦꢹꢬ꣄ꢠꢶꢪꣁ"
வசந்த காலம்  ,spring season,வஸந்த கால்/ வஸந்த ருது,"वसन्त काल, वसन्त रुतु","ꢮꢱꢥ꣄ꢡ ꢒꢵꢭ꣄, ꢮꢱꢥ꣄ꢡ ꢬꢸꢡꢸ"
வாடை  ,northwind,ஒஸ்தா வரொ,आ॑स्ता वरा॑,ꢏꢱ꣄ꢡꢵ ꢮꢬꣁ
வெப்பம்  ,heat,ஹுன்னொ,हुन्ना॑,ꢲꢸꢥ꣄ꢥꣁ
வேனிற்காலம்  ,summer season,ஹூனு கால்/ க்3ரீஷ்ம ருது,"हूनु काल, ग्रीष्म रुतु","ꢲꢹꢥꢸ ꢒꢵꢭ꣄, ꢔ꣄ꢬꢷꢰ꣄ꢪ ꢬꢸꢡꢸ"
 ,,,,
