Unnamed: 0,48. Simple Verbs,48.மூலக்ரியா பதா3ன்,मूलक्रिया पदान,ꢪꢹꢭꢒ꣄ꢬꢶꢫꢵ ꢦꢣꢵꢥ꣄
அகட்டு (இன்)  ,keep (them) wide,தொ3ப்3பி3,दा॑ब्बि,ꢣꣁꢨ꣄ꢨꢶ
அகல் (ன்ற்)  ,go away,ஜா,जा,ꢙꢵ
அகவு (இன்)  ,cock (like pea-cock),கூக்3,कूग,ꢒꢹꢔ꣄
அகற்று (இன்)  ,"remove, separate",ஹேட்,हेट्,ꢲꢿꢜ꣄
அங்கீகரி (த்த்)  ,recognize,அங்கி3கார்,अङ꣄किकार्,ꢂꢖ꣄ꢔꢶꢒꢵꢬ꣄
அசை (ந்த்)  ,to move(something),ஹல்லாட்,हल्लाट्,ꢲꢭ꣄ꢭꢵꢜ꣄
அஞ்சு (இன்)  ,fear,தா4க்,धाक्,ꢤꢵꢒ꣄
அடக்கு (இன்)  ,subdue,உட்3கா3ட்,उट्गाट्,ꢆꢜ꣄ꢔꢵꢜ꣄
அடங்கு (இன்)  ,to be subdued,உட்3கி3,उट्गि,ꢆꢜ꣄ꢔꢶ
அடி (த்த்)  ,beat,ஹான்,हान्,ꢲꢵꢥ꣄
அடு (த்த்)  ,approach,லந்தி3,लन्दि,ꢭꢥ꣄ꢣꢶ
அடுக்கு (இன்)  ,arrange,ஸெந்தி,स॑न्ति,ꢱꢾꢥ꣄ꢡꢶ
அடை (ந்த்)  ,To reach,ஜீசேர்,जी चेर्,ꢙꢷ ꢗꢿꢬ꣄
அடை (த்த்)  ,close,ஜா2கி3,झागि,ꢚꢵꢔꢶ
அண்ணார் (ந்த்)  ,see up,உஞ்சொ ஸா,उञ꣄चा॑ सा,ꢆꢛBꢗꣁ ꢱꢵ
அணி (ந்த்)  ,wear,க4ல்லே/பி2ர்லே,"घल्ले, फिर्ले","ꢕꢭ꣄ꢭꢾ, ꢧꢶꢬ꣄ꢭꢾ"
அணை (ந்த்)  ,be extinguished,ம:வ்லயி ஜா,म्हव्लयि जा,ꢪꢴꢮ꣄ꢭꢫꢶ ꢙꢵ
அணை (த்த்)  ,extinguish,மௌ:லி,म्हौलि,ꢪꢴꣃꢭꢶ
அணை (த்த்)  ,embrace,கபி3ல்லே,कबिल्ले,ꢒꢨꢶꢭ꣄ꢭꢾ
அணுகு (இன்)  ,approach,லெகு3த்த ஜா,ल॑गुत्त जा,ꢭꢾꢔꢸꢡ꣄ꢡ  ꢙꢵ
அதட்டு (இன்)  ,rebuke,பர்வகேர்,पर्वकेर,ꢦꢬ꣄ꢮꢒꢿꢬ꣄
அதிகரி (த்த்)  ,increase,வேன்கேர்,वेनकेर,ꢮꢿꢥ꣄ ꢒꢿꢬ꣄
அதிசயி (த்த்)  ,wonder,ஆஶ்சர்யுபோட்,आच्चयुपोट्,ꢃꢗ꣄ꢗꢬ꣄ꢫꢸꢦꣂꢜ꣄
அதிர் (ந்த்)  ,tremble,அதி3ர்,अदिर,ꢂꢣꢶꢬ꣄
அப்பு (இன்)  ,apply like a paste,அப்பிலே,अप्पिले,ꢂꢦ꣄ꢦꢶꢭꢾ
அபகரி (த்த்)  ,steal,ஜெ2ட்பிலே,झेट्पिले,ꢚꢾꢜ꣄ꢦꢶꢭꢾ
அபிநயி (த்த்)  ,gesticulate,ஸைக3னகேர்,सैगनकेर,ꢱꣃꢔꢭ ꢒꢿꢬ꣄
அமர் (ந்த்)  ,sit,பீ3ஸ்,बीस्,ꢨꢷꢱ꣄
அமிழ் (ந்த்)  ,be immersed,பூ3ட்,बूट,ꢨꢹꢜ꣄
அமிழ்த்து (இன்)  ,immerse,பு3டா3ட்,बुडाट्,ꢨꢸꢣꢵꢜ꣄
அமுக்கு (இன்)  ,press,அம்கி,अम्कि,ꢂꢪ꣄ꢒꢶ
அமுங்கு (இன்)  ,be pressed,அம்கயிரா:,अम्कयिर्ह,ꢂꢪ꣄ꢒꢫꢶ ꢬꢴꢵ
அமை (ந்த்)  ,be arranged,ஸெந்திதோ2வ்,स॑न्तिथोव्,ꢱꢾꢥ꣄ꢡꢶ ꢢꣂꢮ꣄
அமை (த்த்)  ,arranged,ஸெந்தயிரா:,स॑न्तयिर्ह,ꢱꢾꢥ꣄ꢡꢫꢶꢬꢴꢵ
அயர் (ந்த்)  ,become drowsy,ஹுங்கி3தூ4ள்,हुङगिधूल्,ꢲꢹꢖ꣄ꢔꢶꢤꢹꢭ꣄
அரி (த்த்)  ,"itch, sieve",க2வ்ஜுலே,खव्जुले,ꢓꢮ꣄ꢙꢸꢭꢾ
அரட்டு (இன்)  ,frighten,தா4க்கா4ல்,धाक्घाल,ꢤꢵꢒ꣄ꢕꢵꢭ꣄
அரள் (ண்ட்)  ,to be much afraid,பெ3து3ரிபோட்,ब॑दुरिपोट्,ꢨꢾꢣꢸꢬꢶ ꢦꣂꢜ꣄
அரற்று (இன்)  ,lament,து3க்குபொட்3ளே,दुक्कुपोड्ळ॑,ꢣꢸꢒ꣄ꢒꢸꢦꣁꢞ꣄ꢳꢾ
