அகலம்  ,width,விலாஸ்/ருந்தி3,"विलास्, रुन्दि","ꢮꢶꢭꢵꢱ꣄, ꢬꢸꢥ꣄ꢣꢶ"
அமைப்பு  ,size/ structure,ஆகார்,आकार्,ꢃꢒꢵꢬ꣄
அரைவட்டம்  ,hemisphere,ஹத்துவர்துலொ,हत्तुवर्दुला॑,ꢲꢡ꣄ꢡꢸ ꢮꢬ꣄ꢡꢸꢭꣁ
இணைக்கோடுகள் ,parallel lines,ஸமாந்தரு ரேகா2ன்,समान्तरु रेखान,ꢱꢪꢵꢥ꣄ꢡꢬꢸ ꢬꢾꢓꢵꢥ꣄
உயரம்  ,height,உஞ்சொ,उञ्चा॑,ꢆꢖ꣄ꢗꣁ
உருண்டை  ,"globe, round",கோ3ள்,गोळ,ꢔꣁꢳ꣄
உருளை  ,cylinder,து4ருள்,धुरुळ,ꢤꢸꢬꢸꢳ꣄
எடை  ,weight,பா4ர்,भार्,ꢩꢵꢬ꣄
கன அளவு   ,volume,பொ4ரண்,भा॑रण,ꢩꣁꢬꢠ
கன சதுரம்   ,cube,க4னாகார்,घनाकार,ꢕꢥꢵꢒꢵꢬ꣄
கால்வட்டம்  ,Quadrant,பாஇ~ பரிதி4,पाइ~ परिधि,ꢦꢵꢄ~ ꢦꢬꢶꢤꢶ
குட்டை  ,short,குள்ளொ,कुळ्ळा॑,ꢒꢸꢳ꣄ꢳꣁ
குறுக்களவு  ,diameter,கர்ணொ/ வ்யாஸ்,"कर्णा॑, व्यास","ꢒꢬ꣄ꢠꣁ, ꢮ꣄ꢫꢵꢱ꣄"
கூம்பு  ,cone,ஶங்கு,शङ्कु,ꢯꢖ꣄ꢒꢸ
கோணம்  ,angle,கோண்,कोण,ꢒꣂꢠ꣄
கோளம்  ,sphere,கோ3ள்,गोल,ꢔꣂꢭ꣄
சதுரம்  ,square,சதுர்,चतुर,ꢗꢡꢸꢬ꣄
சமசதுரம்  ,cube,ஸமசதுர்,चमचतुर,ꢗꢪꢗꢡꢸꢬ꣄
சாய்வு  ,slant,திர்யக் ஆகார்,तिर्यक आकार,ꢡꢶꢬ꣄ꢫꢒ꣄ ꢃꢒꢵꢬ꣄
செவ்வகம்  ,rectangle,ஆயத ஆகார்,आयत आकार,ꢃꢫꢡ ꢃꢒꢵꢬ꣄
நீளம்  ,length,மூரொ/லம்பொ3/லாம்,"मूरा॑, लम्बा॑, लाम","ꢪꢹꢬꣁ, ꢭꢾꢪ꣄ꢨꣁ, ꢭꢵꢪ꣄"
பட்டகம்  ,prism,க்ருகசாயத்,कृग चायत,ꢒꢺꢬꢸꢔ ꢗꢵꢫꢡ꣄
பரிமாணம்  ,dimension,பரிமாண்,पिरिमाण्,ꢦꢶꢬꢶꢪꢵꢠ꣄
பருமன்  ,stoutness,தே3ள்,देळ,ꢣꢾꢳ꣄
முக்கோணம்  ,triangle,தீ2ன்கோணுல்/ த்ரிகோண்,थीन्कोनुल्त्रिकोण,ꢢꢷꢥ꣄ꢒꣂꢥꢸꢭ꣄ꢡ꣄ꢬꢶꢒꣂꢠ꣄
முட்டைவடிவம்  ,oval shape,அண்டாகார்,अण्टाकार्,ꢂꢠ꣄ꢜꢵꢒꢵꢬ꣄
வடிவம்  ,shape,ரூப்,आकार्,ꢃꢒꢵꢬ꣄
