Unnamed: 0,35. Sky and Related Words,அகாஸ் கினு அகாஸு ஸம்ப3ந்து4 வத்தான்,अकास किनु अकासु सम्बन्धु वत्तान,ꢂꢒꢵꢱ꣄ ꢒꢶꢥꢸ ꢂꢒꢵꢱꢸ ꢱꢪ꣄ꢨꢥ꣄ꢤꢸ ꢮꢡ꣄ꢡꢵꢥ꣄
அஸ்தமனம்  ,Sun setting,அஸ்தமனொ,अस्तमना॑,ꢂꢱ꣄ꢡꢪꢥꣁ
ஆகாயகங்கை  ,milkyway,அகாஸு கெ3ங்கொ3,अकाष् ग॑ङगा॑,ꢂꢒꢵꢯ꣄ ꢔꢾꢖ꣄ꢔꣁ
ஆகாயம்  ,sky,அகாஸ்,अकास,ꢂꢒꢵꢱ꣄
ஆவி  ,steam,வாப்,वाप्,ꢮꢵꢦ꣄
இடி  ,thunder,பவி/பிடு3,"पवि, पिडु","ꢦꢮꢶ, ꢦꢶꢞꢸ"
இருட்டு  ,darkness,ஹந்தா3ர்/ கெ3வி,"हन्दार्, ग॑वि","ꢲꢥ꣄ꢣꢵꢬ꣄, ꢔꢾꢮꢶ"
உதயம்  ,"rise (Sun, Moon)",உத3யம்/ ஸுரிது நிகிள்னி,"उदयम्, सुरितु निकिल्नि","ꢆꢣꢫꢪ꣄, ꢱꢸꢬꢶꢡꢸ ꢥꢶꢒꢶꢭ꣄ꢥꢶ"
எரி நட்சத்திரம்   ,shooting star,ஜாளுசுக்கொ,जाळुचुक्का॑,ꢙꢵꢳꢸꢗꢸꢒ꣄ꢒꣁ
ஏவுகணை  ,rocket,அக3சால்அய்து3/ ப்ரக்ஷேபனொ,"अगचाल्अय्दु, प्रक्षेपना॑","ꢂꢔꢗꢵꢭ꣄ ꢂꢫ꣄ꢣꢸ, ꢦ꣄ꢬꢒ꣄ꢰꢾꢦꢥꣁ"
கிரகணம்  ,eclipse,கி4ராண்,घिराण,ꢕꢶꢬꢵꢠ꣄
கிரகம்  ,planet,கோ3ள்,गोळ,ꢔꣁꢳ꣄꣄
கிரணம்  ,"rays, beam",கிரண்,किरण्,ꢒꢶꢬꢠ꣄
கேது  ,uranus,கேது,केतु,ꢒꢿꢡꢸ
