Unnamed: 0,41. Trees and Tree Parts,ஜா2டுன் கினு ஜா2டு பா4கு3ன்,झाटुन किनु झाटु भागुन,ꢚꢵꢜꢸꢥ꣄ ꢒꢶꢥꢸ ꢚꢵꢜꢸ ꢩꢵꢔꢸꢥ꣄
அத்தி மரம்   ,fig tree,உம்ப்3ளாஜா2ட்,उम्ब्ळा झाट्,ꢆꢪ꣄ꢨ꣄ꢳꢵ ꢚꢵꢜ꣄
அரச மரம்   ,pipal tree,பிம்பள்ஜா2ட்,पिम्पल्झाट्,ꢦꢶꢪ꣄ꢦꢭ꣄ ꢚꢵꢜ꣄
ஆல்  ,banyan tree,ஓடாஜா2ட்,ओडा झाट्,ꢐꢞ ꢚꢵꢜ꣄
 நெட்டி,rosewood,முஸுண்டி3ஜா2ட்,मुसुण्डि झाट्,ꢪꢸꢱꢸꢠ꣄ꢞꢶꢚꢵꢜ꣄
ஈச்சமார்,broom,ஜ2ன்னி/ ஜ2ண்ணி,"झन्नि, झण्णी","ꢚꢥ꣄ꢥꢶ, ꢚꢠ꣄ꢠꢶ"
எலுமிச்சை  ,lemon,லிம்பு3,लिम्बु,ꢭꢶꢪ꣄ꢨꢸ
ஓலை  ,coconut leaf,பருண்டொ3,प्रुण्डा॑,ꢦꢬꢸꢠ꣄ꢞꣁ
கதிர்  ,ear of crops,பிக்கெவென்னு,पिक्क॑ व॑न्नु,ꢦꢶꢒ꣄ꢒꢾ ꢮꢾꢥ꣄ꢥꢸ
கமுகு  ,arecanut tree,ஹப்பளு ஜா2ட்,हप्पलु झाट,ꢲꢦ꣄ꢦꢭꢸꢚꢵꢜ꣄
களை  ,weed,விர்தாவு பொஸ்கெ,विर्तावु पा॑स्क॑,ꢮꢶꢬ꣄ꢡꢵꢮꢸ ꢦꣁꢱ꣄ꢒꢾ
கறிவேப்பிலை  ,curry leaf,கெர்பாவுபான்,क॑र्पावु पान,ꢒꢾꢬ꣄ꢦꢵꢮꢸ ꢦꢵꢥ꣄
கிளை/ கொம்பு  ,branch,ஸாகொ2,साखा॑,ꢱꢵꢓꣁ
கொய்யா  ,guava,இம்பு3ளொ,इम्बुळा॑,ꢄꢪ꣄ꢨꢸꢳꣁ
கொன்றை  ,cassia fistula,ராணுஹுளாபூ2ல்,राणु हुळा फूल्,ꢬꢵꢠꢸ ꢆꢳꢵ ꢧꢹꢭ꣄
தேங்காய் நார்,fibre of coconut,நரளுநார்,नरळु नार्,ꢥꢬꢳꢸ ꢥꢵꢬ꣄
சூல்முடி  ,reproductive parts of a flower,மகரந்தகொ2ள்டி,मकरन्त खा॑ल्टि,ꢪꢒꢬꢥ꣄ꢡ ꢓꣁꢭ꣄ꢜꢶ
தடி  ,log of wood,லய்டொ3,लय्डा॑,ꢭꢫ꣄ꢞꣁ
தண்டு  ,stalk,தெ4ய்ளொ,ध॑य्ळा॑,ꢤꢾꢫ꣄ꢳꣁ
தெங்கு/தென்னை  மரம்  ,coconut tree,நரளு ஜா2ட்,नरळुझाट,ꢥꢬꢳꢸ ꢚꢵꢃꢜ꣄
தேக்கு மரம்  ,teak wood,தேக்குஜா2ட்,तेक्कु झाट्,ꢡꢿꢒ꣄ꢒꢸ ꢚꢵꢜ꣄
தொலி  ,"skin, ",தொவ்டொ3,ता॑व्डा॑,ꢣꣁꢮ꣄ꢞꣁ
தோடு  ,bark,வல்கலொ/பட்டெ,"वल्कला॑, पट्टे","ꢮꢭ꣄ꢒꢭꣁ, ꢦꢜ꣄ꢜꢾ"
நாவல்  மரம்  ,blackberry tree,ஜெம்பு ஜா2ட்,ज॑म्पु झाट्,ꢙꢾꢪ꣄ꢦꢸ ꢚꢵꢜ꣄
நெல்லி  மரம்  ,gooseberry tree,அம்பு3ளா ஜா2ட்,अम्बुळा झाट्,ꢂꢪ꣄ꢨꢸꢳꢵ ꢚꢵꢜ꣄
பப்பாளி மரம்  ,papaya tree,பப்பாளிஜா2ட்,पप्पाळि झाट्,ꢦꢦ꣄ꢦꢵꢳꢶꢶ ꢚꢵꢜ꣄
பலா மரம்,jackfruit tree,பொன்னிஸுஜா2ட்,पा॑न्निसु झाट्,ꢦꣁꢥ꣄ꢥꢶꢱꢸ ꢚꢵꢜ꣄
பனை  மரம்,palmyra tree,தாடி3ஜா2ட்,ताडि झाट्,ꢡꢵꢞꢶ ꢚꢵꢜ꣄
