Unnamed: 0,"37. Snakes, Fishes and Water Animals","ஸாபுன், ம:ளின் கினு ஜலஜந்துன்","सापुन, म्हलिन किनु जल जन्तुन","ꢱꢵꢦꢸꢥ꣄, ꢭꢴꢭꢶꢥ꣄ ꢒꢶꢥꢸ ꢙꢭ ꢙꢥ꣄ꢡꢸꢥ꣄"
ஆமை  ,tortoise,கூர்மொ/கஸ்பொ/தம்ப3ள்சிப்பொ,"कुर्मा॑, कस्पा॑, तम्बल्चिप्पा॑","ꢒꢹꢬ꣄ꢪꣁ, ꢒꢱ꣄ꢦꣁ, ꢡꢪ꣄ꢨꢭ꣄ꢗꢶꢦ꣄ꢦꣁ"
இறால்  ,prawn,கெ2ஸூலொ,खेसुला॑,ꢓꢾꢱꢸꢭꣁ
கட்டுவிரியன்  ,viper (snake),கெட்டு ஸாப்,क॑ट्टु साप्,ꢒꢾꢜ꣄ꢜꢸ ꢱꢵꢦ꣄
கடலாமை  ,turtle,ஸமுத்3ருகஸ்பொ,समुद्रु कस्पा॑,ꢱꢪꢸꢣ꣄ꢬꢸ ꢒꢱ꣄ꢦꣁ
சாரைப்பாம்பு  ,a kind of land snake,ஸாரஸாப்,सार साप्,ꢱꢵꢬ ꢱꢵꢦ꣄
கிலுப்பைப் பாம்பு   ,rattle snake,கி3ல்காய்ஸாப்,गिल्काय्साप,ꢔꢶꢭ꣄ꢒꢵꢫ꣄ꢱꢵꢦ꣄
கொம்பேறிமூர்க்கன்   ,Akind of poisonous snake,கொம்ப3ரிஸாப்,का॑म्बरि साप्,ꢒꣁꢪ꣄ꢨꢬꢶ ꢱꢵꢦ꣄
சிப்பி  ,Oyster/shell fish,ஸீப்,सीप्,ꢱꢷꢦ꣄
சுறா  ,shark,பூ4க் ஸெந்தா ம:ளி/ போடு ஜாளு ம:ளி,"भूक सेन्ता म्हळि, पोटु जालु म्हळि","ꢩꢹꢒ꣄ ꢱꢾꢥ꣄ꢡꢵ ꢪꢴꢳꢶꢶ, ꢦꣂꢜꢸ ꢙꢵꢭꢸ ꢪꢴꢳꢶ"
தண்ணீர்ப் பாம்பு   ,water snake,பனிம் ஸாப்,पनिम्साप्,ꢦꢥꢶꢪ꣄ꢱꢵꢦ꣄
தலைப்பிரட்டை/ புழு நிலை தவளை ,Tadpole /larva,கிடா3 ஸ்தி2தி பெ4ர்களி,किडा स्थिति भ॑र्कलि,ꢒꢶꢞꢵ ꢱ꣄ꢢꢶꢡꢶ ꢩꢾꢬ꣄ꢒꢶꢭꢶ
தவளை  ,frog,பெ4ர்களி/பெ3ஸ்களி,"भ॑र्कळि, ब॑स्कळि","ꢩꢾꢬ꣄ꢒꢳꢶ, ꢨꢾꢱ꣄ꢒꢳꢶ"
திமிங்கலம்  ,whale,திமிங்க3ல்/திமிவாஸி,"तिमिङ्गल, तिमिवासि","ꢡꢶꢪꢶꢖ꣄ꢔꢭ꣄, ꢡꢶꢪꢶꢮꢵꢱꢶ"
நச்சுப் பல்  ,poisonous fang of snake,விக்கு தா3த்,विक्कु दात्,ꢮꢶꢒ꣄ꢒꢸ ꢣꢵꢡ꣄
நஞ்சு  ,poison,விக்கு3,विक्गु,ꢮꢶꢒ꣄ꢔꢸ
நண்டு  ,crab,கிர்வில்,किर्विल्,ꢒꢶꢬ꣄ꢮꢶꢭ꣄
நத்தை  ,snail,கி3ஷ்லொ,गिष्ला॑,ꢔꢶꢰ꣄꣄ꢭꣂ
நாகப்பாம்பு  ,cobra,நன்ஸாப்/ சொக்கட் ஸாப்,"नन्साप, चोक्कट साप","ꢥꢥ꣄ꢱꢵꢦ꣄, ꢱꣁꢒ꣄ꢒꢜ꣄ ꢱꢵꢦ꣄"
நீர்நாய்  ,beaver,பனிம் ஸுனொ,पनिम सुना॑,ꢦꢥꢶꢪ꣄ ꢱꢸꢥꣁ
நீர்யானை  ,hippopotamus,பனிம்ஐஸ்து,पनिम ऐस्तु,ꢦꢥꢶꢪ ꣄ꢎꢱ꣄ꢡꢸ
பச்சைப் பாம்பு   ,green snake,நிளஸாப்,निळ साप्,ꢥꢶꢳ ꢱꢵꢦ꣄
படம்  ,hood of a snake,பொட்3கெ3,पा॑ड्का॑,ꢦꣁꢞ꣄ꢔꢾ
பாம்பு  ,snake,ஸாப்,साप्,ꢱꢵꢦ꣄
மலைப்பாம்பு  ,python,தொ3ங்க3ருஸாப்,दा॑ङ्गरु साप,ꢡꣁꢖ꣄ꢔꢬꢸ ꢱꢵꢦ꣄
மீன்  ,fish,ம:ளி,म्हळि,ꢪꢴꢳꢶ
முதலை  ,crocodile,நக்ரு,नक्रु,ꢥꢒ꣄ꢬꢸ
விஷம்  ,poison,விக்கு/ பாஷாணொ,"विक्कु, पाषाना॑","ꢮꢶꢒ꣄ꢒꢸ, ꢦꢵꢰꢵꢠꣁ"
 ,,,,
