-,ꢔ,ꢔꢵꢫ꣄,sourashtra,,,'ꢔꢫ':1 'gaay':2 'gay':3 'gāy':4 'cow':5,animal|creature|living,गाय्|கா3ய்|gaay|gAy|gāy|gɑːj,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,cow,english,,english,,animal|creature|living,,noun,
^,,ஆ,tamil,,tamil,'cow':1,animal|creature|living,கா3ய்,noun,
-,ꢩ,ꢩꢾꢠ꣄ꢞꢸ,sourashtra,,,'ꢩꢠꢞ':1 'bhendu':2 'bhĕṇḍu':3 'lamb':4 'ஆட':5,animal|creature|living,भ॑ण्डु|பெ4ண்டு3|bhe'nd'u|bhENDu|bhĕṇḍu|bʰeɳɖu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,lamb,english,,english,,animal|creature|living,,noun,
^,,ஆடு,tamil,,tamil,'ஆட':1 'lamb':2,animal|creature|living,பெ4ண்டு3,noun,
-,ꢔ,ꢔꢵꢫ꣄ ꢔꣁꢬꢸꢥ꣄,sourashtra,,,'ꢔꢫꢔꢬꢥ':1 'gaaygorun':2 'gaygorun':3 'gāygŏrun':4 'cattle':5 'ஆட':6,animal|creature|living,गाय घा॑रुन्|கா3ய்கொ3ருன்|gaay go'run|gAy gOrun|gāy gŏrun|gɑːj goɾun̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,cattle,english,,english,,animal|creature|living,,noun,
^,,ஆடுமாடு,tamil,,tamil,'ஆடமட':1 'cattle':2 'ஆட':3,animal|creature|living,கா3ய்கொ3ருன்,noun,
-,ꢦ,ꢦꣁꢡꢸꢭꣁ,sourashtra,,,'ꢦꢡꢭ':1 'potulo':2 'pŏtulŏ':3 'bull':4 'எர':5,animal|creature|living,पा॑दुला॑|பொ3து3லொ|po'tulo'|pOtulO|pŏtulŏ|pot̪ulo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,bull,english,,english,,animal|creature|living,,noun,
^,,எருது,tamil,,tamil,'எரத':1 'bull':2 'எர':3,animal|creature|living,பொ3து3லொ,noun,
-,ꢩ,ꢩꢾꢫ꣄ꢱ꣄,sourashtra,,,'ꢩꢫꢱ':1 'bheys':2 'bhĕys':3 'she':4 'buffalo':5 'எர':6,animal|creature|living,भ॑य्स्|பெ4ய்ஸ்|bhe'ys|bhEys|bhĕys|bʰejs̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,she-buffalo,english,,english,,animal|creature|living,,noun,
^,,எருமை,tamil,,tamil,'எரம':1 'she':2 'buffalo':3 'எர':4,animal|creature|living,பெ4ய்ஸ்,noun,
-,ꢩ,ꢩꢾꢫ꣄ꢱꢸ꣄ ꢦꣁꢡꢸꢭꣁ,sourashtra,,,'ꢩꢫꢱꢦꢡꢭ':1 'bheysupotulo':2 'bhĕys_ŭpŏtulŏ':3 'buffalo':4 'எர':5 'கட':6,animal|creature|living,भ॑य्सुबा॑दुला॑|பெ4ய்ஸுபொ3து3லொ|bhe'ysu po'tulo'|bhEysu pOtulO|bhĕys_ŭ pŏtulŏ|bʰejs̪u pot̪ulo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,he-buffalo,english,,english,,animal|creature|living,,noun,
^,,எருமைக் கடா,tamil,,tamil,'எரமககட':1 'buffalo':2 'எர':3 'கட':4,animal|creature|living,பெ4ய்ஸுபொ3து3லொ,noun,
-,ꢪ,ꢪꢸꢫꢶ. ꢭꣁꢭ꣄ꢦꢣꢾ,sourashtra,,,'ꢪꢫꢭꢭꢦꢣ':1 'muyilolpade':2 'muyilŏlpadĕ':3 'camel':4 'ஒட':5 'டகம':6,animal|creature|living,मुयि|முயி|muyi. lo'lpade'|muyi. lOlpadE|muyi. lŏlpadĕ|mujɪ. lolpəd̪e,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,camel,english,,english,,animal|creature|living,,noun,
^,,ஒட்டகம்,tamil,,tamil,'ஒடடகம':1 'camel':2 'ஒட':3 'டகம':4,animal|creature|living,முயி,noun,
-,ꢪ,ꢪꢸꢫꢶ. ꢭꣁꢭ꣄ꢦꢣꢾ,sourashtra,,,'ꢪꢫꢭꢭꢦꢣ':1 'muyilolpade':2 'muyilŏlpadĕ':3 'camel':4 'ஒட':5 'டகம':6,animal|creature|living,ला॑ल्पड॑|லொல்படெ3|muyi. lo'lpade'|muyi. lOlpadE|muyi. lŏlpadĕ|mujɪ. lolpəd̪e,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,camel,english,,english,,animal|creature|living,,noun,
^,,ஒட்டகம்,tamil,,tamil,'ஒடடகம':1 'camel':2 'ஒட':3 'டகம':4,animal|creature|living,லொல்படெ3,noun,
