-,ꢬ,ꢬꢵꢠꢸ ꢒꣃꢭꣁ,sourashtra,,,'ꢬꢠꢒꢭ':1 'raanukaulo':2 'ranukaulo':3 'rāṇukaulŏ':4 'raven':5 'அண':6 'டங':7,animal|bird|flying,रानुकौला॑|ராணுகௌளொ|raanu kaulo'|rANu kaulO|rāṇu kaulŏ|ɾɑːɳu kəulo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,raven,english,,english,,animal|bird|flying,,noun,
^,,அண்டங்காக்கா,tamil,,tamil,'அணடஙககக':1 'raven':2 'அண':3 'டங':4,animal|bird|flying,ராணுகௌளொ,noun,
-,ꢗ,ꢗꢛ꣄ꢗꢸ,sourashtra,,,'ꢗꢛꢗ':1 'chanchu':2 'cajcu':3 'cañcu':4 'beak':5 'அலக':6,animal|bird|flying,चञचु|சஞ்சு|chanchu|caJcu|cañcu|t͡ʃəɲt͡ʃu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,beak,english,,english,,animal|bird|flying,,noun,
^,,அலகு,tamil,,tamil,'அலக':1 'beak':2,animal|bird|flying,சஞ்சு,noun,
-,ꢪ,ꢪꢸꢱ꣄ꢒꢶꢳꢶ,sourashtra,,,'ꢪꢱꢒꢳ':1 'muskili':2 'beak':3 'அலக':4,animal|bird|flying,मुस्किळि|முஸ்கிளி|muskil'i|muskiLi|muskil̤i|mus̪kɪɭɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,beak,english,,english,,animal|bird|flying,,noun,
^,,அலகு,tamil,,tamil,'அலக':1 'beak':2,animal|bird|flying,முஸ்கிளி,noun,
-,ꢂ,ꢂꢪ꣄ꢱꣁ,sourashtra,,,'ꢂꢪꢱ':1 'amso':2 'amsŏ':3 'swan':4 'அன':5 'னம':6,animal|bird|flying,हम्सा॑|ஹம்ஸொ|amso'|amsO|amsŏ|əms̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,swan,english,,english,,animal|bird|flying,,noun,
^,,அன்னம்,tamil,,tamil,'அனனம':1 'swan':2 'அன':3 'னம':4,animal|bird|flying,ஹம்ஸொ,noun,
-,ꢕ,ꢕꢸꢔꢸ,sourashtra,,,'ꢕꢔ':1 'ghugu':2 'owl':3 'ஆந':4,animal|bird|flying,घुगु|கூ4கு3|ghugu|ghugu|ghugu|gʰugu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,owl,english,,english,,animal|bird|flying,,noun,
^,,ஆந்தை,tamil,,tamil,'ஆநத':1 'owl':2 'ஆந':3,animal|bird|flying,கூ4கு3,noun,
-,ꢆ,ꢆꢭꢸ,sourashtra,,,'ꢆꢭ':1 'ulu':2 'owl':3 'ஆந':4,animal|bird|flying,उलु|உலு|ulu|ulu|ulu|ulu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,owl,english,,english,,animal|bird|flying,,noun,
^,,ஆந்தை,tamil,,tamil,'ஆநத':1 'owl':2 'ஆந':3,animal|bird|flying,உலு,noun,
-,ꢦ,ꢦꢶꢖ꣄ꢔꢸ,sourashtra,,,'ꢦꢖꢔ':1 'pingu':2 'piggu':3 'piṅgu':4 'feather':5 'இறக':6,animal|bird|flying,पिङ्गु|பிங்கு|pingu|piGgu|piṅgu|pɪŋgu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,feather,english,,english,,animal|bird|flying,,noun,
^,,இறகு,tamil,,tamil,'இறக':1 'feather':2,animal|bird|flying,பிங்கு,noun,
-,ꢦ,ꢦꢷꢦ꣄,sourashtra,,,'ꢦꢦ':1 'peep':2 'pip':3 'pīp':4 'feather':5 'இறக':6,animal|bird|flying,पीप्|பீப்|peep|pIp|pīp|piːp,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,feather,english,,english,,animal|bird|flying,,noun,
^,,இறகு,tamil,,tamil,'இறக':1 'feather':2,animal|bird|flying,பீப்,noun,
-,ꢦ,ꢦꢒ꣄ꢰꢶ ꢔꢹ,sourashtra,,,'ꢦꢒꢰꢔ':1 'pakshigoo':2 'paksigu':3 'pakṣigū':4 'bird':5 'sdropping':6 'எச':7 'சம':8,animal|bird|flying,पक्षि गू|பக்ஷி கூ3|pakshi goo|pakSi gU|pakṣi gū|pəkʂɪ guː,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,bird’sdropping,english,,english,,animal|bird|flying,,noun,
^,,எச்சம்,tamil,,tamil,'எசசம':1 'bird':2 'sdropping':3 'எச':4 'சம':5,animal|bird|flying,பக்ஷி கூ3,noun,
-,ꢬ,ꢬꢙꢒꣃꢭꣁ,sourashtra,,,'ꢬꢙꢒꢭ':1 'rajakaulo':2 'rajakaulŏ':3 'king':4 'crow':5 'கர':6,animal|bird|flying,रजकौला॑|ரஜகௌளொ|rajakaulo'|rajakaulO|rajakaulŏ|ɾəd͡ʒəkəulo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,king crow,english,,english,,animal|bird|flying,,noun,
^,,கரிச்சான்,tamil,,tamil,'கரசசன':1 'king':2 'crow':3 'கர':4,animal|bird|flying,ரஜகௌளொ,noun,
-,ꢔ,ꢔꣃꢬꢶ,sourashtra,,,'ꢔꢬ':1 'gauri':2 'partidge':3 'கவ':4,animal|bird|flying,गौरि|கௌ3ரி|gauri|gauri|gauri|gəuɾɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,partidge,english,,english,,animal|bird|flying,,noun,
^,,கவுதாரி,tamil,,tamil,'கவதர':1 'partidge':2 'கவ':3,animal|bird|flying,கௌ3ரி,noun,
-,ꢣ,ꢣꢶꢰ꣄ꢳꣁ,sourashtra,,,'ꢣꢰꢳ':1 'dishlo':2 'dislo':3 'diṣlŏ':4 'eagle':5 'கழ':6,animal|bird|flying,दिष्ळा॑|தி3ஷ்ளொ|dishl'o'|diSLO|diṣl̤ŏ|d̪ɪʂɭo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,eagle,english,,english,,animal|bird|flying,,noun,
^,,கழுகு,tamil,,tamil,'கழக':1 'eagle':2 'கழ':3,animal|bird|flying,தி3ஷ்ளொ,noun,
-,ꢒ,ꢒꣃꢭꣁ,sourashtra,,,'ꢒꢭ':1 'kaulo':2 'kaulŏ':3 'crow':4,animal|bird|flying,कौला॑|கௌளொ|kaulo'|kaulO|kaulŏ|kəulo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,crow,english,,english,,animal|bird|flying,,noun,
^,,காக்கா,tamil,,tamil,'ககக':1 'crow':2,animal|bird|flying,கௌளொ,noun,
-,ꢬ,ꢬꢪꣁ,sourashtra,,,'ꢬꢪ':1 'ramo':2 'ramŏ':3 'parrot':4 'தத':5,animal|bird|flying,रमा॑|ரமொ|ramo'|ramO|ramŏ|ɾəmo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,parrot,english,,english,,animal|bird|flying,,noun,
^,,கிளி / தத்தை,tamil,,tamil,'களததத':1 'parrot':2 'தத':3,animal|bird|flying,ரமொ,noun,
-,ꢒ,ꢒꣁꢒꢶꢭ꣄,sourashtra,,,'ꢒꢒꢭ':1 'kokil':2 'kŏkil':3 'cuckoo':4,animal|bird|flying,का॑किल्|கொகில்|ko'kil|kOkil|kŏkil|kokɪl,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,cuckoo,english,,english,,animal|bird|flying,,noun,
^,,குயில்,tamil,,tamil,'கயல':1 'cuckoo':2,animal|bird|flying,கொகில்,noun,
-,ꢗ,ꢗꢶꢞꢶ,sourashtra,,,'ꢗꢞ':1 'chidi':2 'cidi':3 'ciḍi':4 'sparrow':5,animal|bird|flying,चिडि|சிடி3|chid'i|ciDi|ciḍi|t͡ʃɪɖɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,sparrow,english,,english,,animal|bird|flying,,noun,
^,,குருவி,tamil,,tamil,'கரவ':1 'sparrow':2,animal|bird|flying,சிடி3,noun,
-,ꢤ,ꢤꢔꣁ,sourashtra,,,'ꢤꢔ':1 'dhago':2 'dhagŏ':3 'owl':4 'ஆந':5,animal|bird|flying,धगा॑|கூ2கொ3|dhago'|dhagO|dhagŏ|d̪ʰəgo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,owl,english,,english,,animal|bird|flying,,noun,
^,,கூகை/ஆந்தை,tamil,,tamil,'ககஆநத':1 'owl':2 'ஆந':3,animal|bird|flying,கூ2கொ3,noun,
-,ꢆ,ꢆꢭꢸ,sourashtra,,,'ꢆꢭ':1 'ulu':2 'owl':3 'ஆந':4,animal|bird|flying,उलु|உலு|ulu|ulu|ulu|ulu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,owl,english,,english,,animal|bird|flying,,noun,
^,,கூகை/ஆந்தை,tamil,,tamil,'ககஆநத':1 'owl':2 'ஆந':3,animal|bird|flying,உலு,noun,
-,ꢦ,ꢦꢛ꣄ꢙꢶꢬꢶ꣄,sourashtra,,,'ꢦꢛꢙꢬ':1 'panjiri':2 'pajjiri':3 'pañjiri':4 'nest':5,animal|bird|flying,पन्जिरि|பஞ்ஜிரி|panjiri|paJjiri|pañjiri|pəɲd͡ʒɪɾɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,nest,english,,english,,animal|bird|flying,,noun,
^,,கூடு,tamil,,tamil,'கட':1 'nest':2,animal|bird|flying,பஞ்ஜிரி,noun,
-,ꢥ,ꢥꢷꢞꣁ,sourashtra,,,'ꢥꢞ':1 'needo':2 'nido':3 'nīḍŏ':4 'nest':5,animal|bird|flying,नीडा॑|நீடொ3|need'o'|nIDO|nīḍŏ|n̪iːɖo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,nest,english,,english,,animal|bird|flying,,noun,
^,,கூடு,tamil,,tamil,'கட':1 'nest':2,animal|bird|flying,நீடொ3,noun,
-,ꢮ,ꢮꢔꣁ,sourashtra,,,'ꢮꢔ':1 'vago':2 'vagŏ':3 'crane':4,animal|bird|flying,वगा॑|வகொ3|vago'|vagO|vagŏ|ʋəgo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,crane,english,,english,,animal|bird|flying,,noun,
^,,கொக்கு,tamil,,tamil,'ககக':1 'crane':2,animal|bird|flying,வகொ3,noun,
-,ꢄ,ꢄꢭꢶ,sourashtra,,,'ꢄꢭ':1 'ili':2 'crest':3 'cock':4,animal|bird|flying,हिलि|ஹிளி|ili|ili|ili|ɪlɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,crest of cock,english,,english,,animal|bird|flying,,noun,
^,,கொண்டை,tamil,,tamil,'கணட':1 'crest':2 'cock':3,animal|bird|flying,ஹிளி,noun,
