-,ꢲ,ꢲꢶꢬ,sourashtra,,,'ꢲꢬ':1 'hira':2 'orange':3 'ஆரஞ':4,appearance|color|visual,हिर|ஹிர|hira|hira|hira|ɦɪɾə,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,orange,english,,english,,appearance|color|visual,,adj,
^,,ஆரஞ்சு,tamil,,tamil,'ஆரஞச':1 'orange':2 'ஆரஞ':3,appearance|color|visual,ஹிர,adj,
-,ꢥ,ꢥꢡ꣄ꢡꢭ꣄,sourashtra,,,'ꢥꢡꢡꢭ':1 'nattal':2 'blood':3 'red':4 'இரத':5 'தச':6 'வப':7,appearance|color|visual,नत्तल|நத்தல்|nattal|nattal|nattal|n̪ət̪t̪əl,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,blood red,english,,english,,appearance|color|visual,,adj,
^,,இரத்தச்சிவப்பு,tamil,,tamil,'இரததசசவபப':1 'blood':2 'red':3 'இரத':4 'தச':5 'வப':6,appearance|color|visual,நத்தல்,adj,
-,ꢒ,ꢒꣁꢪ꣄ꢨꢳꢮꢥꢶ,sourashtra,,,'ꢒꢪꢨꢳꢮꢥ':1 'kombalavani':2 'kŏmbalavani':3 'light':4 'colour':5 'இளந':6 'றம':7,appearance|color|visual,का॑म्ब्ळवनि|கொம்ப்3ளவனி|ko'mbal'avani|kOmbaLavani|kŏmbal̤avani|kombəɭəʋən̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,light colour,english,,english,,appearance|color|visual,,adj,
^,,இளநிறம்,tamil,,tamil,'இளநறம':1 'light':2 'colour':3 'இளந':4 'றம':5,appearance|color|visual,கொம்ப்3ளவனி,adj,
-,ꢒ,ꢒꣁꢪ꣄ꢨꢳ ꢦꣁꢭ꣄ꢱꣁ,sourashtra,,,'ꢒꢪꢨꢳꢦꢭꢱ':1 'kombalapolso':2 'kŏmbalapŏlsŏ':3 'light':4 'green':5 'இளம':6 'பச':7,appearance|color|visual,का॑म्ब्ळपा॑ल्सा॑|கொம்ப்3ளபொல்ஸொ|ko'mbal'a po'lso'|kOmbaLa pOlsO|kŏmbal̤a pŏlsŏ|kombəɭə pols̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,light green,english,,english,,appearance|color|visual,,adj,
^,,இளம் பச்சை,tamil,,tamil,'இளமபசச':1 'light':2 'green':3 'இளம':4 'பச':5,appearance|color|visual,கொம்ப்3ளபொல்ஸொ,adj,
-,ꢙ,ꢙꢾꢪ꣄ꢨ꣄ꢳ,sourashtra,,,'ꢙꢪꢨꢳ':1 'jembla':2 'jĕmbla':3 'violet':4 'ஊத':5,appearance|color|visual,जेम्ब्ळ|ஜெம்ப்3ள|je'mbl'a|jEmbLa|jĕmbl̤a|d͡ʒembɭə,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,violet,english,,english,,appearance|color|visual,,adj,
^,,ஊதா,tamil,,tamil,'ஊத':1 'violet':2,appearance|color|visual,ஜெம்ப்3ள,adj,
-,ꢒ,ꢒꢳꣁ,sourashtra,,,'ꢒꢳ':1 'kalo':2 'kalŏ':3 'dark':4 'கர':5 'றம':6,appearance|color|visual,कळा॑|களொ|kal'o'|kaLO|kal̤ŏ|kəɭo,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,dark,english,,english,,appearance|color|visual,,adj,
^,,கருநிறம்,tamil,,tamil,'கரநறம':1 'dark':2 'கர':3 'றம':4,appearance|color|visual,களொ,adj,
-,ꢥ,ꢥꢶꢳꣁ,sourashtra,,,'ꢥꢳ':1 'nilo':2 'nilŏ':3 'dark':4 'blue':5 'கர':6 'லம':7,appearance|color|visual,निळा॑|நிளொ|nil'o'|niLO|nil̤ŏ|n̪ɪɭo,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,dark blue,english,,english,,appearance|color|visual,,adj,
^,,கருநீலம்,tamil,,tamil,'கரநலம':1 'dark':2 'blue':3 'கர':4 'லம':5,appearance|color|visual,நிளொ,adj,
-,ꢕ,ꢕꢾꢞꢶ ꢦꣁꢭ꣄ꢱꣁ,sourashtra,,,'ꢕꢞꢦꢭꢱ':1 'ghedipolso':2 'ghĕḍipŏlsŏ':3 'dark':4 'green':5 'கர':6 'பச':7,appearance|color|visual,घ॑डिपा॑ल्सा॑|கெ4டி3பொல்ஸொ|ghe'd'i po'lso'|ghEDi pOlsO|ghĕḍi pŏlsŏ|gʰeɖɪ pols̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,dark green,english,,english,,appearance|color|visual,,adj,
^,,கரும்பச்சை,tamil,,tamil,'கரமபசச':1 'dark':2 'green':3 'கர':4 'பச':5,appearance|color|visual,கெ4டி3பொல்ஸொ,adj,
-,ꢒ,ꢒꢳ,sourashtra,,,'ꢒꢳ':1 'kala':2 'black':3 'கற':4,appearance|color|visual,कळ|கள|kal'a|kaLa|kal̤a|kəɭə,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,black,english,,english,,appearance|color|visual,,adj,
^,,கறுப்பு,tamil,,tamil,'கறபப':1 'black':2 'கற':3,appearance|color|visual,கள,adj,
-,ꢒ,ꢒꢵꢰ꣄ꢜꢸ,sourashtra,,,'ꢒꢰꢜ':1 'kaashtu':2 'kastu':3 'kāṣṭu':4 'saffron':5,appearance|color|visual,काष्टु|காஷ்டு|kaasht'u|kASTu|kāṣṭu|kɑːʂʈu,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,saffron,english,,english,,appearance|color|visual,,adj,
^,,காவி,tamil,,tamil,'கவ':1 'saffron':2,appearance|color|visual,காஷ்டு,adj,
-,ꢬ,ꢬꢪꢵ ꢦꣁꢭ꣄ꢱꣁ,sourashtra,,,'ꢬꢪꢦꢭꢱ':1 'ramaapolso':2 'ramapolso':3 'ramāpŏlsŏ':4 'parrot':5 'green':6 'பச':7,appearance|color|visual,रमापाअ॑ल्सा॑|ரமாபொல்ஸொ|ramaa po'lso'|ramA pOlsO|ramā pŏlsŏ|ɾəmɑː pols̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,parrot green,english,,english,,appearance|color|visual,,adj,
^,,கிளிப்பச்சை,tamil,,tamil,'களபபசச':1 'parrot':2 'green':3 'பச':4,appearance|color|visual,ரமாபொல்ஸொ,adj,
-,ꢱ,ꢱꢶꢬ꣄ꢒ꣄ꢒꢥ꣄,sourashtra,,,'ꢱꢬꢒꢒꢥ':1 'sirkkan':2 'sandal':3 'cream':4 'சந':5 'தணம':6,appearance|color|visual,सिर्क्कन|ஸிர்க்கன்|sirkkan|sirkkan|sirkkan|s̪ɪɾkkən̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,sandal/ cream,english,,english,,appearance|color|visual,,adj,
^,,சந்தணம்,tamil,,tamil,'சநதணம':1 'sandal':2 'cream':3 'சந':4 'தணம':5,appearance|color|visual,ஸிர்க்கன்,adj,
-,ꢤ,ꢤꢹꢪ꣄ꢮꢥꢶ,sourashtra,,,'ꢤꢪꢮꢥ':1 'dhoomvani':2 'dhumvani':3 'dhūmvani':4 'ash':5 'colour':6 'பல':7,appearance|color|visual,धूम्वनि|தூ4ம்வனி|dhoomvani|dhUmvani|dhūmvani|d̪ʰuːmʋən̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,ash colour,english,,english,,appearance|color|visual,,adj,
^,,சாம்பல்,tamil,,tamil,'சமபல':1 'ash':2 'colour':3 'பல':4,appearance|color|visual,தூ4ம்வனி,adj,
-,ꢭ,ꢭꢴꣁꢮ꣄ꢮꣁ,sourashtra,,,'ꢭꢮꢮ':1 'lhovvo':2 'lhŏvvŏ':3 'red':4 'வப':5,appearance|color|visual,ल्हा॑व्वो|லொ:வ்வொ|lho'vvo'|lhOvvO|lhŏvvŏ|lɦoʋʋo,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,red,english,,english,,appearance|color|visual,,adj,
^,,சிவப்பு,tamil,,tamil,'சவபப':1 'red':2 'வப':3,appearance|color|visual,லொ:வ்வொ,adj,
-,ꢮ,ꢮꢥꢶ,sourashtra,,,'ꢮꢥ':1 'vani':2 'colour':3 'றம':4,appearance|color|visual,वनि|வனி|vani|vani|vani|ʋən̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,colour,english,,english,,appearance|color|visual,,adj,
^,,நிறம்,tamil,,tamil,'நறம':1 'colour':2 'றம':3,appearance|color|visual,வனி,adj,
-,ꢯ,ꢯ꣄꣄ꢫꢵꢪꣁ,sourashtra,,,'ꢯꢫꢪ':1 'shyaamo':2 'zyamo':3 'śyāmŏ':4 'blue':5 'லம':6,appearance|color|visual,श्यामा॑|ஶ்யாமொ|shyaamo'|zyAmO|śyāmŏ|ʃjɑːmo,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,blue,english,,english,,appearance|color|visual,,adj,
^,,நீலம்,tamil,,tamil,'நலம':1 'blue':2 'லம':3,appearance|color|visual,ஶ்யாமொ,adj,
-,ꢥ,ꢥꢶꢭ,sourashtra,,,'ꢥꢭ':1 'nila':2 'blue':3 'லம':4,appearance|color|visual,निल|நில|nila|nila|nila|n̪ɪlə,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,blue,english,,english,,appearance|color|visual,,adj,
^,,நீலம்,tamil,,tamil,'நலம':1 'blue':2 'லம':3,appearance|color|visual,நில,adj,
-,ꢦ,ꢦꣁꢭ꣄ꢱꣁ,sourashtra,,,'ꢦꢭꢱ':1 'polso':2 'pŏlsŏ':3 'green':4 'பச':5,appearance|color|visual,पा॑ल्सा॑|பொல்ஸொ|po'lso'|pOlsO|pŏlsŏ|pols̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,green,english,,english,,appearance|color|visual,,adj,
^,,பச்சை,tamil,,tamil,'பசச':1 'green':2 'பச':3,appearance|color|visual,பொல்ஸொ,adj,
-,ꢂ,ꢂꢳ꣄ꢞꢸꢥꣁ,sourashtra,,,'ꢂꢳꢞꢥ':1 'alduno':2 'alḍunŏ':3 'yellow':4 'மஞ':5 'சள':6,appearance|color|visual,हळ्डुना॑|ஹள்டு3னொ|al'd'uno'|aLDunO|al̤ḍunŏ|əɭɖun̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,yellow,english,,english,,appearance|color|visual,,adj,
^,,மஞ்சள்,tamil,,tamil,'மஞசள':1 'yellow':2 'மஞ':3 'சள':4,appearance|color|visual,ஹள்டு3னொ,adj,
-,ꢮ,ꢮꢥꢶ,sourashtra,,,'ꢮꢥ':1 'vani':2 'colour':3 'வண':4 'ணம':5,appearance|color|visual,वनि|வனி|vani|vani|vani|ʋən̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,colour,english,,english,,appearance|color|visual,,adj,
^,,வண்ணம்,tamil,,tamil,'வணணம':1 'colour':2 'வண':3 'ணம':4,appearance|color|visual,வனி,adj,
-,ꢆ,ꢆꢙꢵꢳ꣄,sourashtra,,,'ꢆꢙꢳ':1 'ujaal':2 'ujal':3 'ujāl':4 'white':5,appearance|color|visual,हुजाळ|ஹுஜாள்|ujaal'|ujAL|ujāl̤|ud͡ʒɑːɭ,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,white,english,,english,,appearance|color|visual,,adj,
^,,வெள்ளை,tamil,,tamil,'வளள':1 'white':2,appearance|color|visual,ஹுஜாள்,adj,
