-,ꢂ,ꢂꢞ꣄ꢔꢾꢭ꣄,sourashtra,,,'ꢂꢞꢔꢭ':1 'adgel':2 'aḍgĕl':3 'cholker':4 'அட':5 'யல':6,clothing|decoration|ornament,अड्ग॑ल|அட்3கெ3ல்|ad'ge'l|aDgEl|aḍgĕl|əɖgel,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,cholker,english,,english,,clothing|decoration|ornament,,noun,
^,,அட்டியல்,tamil,,tamil,'அடடயல':1 'cholker':2 'அட':3 'யல':4,clothing|decoration|ornament,அட்3கெ3ல்,noun,
-,ꢒ,ꢒꢾꢣꢸꢬꣁ,sourashtra,,,'ꢒꢣꢬ':1 'keduro':2 'kĕdurŏ':3 'hip':4 'ornament':5 'close':6 'neck':7 'அர':8,clothing|decoration|ornament,क॑दुरा॑|கெது3ரொ|ke'duro'|kEdurO|kĕdurŏ|ked̪uɾo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,"hip ornament a close neck ornament,",english,,english,,clothing|decoration|ornament,,noun,
^,,அரைஞாண்,tamil,,tamil,'அரஞண':1 'hip':2 'ornament':3 'close':4 'neck':5 'அர':6,clothing|decoration|ornament,கெது3ரொ,noun,
-,ꢮ,ꢮꢱ꣄ꢡꢬ꣄,sourashtra,,,'ꢮꢱꢡꢬ':1 'vastar':2 'dress':3 'ஆட':4,clothing|decoration|ornament,वस्तर्|வஸ்தர்|vastar|vastar|vastar|ʋəs̪t̪əɾ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,dress,english,,english,,clothing|decoration|ornament,,noun,
^,,ஆடை,tamil,,tamil,'ஆட':1 'dress':2,clothing|decoration|ornament,வஸ்தர்,noun,
-,ꢩ,ꢩꢹꢰꢸ,sourashtra,,,'ꢩꢰ':1 'bhooshu':2 'bhusu':3 'bhūṣu':4 'ornament':5 'ஆபரணம':6,clothing|decoration|ornament,भूसू|பூ4ஷு|bhooshu|bhUSu|bhūṣu|bʰuːʂu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
