-,ꢆ,ꢆꢦ꣄ꢨꢸवꣁ,sourashtra,,,'ꢆꢦꢨव':1 'upbuवo':2 'upbuवŏ':3 'fig':4 'அத':5 'பழம':6,food|fruit|plant,उम्बुळा॑|உம்பு3ளொ|upbuवo'|upbuवO|upbuवŏ|upbuवo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,fig,english,,english,,food|fruit|plant,,noun,
^,,அத்திப்பழம்,tamil,,tamil,'அததபபழம':1 'fig':2 'அத':3 'பழம':4,food|fruit|plant,உம்பு3ளொ,noun,
-,ꢧ,ꢧꣁꢥ꣄ꢥꢶꢱꢸ ꢦꣁ꣄ꢳ꣄ꢳꣁ,sourashtra,,,'ꢧꢥꢥꢱꢦꢳꢳ':1 'phonnisupollo':2 'phŏnnisupŏllŏ':3 'kind':4 'small':5 'jack':6 'fruit':7 'அய':8 'சக':9,food|fruit|plant,फ॑न्निसुपा॑ळ्ळा॑|பொ2ன்னிஸுபொள்ளொ|pho'nnisu po'l'l'o'|phOnnisu pOLLO|phŏnnisu pŏl̤l̤ŏ|pʰon̪n̪ɪs̪u poɭɭo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,a kind of small jack fruit,english,,english,,food|fruit|plant,,noun,
^,,அயினிச் சக்கை,tamil,,tamil,'அயனசசகக':1 'kind':2 'small':3 'jack':4 'fruit':5 'அய':6 'சக':7,food|fruit|plant,பொ2ன்னிஸுபொள்ளொ,noun,
-,ꢚ,ꢚꢵꢞꢸꢦꣁꢳ꣄ꢳꣁ,sourashtra,,,'ꢚꢞꢦꢳꢳ':1 'jhaadupollo':2 'jhadupollo':3 'jhāḍupŏllŏ':4 'pineapple':5 'அன':6,food|fruit|plant,झाडुपा॑ळ्ळा॑|ஜா2டு3பொள்ளொ|jhaad'upo'l'l'o'|jhADupOLLO|jhāḍupŏl̤l̤ŏ|d͡ʒʰɑːɖupoɭɭo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,pineapple,english,,english,,food|fruit|plant,,noun,
^,,அன்னாசி,tamil,,tamil,'அனனச':1 'pineapple':2 'அன':3,food|fruit|plant,ஜா2டு3பொள்ளொ,noun,
-,ꢃ,ꢃꢦ꣄ꢦꢳ꣄,sourashtra,,,'ꢃꢦꢦꢳ':1 'aappal':2 'appal':3 'āppal':4 'apple':5 'ஆப':6,food|fruit|plant,आप्पिळ|ஆப்பிள்|aappal'|AppaL|āppal̤|ɑːppəɭ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,apple,english,,english,,food|fruit|plant,,noun,
^,,ஆப்பிள்,tamil,,tamil,'ஆபபள':1 'apple':2 'ஆப':3,food|fruit|plant,ஆப்பிள்,noun,
-,ꢃ,ꢃꢬꢛ꣄ꢙꢶ,sourashtra,,,'ꢃꢬꢛꢙ':1 'aaranji':2 'arajji':3 'ārañji':4 'orange':5 'ஆரஞ':6,food|fruit|plant,आरञ्जि|ஆரஞ்ஜி|aaranji|AraJji|ārañji|ɑːɾəɲd͡ʒɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,orange,english,,english,,food|fruit|plant,,noun,
^,,ஆரஞ்சு,tamil,,tamil,'ஆரஞச':1 'orange':2 'ஆரஞ':3,food|fruit|plant,ஆரஞ்ஜி,noun,
-,ꢨ,ꢨꣂꢬꢸ ꢦꣁꢳ꣄ꢳꣁ,sourashtra,,,'ꢨꢬꢦꢳꢳ':1 'borupollo':2 'borupŏllŏ':3 'indian':4 'cherry':5 'இலந':6 'பழம':7,food|fruit|plant,बा॑रुपा॑ळ्ळा॑|போ3ருபொள்ளொ|boru po'l'l'o'|boru pOLLO|boru pŏl̤l̤ŏ|boːɾu poɭɭo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,Indian cherry,english,,english,,food|fruit|plant,,noun,
^,,இலந்தைப் பழம்,tamil,,tamil,'இலநதபபழம':1 'indian':2 'cherry':3 'இலந':4 'பழம':5,food|fruit|plant,போ3ருபொள்ளொ,noun,
-,ꢦ,ꢦꢾꢬ꣄ꢗ꣄ꢗꢪ꣄ꢦꣁꢳ꣄ꢳꣁ,sourashtra,,,'ꢦꢬꢗꢗꢪꢦꢳꢳ':1 'perchchampollo':2 'perccampollo':3 'pĕrccampŏllŏ':4 'date':5 'fruit':6 'ஈச':7 'சம':8 'பழம':9,food|fruit|plant,प॑र्च्चर्पा॑ळ्ळा॑|பெச்சம் பொள்ளொ|pe'rchchampo'l'l'o'|pErccampOLLO|pĕrccampŏl̤l̤ŏ|peɾt͡ʃt͡ʃəmpoɭɭo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,date fruit,english,,english,,food|fruit|plant,,noun,
^,,ஈச்சம் பழம்,tamil,,tamil,'ஈசசமபழம':1 'date':2 'fruit':3 'ஈச':4 'சம':5 'பழம':6,food|fruit|plant,பெச்சம் பொள்ளொ,noun,
-,ꢒ,ꢒꢫ꣄ꢭꣁ,sourashtra,,,'ꢒꢫꢭ':1 'kaylo':2 'kaylŏ':3 'unriped':4 'fruit':5,food|fruit|plant,कय्ला॑|கய்லொ|kaylo'|kaylO|kaylŏ|kəjlo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,unriped fruit,english,,english,,food|fruit|plant,,noun,
^,,காய்,tamil,,tamil,'கய':1 'unriped':2 'fruit':3,food|fruit|plant,கய்லொ,noun,
-,ꢗ,ꢗꢶꢦ꣄ꢦꣁ,sourashtra,,,'ꢗꢦꢦ':1 'chippo':2 'cippo':3 'cippŏ':4 'coconut':5 'shell':6 'டங':7 'கச':8,food|fruit|plant,चिप्पा॑|சிப்பொ|chippo'|cippO|cippŏ|t͡ʃɪppo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,coconut shell,english,,english,,food|fruit|plant,,noun,
^,,கொட்டங்கச்சி,tamil,,tamil,'கடடஙகசச':1 'coconut':2 'shell':3 'டங':4 'கச':5,food|fruit|plant,சிப்பொ,noun,
-,ꢒ,ꢒꣁꢜ꣄ꢜꢾ,sourashtra,,,'ꢒꢜꢜ':1 'kotte':2 'kŏṭṭĕ':3 'nut':4,food|fruit|plant,का॑ट्ट॑|கொட்டெ|ko't't'e'|kOTTE|kŏṭṭĕ|koʈʈe,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,nut,english,,english,,food|fruit|plant,,noun,
^,,கொட்டை,tamil,,tamil,'கடட':1 'nut':2,food|fruit|plant,கொட்டெ,noun,
-,ꢄ,ꢄꢪ꣄ꢨꢸꢳꣁ,sourashtra,,,'ꢄꢪꢨꢳ':1 'imbulo':2 'imbulŏ':3 'guava':4,food|fruit|plant,इम्बुळा॑|இம்பு3ளொ|imbul'o'|imbuLO|imbul̤ŏ|ɪmbuɭo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,guava,english,,english,,food|fruit|plant,,noun,
^,,கொய்யா,tamil,,tamil,'கயய':1 'guava':2,food|fruit|plant,இம்பு3ளொ,noun,
-,ꢗ,ꢗꢦ꣄ꢦꣂꢜ꣄ꢜꢵ,sourashtra,,,'ꢗꢦꢦꢜꢜ':1 'chappottaa':2 'cappotta':3 'cappoṭṭā':4 'sapota':5 'சப':6,food|fruit|plant,चप्प्पा॑ट्टा|சப்போட்டா|chappot't'aa|cappoTTA|cappoṭṭā|t͡ʃəppoːʈʈɑː,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,sapota,english,,english,,food|fruit|plant,,noun,
^,,சப்போட்டா,tamil,,tamil,'சபபடட':1 'sapota':2 'சப':3,food|fruit|plant,சப்போட்டா,noun,
-,ꢱ,ꢱꢷꢡꢵ ꢦꣁꢳ꣄ꢳꣁ,sourashtra,,,'ꢱꢡꢦꢳꢳ':1 'seetaapollo':2 'sitapollo':3 'sītāpŏllŏ':4 'sita':5 'fruit':6 'பழம':7,food|fruit|plant,सीतापा॑ळ्ळा॑|ஸீதாபொள்ளொ|seetaa po'l'l'o'|sItA pOLLO|sītā pŏl̤l̤ŏ|s̪iːt̪ɑː poɭɭo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,sita fruit,english,,english,,food|fruit|plant,,noun,
^,,சீதாப் பழம்,tamil,,tamil,'சதபபழம':1 'sita':2 'fruit':3 'பழம':4,food|fruit|plant,ஸீதாபொள்ளொ,noun,
-,ꢒ,ꢒꢷꢡ꣄,sourashtra,,,'ꢒꢡ':1 'keet':2 'kit':3 'kīt':4 'petal':5 'the':6 'cluster':7 'fruit':8,food|fruit|plant,कीत|கீத்|keet|kIt|kīt|kiːt̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,petal of the cluster fruit,english,,english,,food|fruit|plant,,noun,
^,,சுளை,tamil,,tamil,'சள':1 'petal':2 'the':3 'cluster':4 'fruit':5,food|fruit|plant,கீத்,noun,
-,ꢡ,ꢡꢒ꣄ꢒꢵꢳꢶ,sourashtra,,,'ꢡꢒꢒꢳ':1 'takkaali':2 'takkali':3 'takkāli':4 'tomato':5 'தக':6,food|fruit|plant,तक्काळि|தக்காளி|takkaal'i|takkALi|takkāl̤i|t̪əkkɑːɭɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,tomato,english,,english,,food|fruit|plant,,noun,
^,,தக்காளி,tamil,,tamil,'தககள':1 'tomato':2 'தக':3,food|fruit|plant,தக்காளி,noun,
-,ꢣ,ꢣꢬ꣄ꢨꢹꢱ꣄,sourashtra,,,'ꢣꢬꢨꢱ':1 'darboos':2 'darbus':3 'darbūs':4 'water':5 'melon':6 'தர':7 'சண':8,food|fruit|plant,दर्बूस्|த3ர்பூ3ஸ்|darboos|darbUs|darbūs|d̪əɾbuːs̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,water melon,english,,english,,food|fruit|plant,,noun,
^,,தர்பூசணி,tamil,,tamil,'தரபசண':1 'water':2 'melon':3 'தர':4 'சண':5,food|fruit|plant,த3ர்பூ3ஸ்,noun,
-,ꢡ,ꢡꢶꢬꢵꢒ꣄ꢰꣁ,sourashtra,,,'ꢡꢬꢒꢰ':1 'tiraaksho':2 'tirakso':3 'tirākṣŏ':4 'grapes':5 'grape':6,food|fruit|plant,तिराक्ष|தி3ராக்ஷொ|tiraaksho'|tirAkSO|tirākṣŏ|t̪ɪɾɑːkʂo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,grapes,english,,english,,food|fruit|plant,,noun,
^,,திராட்சை,tamil,,tamil,'தரடச':1 'grapes':2 'grape':3,food|fruit|plant,தி3ராக்ஷொ,noun,
-,ꢡ,ꢡꣁꢮ꣄ꢞꣁ,sourashtra,,,'ꢡꢮꢞ':1 'tovdo':2 'tŏvḍŏ':3 'skin':4 'the':5 'fruit':6,food|fruit|plant,ता॑व्टा॑|தொவ்டொ|to'vd'o'|tOvDO|tŏvḍŏ|t̪oʋɖo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,skin of the fruit,english,,english,,food|fruit|plant,,noun,
^,,தோல்,tamil,,tamil,'தல':1 'skin':2 'the':3 'fruit':4,food|fruit|plant,தொவ்டொ,noun,
-,ꢣ,ꢣꣁꢬꢶ,sourashtra,,,'ꢣꢬ':1 'dori':2 'dŏri':3 'fibre':4,food|fruit|plant,दा॑रि|தொ3ரி|do'ri|dOri|dŏri|d̪oɾɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,fibre,english,,english,,food|fruit|plant,,noun,
^,,நார்,tamil,,tamil,'நர':1 'fibre':2,food|fruit|plant,தொ3ரி,noun,
-,ꢥ,ꢥꢵꢬꣁ,sourashtra,,,'ꢥꢬ':1 'naaro':2 'naro':3 'nārŏ':4 'fibre':5,food|fruit|plant,नारा॑|நாரொ|naaro'|nArO|nārŏ|n̪ɑːɾo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,fibre,english,,english,,food|fruit|plant,,noun,
^,,நார்,tamil,,tamil,'நர':1 'fibre':2,food|fruit|plant,நாரொ,noun,
-,ꢮ,ꢮꢷꢜ꣄,sourashtra,,,'ꢮꢜ':1 'veet':2 'vit':3 'vīṭ':4 'variety':5 'fibre':6 'lime':7 'தங':8,food|fruit|plant,वीट्|வீட்|veet'|vIT|vīṭ|ʋiːʈ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,a variety of fibre lime,english,,english,,food|fruit|plant,,noun,
^,,நார்த்தங்காய்,tamil,,tamil,'நரததஙகய':1 'variety':2 'fibre':3 'lime':4 'தங':5,food|fruit|plant,வீட்,noun,
-,ꢙ,ꢙꢾꢪ꣄ꢨꢸ ꢦꣁꢳ꣄ꢳꣁ,sourashtra,,,'ꢙꢪꢨꢦꢳꢳ':1 'jembupollo':2 'jĕmbupŏllŏ':3 'black':4 'berry':5 'வல':6 'பழம':7,food|fruit|plant,ज॑म्बुपा॑ळ्ळा॑|ஜெம்பு3பொள்ளொ|je'mbu po'l'l'o'|jEmbu pOLLO|jĕmbu pŏl̤l̤ŏ|d͡ʒembu poɭɭo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,black berry,english,,english,,food|fruit|plant,,noun,
^,,நாவல் பழம்,tamil,,tamil,'நவலபழம':1 'black':2 'berry':3 'வல':4 'பழம':5,food|fruit|plant,ஜெம்பு3பொள்ளொ,noun,
-,ꢱ,ꢱꢸꢒ꣄ꢒꢾꢥꢬꢳ꣄,sourashtra,,,'ꢱꢒꢒꢥꢬꢳ':1 'sukkenaral':2 'sukkĕnaral':3 'fully':4 'ripped':5 'coconut':6 'any':7 'fruit':8 'rip':9,food|fruit|plant,सुक्क॑ नरळ|ஸுக்கெநரள்|sukke'naral'|sukkEnaraL|sukkĕnaral̤|s̪ukken̪əɾəɭ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,fully ripped coconut or any fruit,english,,english,,food|fruit|plant,,noun,
^,,நெற்று,tamil,,tamil,'நறற':1 'fully':2 'ripped':3 'coconut':4 'any':5 'fruit':6 'rip':7,food|fruit|plant,ஸுக்கெநரள்,noun,
-,ꢥ,ꢥꢿꢥ꣄ꢣꢶꢬꢪ꣄ ꢒꢾꢳꣁ,sourashtra,,,'ꢥꢥꢣꢬꢪꢒꢳ':1 'nendiramkelo':2 'nendiramkĕlŏ':3 'banana':4 'ரம':5 'பழம':6,food|fruit|plant,नेन्दिरम्क॑ळा॑|நேந்தி3ரம் கெளொ|nendiram ke'l'o'|nendiram kELO|nendiram kĕl̤ŏ|n̪eːn̪d̪ɪɾəm keɭo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,banana,english,,english,,food|fruit|plant,,noun,
^,,நேந்திரம் பழம்,tamil,,tamil,'நநதரமபழம':1 'banana':2 'ரம':3 'பழம':4,food|fruit|plant,நேந்தி3ரம் கெளொ,noun,
-,ꢦ,ꢦꢦ꣄ꢦꢵꢳꢶ,sourashtra,,,'ꢦꢦꢦꢳ':1 'pappaali':2 'pappali':3 'pappāli':4 'papaya':5 'பப':6,food|fruit|plant,पप्पाळि|பப்பாளி|pappaal'i|pappALi|pappāl̤i|pəppɑːɭɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,papaya,english,,english,,food|fruit|plant,,noun,
^,,பப்பாளி,tamil,,tamil,'பபபள':1 'papaya':2 'பப':3,food|fruit|plant,பப்பாளி,noun,
