-,ꢂ,ꢂꢣꢿꢖ꣄ꢒꢦ꣄ꢦꢵ,sourashtra,,,'ꢂꢣꢖꢒꢦꢦ':1 'adenkappaa':2 'adegkappa':3 'adeṅkappā':4 'expression':5 'wonder':6 'அடட':7,action|activity|function,अडेङ्कप्पा|அடே3ங்கப்பா|adenkappaa|adeGkappA|adeṅkappā|əd̪eːŋkəppɑː,,"{""""script"""":""""sourashtra"""",""""category"""":""""verb"""",""""type"""":""""abstract""""}"
^,,expression of wonder,english,,english,,action|activity|function,,verb,
^,,அடடா,tamil,,tamil,'அடட':1 'expression':2 'wonder':3,action|activity|function,அடே3ங்கப்பா,verb,
-,ꢂ,ꢂꢪ꣄ꢪꢵꢞꢶ,sourashtra,,,'ꢂꢪꢪꢞ':1 'ammaadi':2 'ammadi':3 'ammāḍi':4 'expression':5 'wonder':6 'அடட':7,action|activity|function,अम्माडि|அம்மாடி3|ammaad'i|ammADi|ammāḍi|əmmɑːɖɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""verb"""",""""type"""":""""abstract""""}"
-,ꢂ,ꢂꢮ ꢂꢪ꣄ꢨꢵ,sourashtra,,,'ꢂꢮꢂꢪꢨ':1 'avaambaa':2 'avaamba':3 'avaambā':4 'expression':5 'wonder':6 'அடட':7,action|activity|function,अव अम्बा|அவ அம்பா3|ava ambaa|ava ambA|ava ambā|əʋə əmbɑː,,"{""""script"""":""""sourashtra"""",""""category"""":""""verb"""",""""type"""":""""abstract""""}"
-,ꢡ,ꢡꢾꢭ꣄ꢫꢒ ꢲꢵꢭ꣄,sourashtra,,,'ꢡꢭꢫꢒꢲꢭ':1 'telyakahaal':2 'telyakahal':3 'tĕlyakahāl':4 'அதன':5 'ஆக':6,action|activity|function,तेल्यक हाल|தெல்யக ஹால்|te'lyaka haal|tElyaka hAl|tĕlyaka hāl|t̪eljəkə ɦɑːl,,"{""""script"""":""""sourashtra"""",""""category"""":""""verb"""",""""type"""":""""abstract""""}"
^,,so,english,,english,,action|activity|function,,verb,
^,,அதனால்,tamil,,tamil,'அதனல':1 'அதன':2,action|activity|function,தெல்யக ஹால்,verb,
^,,ஆகையால்,tamil,,tamil,'ஆகயல':1 'ஆக':2,action|activity|function,தெல்யக ஹால்,verb,
-,ꢲ,ꢲꢵꢭꢶꢪ꣄,sourashtra,,,'ꢲꢭꢪ':1 'haalim':2 'halim':3 'hālim':4 'அதன':5,action|activity|function,हालिम|ஹாலிம்|haalim|hAlim|hālim|ɦɑːlɪm,,"{""""script"""":""""sourashtra"""",""""category"""":""""verb"""",""""type"""":""""abstract""""}"
