-,ꢂ,ꢂꢒ꣄ꢰꢬ꣄,sourashtra,,,'ꢂꢒꢰꢬ':1 'akshar':2 'aksar':3 'akṣar':4 'syllable':5 'அச':6,grammar|language|linguistic,अक्षर्|அக்ஷர்|akshar|akSar|akṣar|əkʂəɾ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,syllable,english,,english,,grammar|language|linguistic,,noun,
^,,அசை,tamil,,tamil,'அச':1 'syllable':2,grammar|language|linguistic,அக்ஷர்,noun,
-,ꢂ,ꢂꢒ꣄ꢰꢵꢥ꣄ꢡꢬ꣄,sourashtra,,,'ꢂꢒꢰꢥꢡꢬ':1 'akshaantar':2 'aksantar':3 'akṣāntar':4 'coda':5 'அச':6,grammar|language|linguistic,अक्षान्तर्|அக்ஷாந்தர்|akshaantar|akSAntar|akṣāntar|əkʂɑːn̪t̪əɾ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,coda,english,,english,,grammar|language|linguistic,,noun,
^,,அசையீறு,tamil,,tamil,'அசயற':1 'coda':2 'அச':3,grammar|language|linguistic,அக்ஷாந்தர்,noun,
-,ꢮ,ꢮꢶꢯꢿꢰꢠꣁ ꢔꢸꢠꢶ,sourashtra,,,'ꢮꢯꢰꢠꢔꢠ':1 'visheshanoguni':2 'vizesanoguni':3 'viśeṣaṇŏguṇi':4 'attribute':5 'அட':6,grammar|language|linguistic,विसेषणा॑|விஸேஷணொ|visheshano' guni|vizeSaNO guNi|viśeṣaṇŏ guṇi|ʋɪʃeːʂəɳo guɳɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,attribute,english,,english,,grammar|language|linguistic,,noun,
^,,அடை,tamil,,tamil,'அட':1 'attribute':2,grammar|language|linguistic,விஸேஷணொ,noun,
-,ꢮ,ꢮꢶꢯꢿꢰꢠꣁ ꢔꢸꢠꢶ,sourashtra,,,'ꢮꢯꢰꢠꢔꢠ':1 'visheshanoguni':2 'vizesanoguni':3 'viśeṣaṇŏguṇi':4 'attribute':5 'அட':6,grammar|language|linguistic,गुणि|கு3ணி|visheshano' guni|vizeSaNO guNi|viśeṣaṇŏ guṇi|ʋɪʃeːʂəɳo guɳɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,attribute,english,,english,,grammar|language|linguistic,,noun,
^,,அடை,tamil,,tamil,'அட':1 'attribute':2,grammar|language|linguistic,கு3ணி,noun,
-,ꢡ,ꢡꢵꢭꢸ ꢱꢨ꣄ꢣꢸ,sourashtra,,,'ꢡꢭꢱꢨꢣ':1 'taalusabdu':2 'talusabdu':3 'tālusabdu':4 'palatal':5 'sounds':6 'sound':7 'அண':8 'ஒல':9,grammar|language|linguistic,तालुसब्दु|தாலுஸப்3து3|taalu sabdu|tAlu sabdu|tālu sabdu|t̪ɑːlu s̪əbd̪u,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,palatal sounds,english,,english,,grammar|language|linguistic,,noun,
^,,அண்ண ஒலி,tamil,,tamil,'அணணஒல':1 'palatal':2 'sounds':3 'sound':4 'அண':5 'ஒல':6,grammar|language|linguistic,தாலுஸப்3து3,noun,
-,ꢲ,ꢲꢬꢶꢞꢶ ꢱꢨ꣄ꢣꢸ,sourashtra,,,'ꢲꢬꢞꢱꢨꢣ':1 'haridisabdu':2 'hariḍisabdu':3 'palatal':4 'sounds':5 'sound':6 'அண':7 'ஒல':8,grammar|language|linguistic,हरडिसब्दु|ஹரிடி3ஸப்3து3|harid'i sabdu|hariDi sabdu|hariḍi sabdu|ɦəɾɪɖɪ s̪əbd̪u,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,palatal sounds,english,,english,,grammar|language|linguistic,,noun,
^,,அண்ண ஒலி,tamil,,tamil,'அணணஒல':1 'palatal':2 'sounds':3 'sound':4 'அண':5 'ஒல':6,grammar|language|linguistic,ஹரிடி3ஸப்3து3,noun,
-,ꢬ,ꢬꢹꢦꢮꢬ꣄ꢠꢶ,sourashtra,,,'ꢬꢦꢮꢬꢠ':1 'roopavarni':2 'rupavarni':3 'rūpavarṇi':4 'figure':5 'speech':6 'அண':7,grammar|language|linguistic,रूपवर्णि|ரூபவர்ணி|roopavarni|rUpavarNi|rūpavarṇi|ɾuːpəʋəɾɳɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,figure of speech,english,,english,,grammar|language|linguistic,,noun,
^,,அணி,tamil,,tamil,'அண':1 'figure':2 'speech':3,grammar|language|linguistic,ரூபவர்ணி,noun,
-,ꢂ,ꢂꢭꢖ꣄ꢒꢵꢬ꣄,sourashtra,,,'ꢂꢭꢖꢒꢬ':1 'alankaar':2 'alagkar':3 'alaṅkār':4 'figure':5 'speech':6 'அண':7,grammar|language|linguistic,अलङकार्|அலங்கார்|alankaar|alaGkAr|alaṅkār|ələŋkɑːɾ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,figure of speech,english,,english,,grammar|language|linguistic,,noun,
^,,அணி,tamil,,tamil,'அண':1 'figure':2 'speech':3,grammar|language|linguistic,அலங்கார்,noun,
-,ꢬ,ꢬꢹꢦꢸ ꢥꢶꢬ꣄ꢪꢵꢥ꣄,sourashtra,,,'ꢬꢦꢥꢬꢪꢥ':1 'roopunirmaan':2 'rupunirman':3 'rūpunirmān':4 'structure':5 'அம':6,grammar|language|linguistic,रूपु निर्मान्|ரூபு நிர்மான்|roopu nirmaan|rUpu nirmAn|rūpu nirmān|ɾuːpu n̪ɪɾmɑːn̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,structure,english,,english,,grammar|language|linguistic,,noun,
^,,அமைப்பு,tamil,,tamil,'அமபப':1 'structure':2 'அம':3,grammar|language|linguistic,ரூபு நிர்மான்,noun,
-,ꢩ,ꢩꢖ꣄ꢔꢶ ꢩꢵꢰꢥ꣄,sourashtra,,,'ꢩꢖꢔꢩꢰꢥ':1 'bhangibhaashan':2 'bhaggibhasan':3 'bhaṅgibhāṣan':4 'indirect':5 'speeeh':6 'அயற':7,grammar|language|linguistic,बङगिभाषन्|ப4ங்கி3பா4ஷண்|bhangi bhaashan|bhaGgi bhASan|bhaṅgi bhāṣan|bʰəŋgɪ bʰɑːʂən̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,indirect speeeh,english,,english,,grammar|language|linguistic,,noun,
^,,அயற் கூற்று,tamil,,tamil,'அயறகறற':1 'indirect':2 'speeeh':3 'அயற':4,grammar|language|linguistic,ப4ங்கி3பா4ஷண்,noun,
-,ꢦ,ꢦꢬꣂꢰ ꢩꢵꢰꢠ꣄,sourashtra,,,'ꢦꢬꢰꢩꢰꢠ':1 'paroshabhaashan':2 'parosabhasan':3 'paroṣabhāṣaṇ':4 'indirect':5 'speeeh':6 'அயற':7,grammar|language|linguistic,परोक्षभाषण्|பரோக்ஷபா4ஷண்|parosha bhaashan|paroSa bhASaN|paroṣa bhāṣaṇ|pəɾoːʂə bʰɑːʂəɳ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,indirect speeeh,english,,english,,grammar|language|linguistic,,noun,
