-,ꢨ,ꢨꢾꢫ꣄,sourashtra,,,'ꢨꢫ':1 'bey':2 'bĕy':3 'elder':4 'sister':5 'அக':6,family|relationship|social,ब॑य्|பெ3ய்|be'y|bEy|bĕy|bej,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,elder sister,english,,english,,family|relationship|social,,noun,
^,,அக்கா,tamil,,tamil,'அகக':1 'elder':2 'sister':3 'அக':4,family|relationship|social,பெ3ய்,noun,
-,ꢣ,ꢣꢣꣁ,sourashtra,,,'ꢣꢣ':1 'dado':2 'dadŏ':3 'elder':4 'brother':5 'அண':6 'ணன':7,family|relationship|social,ददा॑|த3தொ3|dado'|dadO|dadŏ|d̪əd̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,elder brother,english,,english,,family|relationship|social,,noun,
^,,அண்ணன்,tamil,,tamil,'அணணன':1 'elder':2 'brother':3 'அண':4 'ணன':5,family|relationship|social,த3தொ3,noun,
-,ꢩ,ꢩꢮꢶ,sourashtra,,,'ꢩꢮ':1 'bhavi':2 'elder':3 'brother':4 'wife':5 'அண':6,family|relationship|social,भवि|ப4வி|bhavi|bhavi|bhavi|bʰəʋɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,elder brother’s wife,english,,english,,family|relationship|social,,noun,
^,,அண்ணி,tamil,,tamil,'அணண':1 'elder':2 'brother':3 'wife':4 'அண':5,family|relationship|social,ப4வி,noun,
-,ꢩ,ꢩꢮꣁ,sourashtra,,,'ꢩꢮ':1 'bhavo':2 'bhavŏ':3 'brother':4 'law':5 'அத':6,family|relationship|social,भवा॑|ப4வொ|bhavo'|bhavO|bhavŏ|bʰəʋo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,brother in law,english,,english,,family|relationship|social,,noun,
^,,அத்தான்,tamil,,tamil,'அததன':1 'brother':2 'law':3 'அத':4,family|relationship|social,ப4வொ,noun,
-,ꢧ,ꢧꢸꢄ~,sourashtra,,,'ꢧꢄ':1 'phui':2 'aunty':3 'அத':4,family|relationship|social,फुइ~|பு2இ~|phui~|phui~|phui~|pʰuɪ~,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,aunty,english,,english,,family|relationship|social,,noun,
^,,அத்தை,tamil,,tamil,'அதத':1 'aunty':2 'அத':3,family|relationship|social,பு2இ~,noun,
-,ꢂ,ꢂꢪ꣄ꢪꣁ,sourashtra,,,'ꢂꢪꢪ':1 'ammo':2 'ammŏ':3 'father':4 'mother':5 'அப':6 'பத':7,family|relationship|social,अम्मा॑|அம்மொ|ammo'|ammO|ammŏ|əmmo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,father’s mother,english,,english,,family|relationship|social,,noun,
^,,அப்பத்தா,tamil,,tamil,'அபபதத':1 'father':2 'mother':3 'அப':4 'பத':5,family|relationship|social,அம்மொ,noun,
-,ꢨ,ꢨꣂ,sourashtra,,,'bo':1 'father':2 'அப':3 'தந':4 'தகப':5 'பன':6,family|relationship|social,बो|போ3|bo|bo|bo|boː,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,father,english,,english,,family|relationship|social,,noun,
^,,அப்பா  / தந்தை தகப்பன்,tamil,,tamil,'அபபதநததகபபன':1 'father':2 'அப':3 'தந':4 'தகப':5 'பன':6,family|relationship|social,போ3,noun,
-,ꢨ,ꢨꢵꢦ꣄,sourashtra,,,'ꢨꢦ':1 'baap':2 'bap':3 'bāp':4 'father':5 'அப':6 'தந':7 'தகப':8 'பன':9,family|relationship|social,बाप्|பா3ப்|baap|bAp|bāp|bɑːp,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,father,english,,english,,family|relationship|social,,noun,
^,,அப்பா  / தந்தை தகப்பன்,tamil,,tamil,'அபபதநததகபபன':1 'father':2 'அப':3 'தந':4 'தகப':5 'பன':6,family|relationship|social,பா3ப்,noun,
-,ꢂ,ꢂꢪ꣄ꢨꣁ,sourashtra,,,'ꢂꢪꢨ':1 'ambo':2 'ambŏ':3 'mother':4 'அம':5 'அன':6,family|relationship|social,अम्बा॑|அம்பொ3|ambo'|ambO|ambŏ|əmbo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,mother,english,,english,,family|relationship|social,,noun,
^,,அம்மா /அன்னை,tamil,,tamil,'அமமஅனன':1 'mother':2 'அம':3 'அன':4,family|relationship|social,அம்பொ3,noun,
-,ꢂ,ꢂꢙ꣄ꢙꢶ,sourashtra,,,'ꢂꢙꢙ':1 'ajji':2 'mother':3 'அம':4 'ஆச':5,family|relationship|social,अज्जि|அஜ்ஜி|ajji|ajji|ajji|əd͡ʒd͡ʒɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,mother`s mother,english,,english,,family|relationship|social,,noun,
^,,அம்மாச்சி / ஆச்சி,tamil,,tamil,'அமமசசஆசச':1 'mother':2 'அம':3 'ஆச':4,family|relationship|social,அஜ்ஜி,noun,
-,ꢂ,ꢂꢙ꣄ꢙꢶ ꢂꢪ꣄ꢨꣁ,sourashtra,,,'ꢂꢙꢙꢂꢪꢨ':1 'ajjiambo':2 'ajjiambŏ':3 'grand':4 'mother':5 'ஆத':6,family|relationship|social,अज्जि अम्बा॑|அஜ்ஜிஅம்பொ3|ajji ambo'|ajji ambO|ajji ambŏ|əd͡ʒd͡ʒɪ əmbo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,grand mother`s mother,english,,english,,family|relationship|social,,noun,
^,,ஆத்தா,tamil,,tamil,'ஆதத':1 'grand':2 'mother':3 'ஆத':4,family|relationship|social,அஜ்ஜிஅம்பொ3,noun,
-,ꢒ,ꢒꢵꢪ꣄ ꢒꢾꢬ꣄ꢡ꣄ꢡꢶꢥ꣄,sourashtra,,,'ꢒꢪꢒꢬꢡꢡꢥ':1 'kaamkerttin':2 'kamkerttin':3 'kāmkĕrttin':4 'care':5 'taker':6 'ஆய':7,family|relationship|social,काम क॑र्त्तिन्|காம் கெர்த்தின்|kaam ke'rttin|kAm kErttin|kām kĕrttin|kɑːm keɾt̪t̪ɪn̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,Care taker,english,,english,,family|relationship|social,,noun,
^,,ஆயா,tamil,,tamil,'ஆய':1 'care':2 'taker':3,family|relationship|social,காம் கெர்த்தின்,noun,
-,ꢱ,ꢱꢾꢥ꣄ꢡꣁꢙꢶꢥ꣄,sourashtra,,,'ꢱꢥꢡꢙꢥ':1 'sentojin':2 'sĕntŏjin':3 'brothers':4 'and':5 'sisters':6 'brother':7 'sister':8 'உடன':9 'றப':10 'கள':11,family|relationship|social,स॑न्ता॑जिन|ஸெந்தொஜின்|se'nto'jin|sEntOjin|sĕntŏjin|s̪en̪t̪od͡ʒɪn̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,brothers and sisters,english,,english,,family|relationship|social,,noun,
^,,உடன் பிறப்புகள்,tamil,,tamil,'உடனபறபபகள':1 'brothers':2 'and':3 'sisters':4 'brother':5 'sister':6 'உடன':7 'றப':8 'கள':9,family|relationship|social,ஸெந்தொஜின்,noun,
-,ꢨ,ꢨꣀꢨꢾꢫ꣄ꢥꢾꢥ꣄,sourashtra,,,'ꢨꢨꢫꢥꢥ':1 'baibeynen':2 'baibĕynĕn':3 'brothers':4 'and':5 'sisters':6 'brother':7 'sister':8 'உடன':9 'றப':10 'கள':11,family|relationship|social,भै भेय्न॑न|பை4 பெ4ய்னென்|baibe'yne'n|baibEynEn|baibĕynĕn|bəɪbejn̪en̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,brothers and sisters,english,,english,,family|relationship|social,,noun,
^,,உடன் பிறப்புகள்,tamil,,tamil,'உடனபறபபகள':1 'brothers':2 'and':3 'sisters':4 'brother':5 'sister':6 'உடன':7 'றப':8 'கள':9,family|relationship|social,பை4 பெ4ய்னென்,noun,
-,ꢨ,ꢨꢥ꣄ꢤꢸꢙꢾꢥꢵꢥ꣄,sourashtra,,,'ꢨꢥꢤꢙꢥꢥ':1 'bandhujenaan':2 'bandhujenan':3 'bandhujĕnān':4 'relatives':5 'relative':6 'உறவ':7 'னர':8 'தங':9 'கள':10,family|relationship|social,बन्धुज॑नान|ப3ந்து4ஜெனான்|bandhuje'naan|bandhujEnAn|bandhujĕnān|bən̪d̪ʰud͡ʒen̪ɑːn̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,relatives,english,,english,,family|relationship|social,,noun,
^,,"உறவினர், சொந்தங்கள்",tamil,,tamil,'உறவனரசநதஙகள':1 'relatives':2 'relative':3 'உறவ':4 'னர':5 'தங':6 'கள':7,family|relationship|social,ப3ந்து4ஜெனான்,noun,
-,ꢐ,ꢐꢱ꣄ꢡꢸꢥ꣄,sourashtra,,,'ꢐꢱꢡꢥ':1 'ostun':2 'relatives':3 'relative':4 'உறவ':5 'னர':6 'தங':7 'கள':8,family|relationship|social,आ॑स्तुन|ஒஸ்துன்|ostun|ostun|ostun|oːs̪t̪un̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,relatives,english,,english,,family|relationship|social,,noun,
^,,"உறவினர், சொந்தங்கள்",tamil,,tamil,'உறவனரசநதஙகள':1 'relatives':2 'relative':3 'உறவ':4 'னர':5 'தங':6 'கள':7,family|relationship|social,ஒஸ்துன்,noun,
-,ꢨ,ꢨꢥ꣄ꢣꢸꢦꢥ꣄,sourashtra,,,'ꢨꢥꢣꢦꢥ':1 'bandupan':2 'relationship':3 'உறவ':4 'தம':5,family|relationship|social,बन्धुपन|ப3ந்து4பன்|bandupan|bandupan|bandupan|bən̪d̪upən̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,relationship,english,,english,,family|relationship|social,,noun,
^,,"உறவு, சொந்தம்",tamil,,tamil,'உறவசநதம':1 'relationship':2 'உறவ':3 'தம':4,family|relationship|social,ப3ந்து4பன்,noun,
-,ꢏ,ꢏꢱ꣄ꢡꢸ,sourashtra,,,'ꢏꢱꢡ':1 'ostu':2 'ŏstu':3 'relationship':4 'உறவ':5 'தம':6,family|relationship|social,आ॑स्तु|ஒஸ்து|o'stu|Ostu|ŏstu|os̪t̪u,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,relationship,english,,english,,family|relationship|social,,noun,
^,,"உறவு, சொந்தம்",tamil,,tamil,'உறவசநதம':1 'relationship':2 'உறவ':3 'தம':4,family|relationship|social,ஒஸ்து,noun,
-,ꢣ,ꢣꢾꢮ꣄ꢬꢥꢶ ꢚꢾꢞꢥꢶꢥ꣄,sourashtra,,,'ꢣꢮꢬꢥꢚꢞꢥꢥ':1 'devranijhedanin':2 'dĕvranijhĕḍanin':3 'sisters':4 'sister':5 'ஓரகத':6,family|relationship|social,देव्रन्|தெ3வ்ரன்ஜெ2டனின்|de'vrani jhe'd'anin|dEvrani jhEDanin|dĕvrani jhĕḍanin|d̪eʋɾən̪ɪ d͡ʒʰeɖən̪ɪn̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,Co-sisters,english,,english,,family|relationship|social,,noun,
^,,ஓரகத்தி,tamil,,tamil,'ஓரகதத':1 'sisters':2 'sister':3 'ஓரகத':4,family|relationship|social,தெ3வ்ரன்ஜெ2டனின்,noun,
