-,ꢂ,ꢂꢠ꣄ꢗꢸ ꢮꢔꢡꢶ,sourashtra,,,'ꢂꢠꢗꢮꢔꢡ':1 'anchuvagati':2 'ancuvagati':3 'aṇcuvagati':4 'suppression':5 'அடக':6,law|legal|order,अण्चुव गति|அண்சுவ க3தி|anchu vagati|aNcu vagati|aṇcu vagati|əɳt͡ʃu ʋəgət̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,suppression,english,,english,,law|legal|order,,noun,
^,,அடக்குமுறை,tamil,,tamil,'அடககமற':1 'suppression':2 'அடக':3,law|legal|order,அண்சுவ க3தி,noun,
-,ꢂ,ꢂꢥ꣄ꢫꢵꢮ꣄,sourashtra,,,'ꢂꢥꢫꢮ':1 'anyaav':2 'anyav':3 'anyāv':4 'injustice':5 'அந':6 'யம':7,law|legal|order,अन्याव|அந்யாவ்|anyaav|anyAv|anyāv|ən̪jɑːʋ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,injustice,english,,english,,law|legal|order,,noun,
^,,அநியாயம்,tamil,,tamil,'அநயயம':1 'injustice':2 'அந':3 'யம':4,law|legal|order,அந்யாவ்,noun,
-,ꢂ,ꢂꢒ꣄ꢬꢪꣁ,sourashtra,,,'ꢂꢒꢬꢪ':1 'akramo':2 'akramŏ':3 'injustice':4 'அந':5 'யம':6,law|legal|order,अक्रमा॑|அக்ரமொ|akramo'|akramO|akramŏ|əkɾəmo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,injustice,english,,english,,law|legal|order,,noun,
^,,அநியாயம்,tamil,,tamil,'அநயயம':1 'injustice':2 'அந':3 'யம':4,law|legal|order,அக்ரமொ,noun,
-,ꢂ,ꢂꢞꢡ꣄,sourashtra,,,'ꢂꢞꢡ':1 'adat':2 'aḍat':3 'injustice':4 'அந':5 'யம':6,law|legal|order,अडात|அடா3த்|ad'at|aDat|aḍat|əɖət̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,injustice,english,,english,,law|legal|order,,noun,
^,,அநியாயம்,tamil,,tamil,'அநயயம':1 'injustice':2 'அந':3 'யம':4,law|legal|order,அடா3த்,noun,
-,ꢂ,ꢂꢞꢵꢡ꣄,sourashtra,,,'ꢂꢞꢡ':1 'adaat':2 'adat':3 'aḍāt':4 'injustice':5 'அந':6,law|legal|order,अडात|அடா3த்|ad'aat|aDAt|aḍāt|əɖɑːt̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,injustice,english,,english,,law|legal|order,,noun,
^,,அநீதி,tamil,,tamil,'அநத':1 'injustice':2 'அந':3,law|legal|order,அடா3த்,noun,
-,ꢂ,ꢂꢥ꣄ꢫꢵꢮ꣄,sourashtra,,,'ꢂꢥꢫꢮ':1 'anyaav':2 'anyav':3 'anyāv':4 'injustice':5 'அந':6,law|legal|order,अन्याव|அந்யாவ்|anyaav|anyAv|anyāv|ən̪jɑːʋ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,injustice,english,,english,,law|legal|order,,noun,
^,,அநீதி,tamil,,tamil,'அநத':1 'injustice':2 'அந':3,law|legal|order,அந்யாவ்,noun,
-,ꢃ,ꢃꢥꢷꢞꢶ,sourashtra,,,'ꢃꢥꢞ':1 'aaneedi':2 'anidi':3 'ānīḍi':4 'injustice':5 'அந':6,law|legal|order,अनीदि|அநீதி3|aaneed'i|AnIDi|ānīḍi|ɑːn̪iːɖɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,injustice,english,,english,,law|legal|order,,noun,
^,,அநீதி,tamil,,tamil,'அநத':1 'injustice':2 'அந':3,law|legal|order,அநீதி3,noun,
-,ꢂ,ꢂꢦꢬꢵꢤ꣄,sourashtra,,,'ꢂꢦꢬꢤ':1 'aparaadh':2 'aparadh':3 'aparādh':4 'fine':5 'அபர':6 'தம':7,law|legal|order,अपराध|அப்ராத்4|aparaadh|aparAdh|aparādh|əpəɾɑːd̪ʰ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,fine,english,,english,,law|legal|order,,noun,
^,,அபராதம்,tamil,,tamil,'அபரதம':1 'fine':2 'அபர':3 'தம':4,law|legal|order,அப்ராத்4,noun,
-,ꢂ,ꢂꢪꢭ꣄,sourashtra,,,'ꢂꢪꢭ':1 'amal':2 'force':3 'implement':4 'அமல':5,law|legal|order,अमल्|அமல்|amal|amal|amal|əməl,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,"in force, implement",english,,english,,law|legal|order,,noun,
^,,அமல்,tamil,,tamil,'அமல':1 'force':2 'implement':3,law|legal|order,அமல்,noun,
-,ꢦ,ꢦꢬꢶꢦꢵꢭꢥꣁ,sourashtra,,,'ꢦꢬꢦꢭꢥ':1 'paripaalano':2 'paripalano':3 'paripālanŏ':4 'force':5 'implement':6 'அமல':7,law|legal|order,परिपालना॑|பரிபாலனொ|paripaalano'|paripAlanO|paripālanŏ|pəɾɪpɑːlən̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,"in force, implement",english,,english,,law|legal|order,,noun,
^,,அமல்,tamil,,tamil,'அமல':1 'force':2 'implement':3,law|legal|order,பரிபாலனொ,noun,
-,ꢬ,ꢬꢾꢗ꣄ꢗꢒꢹꢡ꣄,sourashtra,,,'ꢬꢗꢗꢒꢡ':1 'rechchakoot':2 'reccakut':3 'rĕccakūt':4 'pandemonium':5 'அமள':6,law|legal|order,र॑च्चकूत|ரெச்சகூத்|re'chchakoot|rEccakUt|rĕccakūt|ɾet͡ʃt͡ʃəkuːt̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,pandemonium,english,,english,,law|legal|order,,noun,
^,,அமளி,tamil,,tamil,'அமள':1 'pandemonium':2,law|legal|order,ரெச்சகூத்,noun,
-,ꢂ,ꢂꢬꢵꢙꢒꢡꣁ,sourashtra,,,'ꢂꢬꢙꢒꢡ':1 'araajakato':2 'arajakato':3 'arājakatŏ':4 'pandemonium':5 'அமள':6,law|legal|order,अराजकता॑|அராஜகதொ|araajakato'|arAjakatO|arājakatŏ|əɾɑːd͡ʒəkət̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,pandemonium,english,,english,,law|legal|order,,noun,
^,,அமளி,tamil,,tamil,'அமள':1 'pandemonium':2,law|legal|order,அராஜகதொ,noun,
-,ꢂ,ꢂꢭꢲꣁ,sourashtra,,,'ꢂꢭꢲ':1 'alaho':2 'alahŏ':3 'pandemonium':4 'அமள':5,law|legal|order,कलहा॑|கலஹொ|alaho'|alahO|alahŏ|ələɦo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,pandemonium,english,,english,,law|legal|order,,noun,
^,,அமளி,tamil,,tamil,'அமள':1 'pandemonium':2,law|legal|order,கலஹொ,noun,
-,ꢃ,ꢃꢙ꣄ꢛꣁ,sourashtra,,,'ꢃꢙꢛ':1 'aajnyo':2 'ajjo':3 'ājñŏ':4 'order':5 'ஆண':6 'உத':7 'தரவ':8 'கட':9 'டள':10,law|legal|order,आझञो|ஆஜ்ஞொ|aajnyo'|AjJO|ājñŏ|ɑːd͡ʒɲo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,order,english,,english,,law|legal|order,,noun,
^,,ஆணை/ உத்தரவு/கட்டளை,tamil,,tamil,'ஆணஉததரவகடடள':1 'order':2 'ஆண':3 'உத':4 'தரவ':5 'கட':6 'டள':7,law|legal|order,ஆஜ்ஞொ,noun,
-,ꢆ,ꢆꢡ꣄ꢡꢬ꣄,sourashtra,,,'ꢆꢡꢡꢬ':1 'uttar':2 'order':3 'ஆண':4 'உத':5 'தரவ':6 'கட':7 'டள':8,law|legal|order,उत्तर|உத்தர்|uttar|uttar|uttar|ut̪t̪əɾ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
