-,ꢦ,ꢦꢾꢱꢵꢮ꣄꣄,sourashtra,,,'ꢦꢱꢮ':1 'pesaav':2 'pesav':3 'pĕsāv':4 'breadth':5 'அகலம':6,measurement|quantity|size,प॑सावरुन्ति|பெஸாவ்|pe'saav|pEsAv|pĕsāv|pes̪ɑːʋ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,breadth,english,,english,,measurement|quantity|size,,noun,
^,,அகலம்,tamil,,tamil,'அகலம':1 'breadth':2,measurement|quantity|size,பெஸாவ்,noun,
-,ꢬ,ꢬꢸꢥ꣄ꢡꢶ,sourashtra,,,'ꢬꢥꢡ':1 'runti':2 'breadth':3 'அகலம':4,measurement|quantity|size,प॑सावरुन्ति|ருந்தி|runti|runti|runti|ɾun̪t̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,breadth,english,,english,,measurement|quantity|size,,noun,
^,,அகலம்,tamil,,tamil,'அகலம':1 'breadth':2,measurement|quantity|size,ருந்தி,noun,
-,ꢨ,ꢨꣂꢜ꣄,sourashtra,,,'ꢨꢜ':1 'bot':2 'boṭ':3 'inch':4 'அங':5 'லம':6,measurement|quantity|size,बा॑ट्|போ3ட்|bot'|boT|boṭ|boːʈ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,inch,english,,english,,measurement|quantity|size,,noun,
^,,அங்குலம்,tamil,,tamil,'அஙகலம':1 'inch':2 'அங':3 'லம':4,measurement|quantity|size,போ3ட்,noun,
-,ꢂ,ꢂꢞꢶ,sourashtra,,,'ꢂꢞ':1 'adi':2 'aḍi':3 'foot':4 'அட':5,measurement|quantity|size,अडि|அடி3|ad'i|aDi|aḍi|əɖɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,foot,english,,english,,measurement|quantity|size,,noun,
^,,அடி,tamil,,tamil,'அட':1 'foot':2,measurement|quantity|size,அடி3,noun,
-,ꢪ,ꢪꣂꢦꢸ,sourashtra,,,'ꢪꢦ':1 'mopu':2 'measurement':3 'அளவ':4,measurement|quantity|size,मोवु|மோவு|mopu|mopu|mopu|moːpu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,measurement,english,,english,,measurement|quantity|size,,noun,
^,,அளவு,tamil,,tamil,'அளவ':1 'measurement':2,measurement|quantity|size,மோவு,noun,
-,ꢪ,ꢪꣂꢦꢸ ꢓꢜ꣄ꢜꢶ,sourashtra,,,'ꢪꢦꢓꢜꢜ':1 'mopukhatti':2 'mopukhaṭṭi':3 'scale':4 'அளவ':5,measurement|quantity|size,मोवुखट्टि|மோவுக2ட்டி|mopu khat't'i|mopu khaTTi|mopu khaṭṭi|moːpu kʰəʈʈɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,scale,english,,english,,measurement|quantity|size,,noun,
^,,அளவு கோல்,tamil,,tamil,'அளவகல':1 'scale':2 'அளவ':3,measurement|quantity|size,மோவுக2ட்டி,noun,
-,ꢂ,ꢂꢬꣁ,sourashtra,,,'ꢂꢬ':1 'aro':2 'arŏ':3 'radius':4 'ஆரம':5,measurement|quantity|size,अरा॑|அரொ|aro'|arO|arŏ|əɾo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,radius,english,,english,,measurement|quantity|size,,noun,
^,,ஆரம்,tamil,,tamil,'ஆரம':1 'radius':2,measurement|quantity|size,அரொ,noun,
-,ꢥ,ꢥꢶꢪ꣄ꢥꣁ,sourashtra,,,'ꢥꢪꢥ':1 'nimno':2 'nimnŏ':3 'depth':4 'ஆழம':5,measurement|quantity|size,निम्ना॑|நிம்னொ|nimno'|nimnO|nimnŏ|n̪ɪmn̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,depth,english,,english,,measurement|quantity|size,,noun,
^,,ஆழம்,tamil,,tamil,'ஆழம':1 'depth':2,measurement|quantity|size,நிம்னொ,noun,
-,ꢭ,ꢭꣁꢡ꣄,sourashtra,,,'ꢭꢡ':1 'lot':2 'lŏt':3 'depth':4 'ஆழம':5,measurement|quantity|size,लोत|லோத்|lo't|lOt|lŏt|lot̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,depth,english,,english,,measurement|quantity|size,,noun,
^,,ஆழம்,tamil,,tamil,'ஆழம':1 'depth':2,measurement|quantity|size,லோத்,noun,
-,ꢂ,ꢂꢜ꣄ꢥꣁ,sourashtra,,,'ꢂꢜꢥ':1 'atno':2 'aṭnŏ':3 'standard':4 'measurment':5 'ஆழ':6,measurement|quantity|size,अट्ना॑|அட்னொ|at'no'|aTnO|aṭnŏ|əʈn̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,1/8 of a standard measurment,english,,english,,measurement|quantity|size,,noun,
^,,ஆழாக்கு,tamil,,tamil,'ஆழகக':1 'standard':2 'measurment':3 'ஆழ':4,measurement|quantity|size,அட்னொ,noun,
-,ꢲ,ꢲꢡ꣄ꢣꢞ꣄ꢞꣁ,sourashtra,,,'ꢲꢡꢣꢞꢞ':1 'hatdaddo':2 'hatdaḍḍŏ':3 'half':4 'measure':5 'உர':6,measurement|quantity|size,हत्दड्डा॑|ஹத்த3ட்3டொ3|hatdad'd'o'|hatdaDDO|hatdaḍḍŏ|ɦət̪d̪əɖɖo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,half measure,english,,english,,measurement|quantity|size,,noun,
^,,உரி,tamil,,tamil,'உர':1 'half':2 'measure':3,measurement|quantity|size,ஹத்த3ட்3டொ3,noun,
-,ꢒ,ꢒꢵꢭꢞ꣄ꢞꣁ,sourashtra,,,'ꢒꢭꢞꢞ':1 'kaaladdo':2 'kaladdo':3 'kālaḍḍŏ':4 'measure':5 'உழக':6,measurement|quantity|size,कालड्डा॑|காலட்3டொ3|kaalad'd'o'|kAlaDDO|kālaḍḍŏ|kɑːləɖɖo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,1/4 of a measure,english,,english,,measurement|quantity|size,,noun,
^,,உழக்கு,tamil,,tamil,'உழகக':1 'measure':2 'உழக':3,measurement|quantity|size,காலட்3டொ3,noun,
-,ꢱ,ꢱꣂꢮꢸ,sourashtra,,,'ꢱꢮ':1 'sovu':2 'measure':3 'உழக':4,measurement|quantity|size,चोवु|சோவு|sovu|sovu|sovu|s̪oːʋu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,1/4 of a measure,english,,english,,measurement|quantity|size,,noun,
^,,உழக்கு,tamil,,tamil,'உழகக':1 'measure':2 'உழக':3,measurement|quantity|size,சோவு,noun,
-,ꢩ,ꢩꢵꢬ꣄ꢪꣂꢮꢸ,sourashtra,,,'ꢩꢬꢪꢮ':1 'bhaarmovu':2 'bharmovu':3 'bhārmovu':4 'measurement':5 'weighing':6 'weigh':7 'தல':8 'அளவ':9,measurement|quantity|size,भार्मोवु|பா4ர்மோவு|bhaarmovu|bhArmovu|bhārmovu|bʰɑːɾmoːʋu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,measurement of weighing,english,,english,,measurement|quantity|size,,noun,
^,,நிறுத்தல் அளவை,tamil,,tamil,'நறததலஅளவ':1 'measurement':2 'weighing':3 'weigh':4 'தல':5 'அளவ':6,measurement|quantity|size,பா4ர்மோவு,noun,
-,ꢙ,ꢙꣂꢒ꣄,sourashtra,,,'ꢙꢒ':1 'jok':2 'weight':3 'எட':4,measurement|quantity|size,जोक|ஜோக்|jok|jok|jok|d͡ʒoːk,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,weight,english,,english,,measurement|quantity|size,,noun,
^,,எடை,tamil,,tamil,'எட':1 'weight':2,measurement|quantity|size,ஜோக்,noun,
-,ꢪ,ꢪꣁꢮ꣄ꢙꢥ꣄ꢪꣂꢮꢸ,sourashtra,,,'ꢪꢮꢙꢥꢪꢮ':1 'movjanmovu':2 'mŏvjanmovu':3 'measurement':4 'counting':5 'count':6 'எண':7 'ணல':8 'அளவ':9,measurement|quantity|size,मा॑व्जन्मोवु|மொவ்ஜன்மோவு|mo'vjanmovu|mOvjanmovu|mŏvjanmovu|moʋd͡ʒən̪moːʋu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,measurement of counting,english,,english,,measurement|quantity|size,,noun,
^,,எண்ணல் அளவை,tamil,,tamil,'எணணலஅளவ':1 'measurement':2 'counting':3 'count':4 'எண':5 'ணல':6 'அளவ':7,measurement|quantity|size,மொவ்ஜன்மோவு,noun,
-,ꢆ,ꢆꢦꢒꢬꢠꣁ,sourashtra,,,'ꢆꢦꢒꢬꢠ':1 'upakarano':2 'upakaraṇŏ':3 'instrument':4 'கர':5,measurement|quantity|size,उपकरणा॑|உபகரணொ|upakarano'|upakaraNO|upakaraṇŏ|upəkəɾəɳo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,instrument,english,,english,,measurement|quantity|size,,noun,
^,,கருவி,tamil,,tamil,'கரவ':1 'instrument':2 'கர':3,measurement|quantity|size,உபகரணொ,noun,
-,ꢔ,ꢔꢥꢪꣂꢦꢸ,sourashtra,,,'ꢔꢥꢪꢦ':1 'ganamopu':2 'cubic':3 'measurement':4 'கன':5 'அளவ':6,measurement|quantity|size,गनमोपु|க3னமோவு|ganamopu|ganamopu|ganamopu|gən̪əmoːpu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,cubic measurement,english,,english,,measurement|quantity|size,,noun,
^,,கன அளவு,tamil,,tamil,'கனஅளவ':1 'cubic':2 'measurement':3 'கன':4 'அளவ':5,measurement|quantity|size,க3னமோவு,noun,
-,ꢩ,ꢩꢵꢬ꣄,sourashtra,,,'ꢩꢬ':1 'bhaar':2 'bhar':3 'bhār':4 'heavyness':5 'கனம':6,measurement|quantity|size,भार्|பா4ர்|bhaar|bhAr|bhār|bʰɑːɾ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,heavyness,english,,english,,measurement|quantity|size,,noun,
^,,கனம்,tamil,,tamil,'கனம':1 'heavyness':2,measurement|quantity|size,பா4ர்,noun,
-,ꢔ,ꢔꢾꢙ꣄ꢙꢸ,sourashtra,,,'ꢔꢙꢙ':1 'gejju':2 'gĕjju':3 'yard':4 'கஜம':5,measurement|quantity|size,ग॑ज्जु|கெ3ஜ்ஜு|ge'jju|gEjju|gĕjju|ged͡ʒd͡ʒu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,yard,english,,english,,measurement|quantity|size,,noun,
^,,கஜம்,tamil,,tamil,'கஜம':1 'yard':2,measurement|quantity|size,கெ3ஜ்ஜு,noun,
-,ꢂ,ꢂꢮ꣄ꢞ ꢪꣂꢮꢸ,sourashtra,,,'ꢂꢮꢞꢪꢮ':1 'avdamovu':2 'avḍamovu':3 'cross':4 'section':5 'measurement':6 'களவ':7,measurement|quantity|size,अव्डमोवु|அவ்ட3மோவு|avd'a movu|avDa movu|avḍa movu|əʋɖə moːʋu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,cross-section measurement,english,,english,,measurement|quantity|size,,noun,
^,,குறுக்களவு,tamil,,tamil,'கறககளவ':1 'cross':2 'section':3 'measurement':4 'களவ':5,measurement|quantity|size,அவ்ட3மோவு,noun,
-,ꢗ,ꢗꢡ꣄ꢬꢸꢭ꣄ ꢪꣂꢮꢸ,sourashtra,,,'ꢗꢡꢬꢭꢪꢮ':1 'chatrulmovu':2 'catrulmovu':3 'square':4 'measurement':5 'சத':6 'அளவ':7,measurement|quantity|size,चत्रुल्मोपु|சத்ருல்மோவு|chatrul movu|catrul movu|catrul movu|t͡ʃət̪ɾul moːʋu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,square measurement,english,,english,,measurement|quantity|size,,noun,
^,,சதுர அளவு,tamil,,tamil,'சதரஅளவ':1 'square':2 'measurement':3 'சத':4 'அளவ':5,measurement|quantity|size,சத்ருல்மோவு,noun,
-,ꢙ,ꢙꢵꢠ꣄,sourashtra,,,'ꢙꢠ':1 'jaan':2 'jan':3 'jāṇ':4 'six':5 'inches':6 'little':7 'more':8 'covering':9 'the':10 'tip':11 'stretched':12 'thumb':13 'finger':14 'inch':15 'cover':16 'stretch':17,measurement|quantity|size,जाण्|ஜாண்|jaan|jAN|jāṇ|d͡ʒɑːɳ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,six inches or little more covering the tip of the stretched thumb to the tip of the stretched little finger,english,,english,,measurement|quantity|size,,noun,
^,,சாண்,tamil,,tamil,'சண':1 'six':2 'inches':3 'little':4 'more':5 'covering':6 'the':7 'tip':8 'stretched':9 'thumb':10 'finger':11 'inch':12 'cover':13 'stretch':14,measurement|quantity|size,ஜாண்,noun,
-,ꢗ,ꢗꢶꢪ꣄ꢜꣁ,sourashtra,,,'ꢗꢪꢜ':1 'chimto':2 'cimto':3 'cimṭŏ':4 'pinch':5,measurement|quantity|size,चिटा॑|சிம்டொ|chimt'o'|cimTO|cimṭŏ|t͡ʃɪmʈo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,a pinch,english,,english,,measurement|quantity|size,,noun,
^,,சிட்டிகை,tamil,,tamil,'சடடக':1 'pinch':2,measurement|quantity|size,சிம்டொ,noun,
-,ꢦ,ꢦꢬꢶꢡꢶ,sourashtra,,,'ꢦꢬꢡ':1 'pariti':2 'perimeter':3 'றளவ':4,measurement|quantity|size,परिति|பரிதி|pariti|pariti|pariti|pəɾɪt̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,perimeter,english,,english,,measurement|quantity|size,,noun,
^,,சுற்றளவு,tamil,,tamil,'சறறளவ':1 'perimeter':2 'றளவ':3,measurement|quantity|size,பரிதி,noun,
