-,ꢗ,ꢗꣀꢡ꣄ꢬꣁ,sourashtra,,,'ꢗꢡꢬ':1 'chaitro':2 'caitro':3 'caitrŏ':4 'april':5 'may':6,calendar|month|time,चैत्रा॑|சைத்ரொ|chaitro'|caitrO|caitrŏ|t͡ʃəɪt̪ɾo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,April-May,english,,english,,calendar|month|time,,noun,
^,,சித்திரை,tamil,,tamil,'சததர':1 'april':2 'may':3,calendar|month|time,சைத்ரொ,noun,
-,ꢮ,ꢮꣀꢱꢵꢒ꣄,sourashtra,,,'ꢮꢱꢒ':1 'vaisaak':2 'vaisak':3 'vaisāk':4 'may':5 'june':6,calendar|month|time,वैसाक|வைஸாக்|vaisaak|vaisAk|vaisāk|ʋəɪs̪ɑːk,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,May-June,english,,english,,calendar|month|time,,noun,
^,,வைகாசி,tamil,,tamil,'வகச':1 'may':2 'june':3,calendar|month|time,வைஸாக்,noun,
-,ꢙ,ꢙꣂꢰ꣄ꢜꣁ,sourashtra,,,'ꢙꢰꢜ':1 'joshto':2 'josto':3 'joṣṭŏ':4 'june':5 'july':6 'ஆன':7,calendar|month|time,जोष्टा॑|ஜேஷ்டொ|josht'o'|joSTO|joṣṭŏ|d͡ʒoːʂʈo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,June-July,english,,english,,calendar|month|time,,noun,
^,,ஆனி,tamil,,tamil,'ஆன':1 'june':2 'july':3,calendar|month|time,ஜேஷ்டொ,noun,
-,ꢃ,ꢃꢰꢵꢞꣁ,sourashtra,,,'ꢃꢰꢞ':1 'aashaado':2 'asado':3 'āṣāḍŏ':4 'july':5 'august':6 'ஆட':7,calendar|month|time,आषाडा॑|ஆஷாடொ3|aashaad'o'|ASADO|āṣāḍŏ|ɑːʂɑːɖo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,July-August,english,,english,,calendar|month|time,,noun,
^,,ஆடி,tamil,,tamil,'ஆட':1 'july':2 'august':3,calendar|month|time,ஆஷாடொ3,noun,
