-,ꢂ,ꢂꢖ꣄ꢔꢮꢶꢒꢵꢬꢸꢥ꣄,sourashtra,,,'ꢂꢖꢔꢮꢒꢬꢥ':1 'angavikaarun':2 'aggavikarun':3 'aṅgavikārun':4 'physical':5 'deformity':6 'அங':7 'கஹ':8 'னம':9 'உடல':10 'ஊனம':11,appearance|body|physical,अङ्गविकारुन|அங்க3 விகாருன்|angavikaarun|aGgavikArun|aṅgavikārun|əŋgəʋɪkɑːɾun̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,physical deformity,english,,english,,appearance|body|physical,,noun,
^,,அங்கஹீனம்  / உடல் ஊனம்,tamil,,tamil,'அஙகஹனமஉடலஊனம':1 'physical':2 'deformity':3 'அங':4 'கஹ':5 'னம':6 'உடல':7 'ஊனம':8,appearance|body|physical,அங்க3 விகாருன்,noun,
-,ꢯ,ꢯꢵꢬꢷꢬꢶꢒ ꢮꢶꢒꢵꢬꢸꢥ꣄,sourashtra,,,'ꢯꢬꢬꢒꢮꢒꢬꢥ':1 'shaareerikavikaarun':2 'zaririkavikarun':3 'śārīrikavikārun':4 'physical':5 'deformity':6 'அங':7 'கஹ':8 'னம':9 'உடல':10 'ஊனம':11,appearance|body|physical,सारीरिक विकारुन|ஶாரீரிக விகாருன்|shaareerika vikaarun|zArIrika vikArun|śārīrika vikārun|ʃɑːɾiːɾɪkə ʋɪkɑːɾun̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,physical deformity,english,,english,,appearance|body|physical,,noun,
^,,அங்கஹீனம்  / உடல் ஊனம்,tamil,,tamil,'அஙகஹனமஉடலஊனம':1 'physical':2 'deformity':3 'அங':4 'கஹ':5 'னம':6 'உடல':7 'ஊனம':8,appearance|body|physical,ஶாரீரிக விகாருன்,noun,
-,ꢂ,ꢂꢖ꣄ꢔꢲꢷꢥꢸꢥ꣄,sourashtra,,,'ꢂꢖꢔꢲꢥꢥ':1 'angaheenun':2 'aggahinun':3 'aṅgahīnun':4 'physically':5 'handicapped':6 'handicap':7 'உடல':8 'ஊனம':9,appearance|body|physical,अङ्गहीनुन्|அங்க3ஹீனுன்|angaheenun|aGgahInun|aṅgahīnun|əŋgəɦiːn̪un̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,physically handicapped,english,,english,,appearance|body|physical,,noun,
^,,உடல் ஊனமுற்றோர்,tamil,,tamil,'உடலஊனமறறர':1 'physically':2 'handicapped':3 'handicap':4 'உடல':5 'ஊனம':6,appearance|body|physical,அங்க3ஹீனுன்,noun,
-,ꢥ,ꢥꢹꢥꢯꢬꢷꢬꢶ,sourashtra,,,'ꢥꢥꢯꢬꢬ':1 'noonashareeri':2 'nunazariri':3 'nūnaśarīri':4 'physically':5 'handicapped':6 'handicap':7 'உடல':8 'ஊனம':9,appearance|body|physical,नूनुशरीरि|நூனஶரீரி|noonashareeri|nUnazarIri|nūnaśarīri|n̪uːn̪əʃəɾiːɾɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,physically handicapped,english,,english,,appearance|body|physical,,noun,
^,,உடல் ஊனமுற்றோர்,tamil,,tamil,'உடலஊனமறறர':1 'physically':2 'handicapped':3 'handicap':4 'உடல':5 'ஊனம':6,appearance|body|physical,நூனஶரீரி,noun,
