-,ꢂ,ꢂꢞꢸꢪꢹꢳ꣄,sourashtra,,,'ꢂꢞꢪꢳ':1 'adumool':2 'adumul':3 'aḍumūl':4 'tap':5 'root':6 'ஆண':7,botanical|nature|plant,अडुमूळ|அடு3மூள்|ad'umool'|aDumUL|aḍumūl̤|əɖumuːɭ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,tap root,english,,english,,botanical|nature|plant,,noun,
^,,ஆணிவேர்,tamil,,tamil,'ஆணவர':1 'tap':2 'root':3 'ஆண':4,botanical|nature|plant,அடு3மூள்,noun,
-,ꢬ,ꢬꢿꢒ꣄,sourashtra,,,'ꢬꢒ':1 'rek':2 'petal':3 'தழ':4,botanical|nature|plant,रेक्|ரேக்|rek|rek|rek|ɾeːk,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,petal,english,,english,,botanical|nature|plant,,noun,
^,,பூவிதழ்,tamil,,tamil,'பவதழ':1 'petal':2 'தழ':3,botanical|nature|plant,ரேக்,noun,
-,ꢣ,ꢣꢳꣁ,sourashtra,,,'ꢣꢳ':1 'dalo':2 'dalŏ':3 'petal':4 'தழ':5,botanical|nature|plant,दळा॑|த3ளொ|dal'o'|daLO|dal̤ŏ|d̪əɭo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,petal,english,,english,,botanical|nature|plant,,noun,
^,,பூவிதழ்,tamil,,tamil,'பவதழ':1 'petal':2 'தழ':3,botanical|nature|plant,த3ளொ,noun,
-,ꢦ,ꢦꢵꢥ꣄,sourashtra,,,'ꢦꢥ':1 'paan':2 'pan':3 'pān':4 'leaf':5 'இல':6,botanical|nature|plant,पान|பான்|paan|pAn|pān|pɑːn̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,leaf,english,,english,,botanical|nature|plant,,noun,
^,,இலை,tamil,,tamil,'இல':1 'leaf':2,botanical|nature|plant,பான்,noun,
-,ꢦ,ꢦꢵꢥꢸꢥꢾꢬꢪ꣄,sourashtra,,,'ꢦꢥꢥꢬꢪ':1 'paanuneram':2 'panuneram':3 'pānunĕram':4 'leaf':5 'venation':6 'இல':7 'நரம':8,botanical|nature|plant,पानुनेरम्|பானுநெரம்|paanune'ram|pAnunEram|pānunĕram|pɑːn̪un̪eɾəm,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,leaf venation,english,,english,,botanical|nature|plant,,noun,
^,,இலை நரம்பு,tamil,,tamil,'இலநரமப':1 'leaf':2 'venation':3 'இல':4 'நரம':5,botanical|nature|plant,பானுநெரம்,noun,
-,ꢔ,ꢔꢾꢠꢸꢒ꣄,sourashtra,,,'ꢔꢠꢒ':1 'genuk':2 'gĕṇuk':3 'node':4 'கண':5,botanical|nature|plant,ग॑णुक|கெ3ணுக்|ge'nuk|gENuk|gĕṇuk|geɳuk,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,node,english,,english,,botanical|nature|plant,,noun,
^,,கணு,tamil,,tamil,'கண':1 'node':2,botanical|nature|plant,கெ3ணுக்,noun,
-,ꢮ,ꢮꢖ꣄ꢔꢶ,sourashtra,,,'ꢮꢖꢔ':1 'vangi':2 'vaggi':3 'vaṅgi':4 'brinjal':5 'கத':6,botanical|nature|plant,वङ्गि|வங்கி3|vangi|vaGgi|vaṅgi|ʋəŋgɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,brinjal,english,,english,,botanical|nature|plant,,noun,
^,,கத்திரிகாய்,tamil,,tamil,'கததரகய':1 'brinjal':2 'கத':3,botanical|nature|plant,வங்கி3,noun,
