-,ꢂ,ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,sourashtra,,,'ꢂꢖꢔꢒꢬ':1 'angeekaar':2 'aggikar':3 'aṅgīkār':4 'recognition':5 'அங':6 'ரம':7,government|politics|social,अङ्गीकार्|அங்கீ3கார்|angeekaar|aGgIkAr|aṅgīkār|əŋgiːkɑːɾ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,recognition,english,,english,,government|politics|social,,noun,
^,,அங்கீகாரம்,tamil,,tamil,'அஙககரம':1 'recognition':2 'அங':3 'ரம':4,government|politics|social,அங்கீ3கார்,noun,
-,ꢂ,ꢂꢗ꣄ꢗꢸ,sourashtra,,,'ꢂꢗꢗ':1 'achchu':2 'accu':3 'axis':4 'அச':5,government|politics|social,अच्चु|அச்சு|achchu|accu|accu|ət͡ʃt͡ʃu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,axis,english,,english,,government|politics|social,,noun,
^,,அச்சு,tamil,,tamil,'அசச':1 'axis':2 'அச':3,government|politics|social,அச்சு,noun,
-,ꢜ,ꢜꢖ꣄ꢒꢸ,sourashtra,,,'ꢜꢖꢒ':1 'tanku':2 'tagku':3 'ṭaṅku':4 'axis':5 'அச':6,government|politics|social,टङ्कु|டங்கு|t'anku|TaGku|ṭaṅku|ʈəŋku,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,axis,english,,english,,government|politics|social,,noun,
^,,அச்சு,tamil,,tamil,'அசச':1 'axis':2 'அச':3,government|politics|social,டங்கு,noun,
-,ꢦ,ꢦꢡ꣄ꢬꢮꢵꢲꢶꢥꢶ,sourashtra,,,'ꢦꢡꢬꢮꢲꢥ':1 'patravaahini':2 'patravahini':3 'patravāhini':4 'post':5 'அஞ':6 'சல':7,government|politics|social,पत्रवाहिनि|பத்ரவாஹினி|patravaahini|patravAhini|patravāhini|pət̪ɾəʋɑːɦɪn̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,post,english,,english,,government|politics|social,,noun,
^,,அஞ்சல்,tamil,,tamil,'அஞசல':1 'post':2 'அஞ':3 'சல':4,government|politics|social,பத்ரவாஹினி,noun,
-,ꢦ,ꢦꢡ꣄ꢬꢮꢵꢲꢒꣁ,sourashtra,,,'ꢦꢡꢬꢮꢲꢒ':1 'patravaahako':2 'patravahako':3 'patravāhakŏ':4 'postman':5 'அஞ':6 'சல':7 'ரர':8,government|politics|social,पत्रवाहका॑|பத்ரவாஹகொ|patravaahako'|patravAhakO|patravāhakŏ|pət̪ɾəʋɑːɦəko,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,postman,english,,english,,government|politics|social,,noun,
^,,அஞ்சல்காரர்,tamil,,tamil,'அஞசலகரர':1 'postman':2 'அஞ':3 'சல':4 'ரர':5,government|politics|social,பத்ரவாஹகொ,noun,
-,ꢦ,ꢦꢡ꣄ꢬꢮꢵꢲꣁ,sourashtra,,,'ꢦꢡꢬꢮꢲ':1 'patravaaho':2 'patravaho':3 'patravāhŏ':4 'postman':5 'அஞ':6 'சல':7 'ரர':8,government|politics|social,पत्रवाहा॑|பத்ரவாஹொ|patravaaho'|patravAhO|patravāhŏ|pət̪ɾəʋɑːɦo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,postman,english,,english,,government|politics|social,,noun,
^,,அஞ்சல்காரர்,tamil,,tamil,'அஞசலகரர':1 'postman':2 'அஞ':3 'சல':4 'ரர':5,government|politics|social,பத்ரவாஹொ,noun,
-,ꢭ,ꢭꢿꢓꢸꢮꢵꢥ꣄,sourashtra,,,'ꢭꢓꢮꢥ':1 'lekhuvaan':2 'lekhuvan':3 'lekhuvān':4 'postman':5 'அஞ':6 'சல':7 'ரர':8,government|politics|social,लेखुवान|லேகு2வான்|lekhuvaan|lekhuvAn|lekhuvān|leːkʰuʋɑːn̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,postman,english,,english,,government|politics|social,,noun,
^,,அஞ்சல்காரர்,tamil,,tamil,'அஞசலகரர':1 'postman':2 'அஞ':3 'சல':4 'ரர':5,government|politics|social,லேகு2வான்,noun,
-,ꢦ,ꢦꢡ꣄ꢬꢮꢵꢲ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,sourashtra,,,'ꢦꢡꢬꢮꢲꢒꢬꢫꢭꢫ':1 'patravaahakaaryaalayo':2 'patravahakaryalayo':3 'patravāhakāryālayŏ':4 'post':5 'office':6 'அஞ':7 'சலகம':8,government|politics|social,पत्रवाह कार्यालया॑|பத்ரவாஹ கார்யாலயொ|patravaaha kaaryaalayo'|patravAha kAryAlayO|patravāha kāryālayŏ|pət̪ɾəʋɑːɦə kɑːɾjɑːləjo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,post office,english,,english,,government|politics|social,,noun,
^,,அஞ்சலகம்,tamil,,tamil,'அஞசலகம':1 'post':2 'office':3 'அஞ':4 'சலகம':5,government|politics|social,பத்ரவாஹ கார்யாலயொ,noun,
-,ꢒ,ꢒꣂꢰ꣄ꢜꢸ,sourashtra,,,'ꢒꢰꢜ':1 'koshtu':2 'kostu':3 'koṣṭu':4 'table':5 'schedule':6 'அட':7 'டவண':8,government|politics|social,कोष्टु|கோஷ்டு|kosht'u|koSTu|koṣṭu|koːʂʈu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,"table, schedule",english,,english,,government|politics|social,,noun,
^,,அட்டவணை,tamil,,tamil,'அடடவண':1 'table':2 'schedule':3 'அட':4 'டவண':5,government|politics|social,கோஷ்டு,noun,
-,ꢆ,ꢆꢞ꣄ꢔꢞ꣄ꢠꢶ,sourashtra,,,'ꢆꢞꢔꢞꢠ':1 'udgadni':2 'uḍgaḍṇi':3 'oppression':4 'அடக':5,government|politics|social,उड्गड्णि|உட்3க3ட்3ணி|ud'gad'ni|uDgaDNi|uḍgaḍṇi|uɖgəɖɳɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,oppression,english,,english,,government|politics|social,,noun,
^,,அடக்குமுறை,tamil,,tamil,'அடககமற':1 'oppression':2 'அடக':3,government|politics|social,உட்3க3ட்3ணி,noun,
