-,ꢂ,ꢂꢯꢬꢷꢬꢶ,sourashtra,,,'ꢂꢯꢬꢬ':1 'ashareeri':2 'azariri':3 'aśarīri':4 'celestial':5 'voice':6 'oracle':7 'அசர':8,institution|religious|spiritual,अशरीरि|அஶரீரி|ashareeri|azarIri|aśarīri|əʃəɾiːɾɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,celestial voice/ oracle,english,,english,,institution|religious|spiritual,,noun,
^,,அசரீரி,tamil,,tamil,'அசரர':1 'celestial':2 'voice':3 'oracle':4 'அசர':5,institution|religious|spiritual,அஶரீரி,noun,
-,ꢣ,ꢣꢵꢱꢸꢥ꣄,sourashtra,,,'ꢣꢱꢥ':1 'daasun':2 'dasun':3 'dāsun':4 'disciples':5 'disciple':6 'அட':7,institution|religious|spiritual,दासुन|தா3ஸுன்|daasun|dAsun|dāsun|d̪ɑːs̪un̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,disciples,english,,english,,institution|religious|spiritual,,noun,
^,,அடியார்,tamil,,tamil,'அடயர':1 'disciples':2 'disciple':3 'அட':4,institution|religious|spiritual,தா3ஸுன்,noun,
-,ꢂ,ꢂꢩꢶꢰꢿꢒ꣄,sourashtra,,,'ꢂꢩꢰꢒ':1 'abhishek':2 'abhisek':3 'abhiṣek':4 'bathing':5 'the':6 'holy':7 'idol':8 'with':9 'milk':10 'honey':11 'fruit':12 'etc':13 'bath':14 'அப':15 'கம':16,institution|religious|spiritual,अभिषेक्|அபி4ஷேக்|abhishek|abhiSek|abhiṣek|əbʰɪʂeːk,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""concrete""""}"
^,,"bathing the holy idol with milk, honey, fruit, etc.",english,,english,,institution|religious|spiritual,,noun,
^,,அபிஷேகம்,tamil,,tamil,'அபஷகம':1 'bathing':2 'the':3 'holy':4 'idol':5 'with':6 'milk':7 'honey':8 'fruit':9 'etc':10 'bath':11 'அப':12 'கம':13,institution|religious|spiritual,அபி4ஷேக்,noun,
-,ꢂ,ꢂꢬ꣄ꢗꢥꣁ,sourashtra,,,'ꢂꢬꢗꢥ':1 'archano':2 'arcano':3 'arcanŏ':4 'worship':5 'with':6 'chanting':7 'chant':8 'அர':9 'சன':10,institution|religious|spiritual,अर्चना॑|அர்சனொ|archano'|arcanO|arcanŏ|əɾt͡ʃən̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
