-,ꢬ,ꢬꢸꢥ꣄ꢣꢶ,sourashtra,,,'ꢬꢥꢣ':1 'rundi':2 'width':3 'அகலம':4,physical|shape|size,रुन्दि|ருந்தி3|rundi|rundi|rundi|ɾun̪d̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,width,english,,english,,physical|shape|size,,adj,
^,,அகலம்,tamil,,tamil,'அகலம':1 'width':2,physical|shape|size,ருந்தி3,adj,
-,ꢃ,ꢃꢒꢵꢬ꣄,sourashtra,,,'ꢃꢒꢬ':1 'aakaar':2 'akar':3 'ākār':4 'shape':5 'size':6 'structure':7 'அம':8 'வட':9 'வம':10,physical|shape|size,आकार्|ஆகார்|aakaar|AkAr|ākār|ɑːkɑːɾ,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,shape,english,,english,,physical|shape|size,,adj,
^,,size/ structure,english,,english,,physical|shape|size,,adj,
^,,அமைப்பு,tamil,,tamil,'அமபப':1 'அம':2,physical|shape|size,ஆகார்,adj,
^,,வடிவம்,tamil,,tamil,'வடவம':1 'வட':2 'வம':3,physical|shape|size,ஆகார்,adj,
-,ꢲ,ꢲꢡ꣄ꢡꢸ ꢮꢬ꣄ꢡꢸꢭꣁ,sourashtra,,,'ꢲꢡꢡꢮꢬꢡꢭ':1 'hattuvartulo':2 'hattuvartulŏ':3 'hemisphere':4 'அர':5 'வட':6 'டம':7,physical|shape|size,हत्तुवर्दुला॑|ஹத்துவர்துலொ|hattu vartulo'|hattu vartulO|hattu vartulŏ|ɦət̪t̪u ʋəɾt̪ulo,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,hemisphere,english,,english,,physical|shape|size,,adj,
^,,அரைவட்டம்,tamil,,tamil,'அரவடடம':1 'hemisphere':2 'அர':3 'வட':4 'டம':5,physical|shape|size,ஹத்துவர்துலொ,adj,
-,ꢱ,ꢱꢪꢵꢥ꣄ꢡꢬꢸ ꢬꢾꢓꢵꢥ꣄,sourashtra,,,'ꢱꢪꢥꢡꢬꢬꢓꢥ':1 'samaantarurekhaan':2 'samantarurekhan':3 'samāntarurĕkhān':4 'parallel':5 'lines':6 'line':7 'இண':8 'கள':9,physical|shape|size,समान्तरु रेखान|ஸமாந்தரு ரேகா2ன்|samaantaru re'khaan|samAntaru rEkhAn|samāntaru rĕkhān|s̪əmɑːn̪t̪əɾu ɾekʰɑːn̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,parallel lines,english,,english,,physical|shape|size,,adj,
^,,இணைக்கோடுகள்,tamil,,tamil,'இணககடகள':1 'parallel':2 'lines':3 'line':4 'இண':5 'கள':6,physical|shape|size,ஸமாந்தரு ரேகா2ன்,adj,
-,ꢆ,ꢆꢖ꣄ꢗꣁ,sourashtra,,,'ꢆꢖꢗ':1 'ungcho':2 'ugco':3 'uṅcŏ':4 'height':5 'உயரம':6,physical|shape|size,उञ्चा॑|உஞ்சொ|ungcho'|uGcO|uṅcŏ|uŋt͡ʃo,,"{""""script"""":""""sourashtra"""",""""category"""":""""adjective"""",""""type"""":""""abstract""""}"
^,,height,english,,english,,physical|shape|size,,adj,
^,,உயரம்,tamil,,tamil,'உயரம':1 'height':2,physical|shape|size,உஞ்சொ,adj,
