-,ꢂ,ꢂꢱ꣄ꢡꢪꢥꣁ,sourashtra,,,'ꢂꢱꢡꢪꢥ':1 'astamano':2 'astamanŏ':3 'sun':4 'setting':5 'set':6 'அஸ':7 'தமனம':8,celestial|nature|sky,अस्तमना॑|அஸ்தமனொ|astamano'|astamanO|astamanŏ|əs̪t̪əmən̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,Sun setting,english,,english,,celestial|nature|sky,,noun,
^,,அஸ்தமனம்,tamil,,tamil,'அஸதமனம':1 'sun':2 'setting':3 'set':4 'அஸ':5 'தமனம':6,celestial|nature|sky,அஸ்தமனொ,noun,
-,ꢂ,ꢂꢒꢵꢯ꣄ ꢔꢾꢖ꣄ꢔꣁ,sourashtra,,,'ꢂꢒꢯꢔꢖꢔ':1 'akaashgengo':2 'akazgeggo':3 'akāśgĕṅgŏ':4 'milkyway':5 'ஆக':6 'யகங':7,celestial|nature|sky,अकाष् ग॑ङगा॑|அகாஸு கெ3ங்கொ3|akaash ge'ngo'|akAz gEGgO|akāś gĕṅgŏ|əkɑːʃ geŋgo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,milkyway,english,,english,,celestial|nature|sky,,noun,
^,,ஆகாயகங்கை,tamil,,tamil,'ஆகயகஙக':1 'milkyway':2 'ஆக':3 'யகங':4,celestial|nature|sky,அகாஸு கெ3ங்கொ3,noun,
-,ꢂ,ꢂꢒꢵꢱ꣄,sourashtra,,,'ꢂꢒꢱ':1 'akaas':2 'akas':3 'akās':4 'sky':5 'ஆக':6 'யம':7,celestial|nature|sky,अकास|அகாஸ்|akaas|akAs|akās|əkɑːs̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,sky,english,,english,,celestial|nature|sky,,noun,
^,,ஆகாயம்,tamil,,tamil,'ஆகயம':1 'sky':2 'ஆக':3 'யம':4,celestial|nature|sky,அகாஸ்,noun,
-,ꢮ,ꢮꢵꢦ꣄,sourashtra,,,'ꢮꢦ':1 'vaap':2 'vap':3 'vāp':4 'steam':5 'ஆவ':6,celestial|nature|sky,वाप्|வாப்|vaap|vAp|vāp|ʋɑːp,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,steam,english,,english,,celestial|nature|sky,,noun,
^,,ஆவி,tamil,,tamil,'ஆவ':1 'steam':2,celestial|nature|sky,வாப்,noun,
-,ꢦ,ꢦꢮꢶ,sourashtra,,,'ꢦꢮ':1 'pavi':2 'thunder':3 'இட':4,celestial|nature|sky,पवि|பவி|pavi|pavi|pavi|pəʋɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,thunder,english,,english,,celestial|nature|sky,,noun,
^,,இடி,tamil,,tamil,'இட':1 'thunder':2,celestial|nature|sky,பவி,noun,
-,ꢦ,ꢦꢶꢞꢸ,sourashtra,,,'ꢦꢞ':1 'pidu':2 'piḍu':3 'thunder':4 'இட':5,celestial|nature|sky,पिडु|பிடு3|pid'u|piDu|piḍu|pɪɖu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,thunder,english,,english,,celestial|nature|sky,,noun,
^,,இடி,tamil,,tamil,'இட':1 'thunder':2,celestial|nature|sky,பிடு3,noun,
-,ꢲ,ꢲꢥ꣄ꢣꢵꢬ꣄,sourashtra,,,'ꢲꢥꢣꢬ':1 'handaar':2 'handar':3 'handār':4 'darkness':5 'இர':6,celestial|nature|sky,हन्दार्|ஹந்தா3ர்|handaar|handAr|handār|ɦən̪d̪ɑːɾ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,darkness,english,,english,,celestial|nature|sky,,noun,
^,,இருட்டு,tamil,,tamil,'இரடட':1 'darkness':2 'இர':3,celestial|nature|sky,ஹந்தா3ர்,noun,
-,ꢔ,ꢔꢾꢮꢶ,sourashtra,,,'ꢔꢮ':1 'gevi':2 'gĕvi':3 'darkness':4 'இர':5,celestial|nature|sky,ग॑वि|கெ3வி|ge'vi|gEvi|gĕvi|geʋɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,darkness,english,,english,,celestial|nature|sky,,noun,
^,,இருட்டு,tamil,,tamil,'இரடட':1 'darkness':2 'இர':3,celestial|nature|sky,கெ3வி,noun,
-,ꢆ,ꢆꢣꢫꢪ꣄,sourashtra,,,'ꢆꢣꢫꢪ':1 'udayam':2 'rise':3 'உதயம':4,celestial|nature|sky,उदयम्|உத3யம்|udayam|udayam|udayam|ud̪əjəm,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,rise,english,,english,,celestial|nature|sky,,noun,
^,,உதயம்,tamil,,tamil,'உதயம':1 'rise':2,celestial|nature|sky,உத3யம்,noun,
-,ꢱ,ꢱꢸꢬꢶꢡꢸ ꢥꢶꢒꢶꢭ꣄ꢥꢶ,sourashtra,,,'ꢱꢬꢡꢥꢒꢭꢥ':1 'suritunikilni':2 'rise':3 'உதயம':4,celestial|nature|sky,सुरितु निकिल्नि|ஸுரிது நிகிள்னி|suritu nikilni|suritu nikilni|suritu nikilni|s̪uɾɪt̪u n̪ɪkɪln̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,rise,english,,english,,celestial|nature|sky,,noun,
^,,உதயம்,tamil,,tamil,'உதயம':1 'rise':2,celestial|nature|sky,ஸுரிது நிகிள்னி,noun,
