-,ꢭ,ꢭꢾꢔꢸꢡ꣄ꢡꢵ ꢣꢶꢥ꣄ꢥꢸ,sourashtra,,,'ꢭꢔꢡꢡꢣꢥꢥ':1 'leguttaadinnu':2 'leguttadinnu':3 'lĕguttādinnu':4 'next':5 'day':6 'அட':7,duration|temporal|time,ल॑गुत्ता दिन्नु|லெகு3த்தா தி3ன்னு|le'guttaa dinnu|lEguttA dinnu|lĕguttā dinnu|legut̪t̪ɑː d̪ɪn̪n̪u,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,next day,english,,english,,duration|temporal|time,,noun,
^,,அடுத்த நாள்,tamil,,tamil,'அடததநள':1 'next':2 'day':3 'அட':4,duration|temporal|time,லெகு3த்தா தி3ன்னு,noun,
-,ꢲ,ꢲꢣ꣄ꢣꢸꢬꢵꢡ꣄,sourashtra,,,'ꢲꢣꢣꢬꢡ':1 'hadduraat':2 'haddurat':3 'haddurāt':4 'mid':5 'night':6 'அர':7,duration|temporal|time,हद्दुरात्|ஹத்3து3ராத்|hadduraat|haddurAt|haddurāt|ɦəd̪d̪uɾɑːt̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,mid-night,english,,english,,duration|temporal|time,,noun,
^,,அர்த்த ராத்திரி,tamil,,tamil,'அரததரததர':1 'mid':2 'night':3 'அர':4,duration|temporal|time,ஹத்3து3ராத்,noun,
-,ꢡ,ꢡꢾꢥ꣄ꢣꢸꢱ꣄,sourashtra,,,'ꢡꢥꢣꢱ':1 'tendus':2 'tĕndus':3 'that':4 'day':5 'அன':6,duration|temporal|time,त॑न्दुस|தெந்து3ஸ்|te'ndus|tEndus|tĕndus|t̪en̪d̪us̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,that day,english,,english,,duration|temporal|time,,noun,
^,,அன்று,tamil,,tamil,'அனற':1 'that':2 'day':3 'அன':4,duration|temporal|time,தெந்து3ஸ்,noun,
-,ꢏ,ꢏꢬ꣄ꢱꢸ,sourashtra,,,'ꢏꢬꢱ':1 'orsu':2 'ŏrsu':3 'year':4 'ஆண':5,duration|temporal|time,आ॑र्सु|ஒர்ஸு|o'rsu|Orsu|ŏrsu|oɾs̪u,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,year,english,,english,,duration|temporal|time,,noun,
^,,ஆண்டு,tamil,,tamil,'ஆணட':1 'year':2 'ஆண':3,duration|temporal|time,ஒர்ஸு,noun,
-,ꢬ,ꢬꢵꢡ꣄,sourashtra,,,'ꢬꢡ':1 'raat':2 'rat':3 'rāt':4 'night':5 'இரவ':6,duration|temporal|time,रात्|ராத்|raat|rAt|rāt|ɾɑːt̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,night,english,,english,,duration|temporal|time,,noun,
^,,இரவு,tamil,,tamil,'இரவ':1 'night':2,duration|temporal|time,ராத்,noun,
-,ꢬ,ꢬꢵꢣꢶ,sourashtra,,,'ꢬꢣ':1 'raadi':2 'radi':3 'rādi':4 'night':5 'இரவ':6,duration|temporal|time,रादि|ராதி|raadi|rAdi|rādi|ɾɑːd̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,night,english,,english,,duration|temporal|time,,noun,
^,,இரவு,tamil,,tamil,'இரவ':1 'night':2,duration|temporal|time,ராதி,noun,
-,ꢲ,ꢲꢶꢥ꣄ꢣꣁ,sourashtra,,,'ꢲꢥꢣ':1 'hindo':2 'hindŏ':3 'today':4 'இன':5,duration|temporal|time,हिन्दा॑|ஹிந்தொ3|hindo'|hindO|hindŏ|ɦɪn̪d̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,today,english,,english,,duration|temporal|time,,noun,
^,,இன்று,tamil,,tamil,'இனற':1 'today':2 'இன':3,duration|temporal|time,ஹிந்தொ3,noun,
