-,ꢏ,ꢏꢥ꣄ꢥꣁ,sourashtra,,,'ꢏꢥꢥ':1 'onno':2 'ŏnnŏ':3 'beans':4 'bean':5 'அவர':6,food|plant|vegetable,आ॑न्ना॑|ஒன்னொ|o'nno'|OnnO|ŏnnŏ|on̪n̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,beans,english,,english,,food|plant|vegetable,,noun,
^,,அவரைக்காய்,tamil,,tamil,'அவரககய':1 'beans':2 'bean':3 'அவர':4,food|plant|vegetable,ஒன்னொ,noun,
-,ꢂ,ꢂꢭ꣄ꢭꣁ,sourashtra,,,'ꢂꢭꢭ':1 'allo':2 'allŏ':3 'ginger':4 'இஞ':5,food|plant|vegetable,अल्ला॑|அல்லொ|allo'|allO|allŏ|əllo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,ginger,english,,english,,food|plant|vegetable,,noun,
^,,இஞ்சி,tamil,,tamil,'இஞச':1 'ginger':2 'இஞ':3,food|plant|vegetable,அல்லொ,noun,
-,ꢤ,ꢤꢸꢬꢸꢳꢸ ꢪꢹꢳ꣄,sourashtra,,,'ꢤꢬꢳꢪꢳ':1 'dhurulumool':2 'dhurulumul':3 'dhurulumūl':4 'potato':5 'உர':6 'ழங':7,food|plant|vegetable,धुरुळु मूळ|து4ருளு மூள்|dhurul'u mool'|dhuruLu mUL|dhurul̤u mūl̤|d̪ʰuɾuɭu muːɭ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,potato,english,,english,,food|plant|vegetable,,noun,
^,,உருளைக்கிழங்கு,tamil,,tamil,'உரளககழஙக':1 'potato':2 'உர':3 'ழங':4,food|plant|vegetable,து4ருளு மூள்,noun,
-,ꢮ,ꢮꢖ꣄ꢔꢶ,sourashtra,,,'ꢮꢖꢔ':1 'vangi':2 'vaggi':3 'vaṅgi':4 'brinjal':5 'கத':6,food|plant|vegetable,वङ्गि|வங்கி3|vangi|vaGgi|vaṅgi|ʋəŋgɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,brinjal,english,,english,,food|plant|vegetable,,noun,
^,,கத்திரிக்காய்,tamil,,tamil,'கததரககய':1 'brinjal':2 'கத':3,food|plant|vegetable,வங்கி3,noun,
