-,ꢒ,ꢒꢹꢬ꣄ꢪꣁ,sourashtra,,,'ꢒꢬꢪ':1 'koormo':2 'kurmo':3 'kūrmŏ':4 'tortoise':5 'ஆம':6,animal|aquatic|water,कुर्मा॑|கூர்மொ|koormo'|kUrmO|kūrmŏ|kuːɾmo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,tortoise,english,,english,,animal|aquatic|water,,noun,
^,,ஆமை,tamil,,tamil,'ஆம':1 'tortoise':2,animal|aquatic|water,கூர்மொ,noun,
-,ꢒ,ꢒꢱ꣄ꢦꣁ,sourashtra,,,'ꢒꢱꢦ':1 'kaspo':2 'kaspŏ':3 'tortoise':4 'ஆம':5,animal|aquatic|water,कस्पा॑|கஸ்பொ|kaspo'|kaspO|kaspŏ|kəs̪po,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,tortoise,english,,english,,animal|aquatic|water,,noun,
^,,ஆமை,tamil,,tamil,'ஆம':1 'tortoise':2,animal|aquatic|water,கஸ்பொ,noun,
-,ꢡ,ꢡꢪ꣄ꢨꢭ꣄ꢗꢶꢦ꣄ꢦꣁ,sourashtra,,,'ꢡꢪꢨꢭꢗꢦꢦ':1 'tambalchippo':2 'tambalcippo':3 'tambalcippŏ':4 'tortoise':5 'ஆம':6,animal|aquatic|water,तम्बल्चिप्पा॑|தம்ப3ள்சிப்பொ|tambalchippo'|tambalcippO|tambalcippŏ|t̪əmbəlt͡ʃɪppo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,tortoise,english,,english,,animal|aquatic|water,,noun,
^,,ஆமை,tamil,,tamil,'ஆம':1 'tortoise':2,animal|aquatic|water,தம்ப3ள்சிப்பொ,noun,
-,ꢓ,ꢓꢾꢱꢸꢭꣁ,sourashtra,,,'ꢓꢱꢭ':1 'khesulo':2 'khĕsulŏ':3 'prawn':4 'இற':5,animal|aquatic|water,खेसुला॑|கெ2ஸூலொ|khe'sulo'|khEsulO|khĕsulŏ|kʰes̪ulo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,prawn,english,,english,,animal|aquatic|water,,noun,
^,,இறால்,tamil,,tamil,'இறல':1 'prawn':2 'இற':3,animal|aquatic|water,கெ2ஸூலொ,noun,
-,ꢒ,ꢒꢾꢜ꣄ꢜꢸ ꢱꢵꢦ꣄,sourashtra,,,'ꢒꢜꢜꢱꢦ':1 'kettusaap':2 'kettusap':3 'kĕṭṭusāp':4 'viper':5 'கட':6 'யன':7,animal|aquatic|water,क॑ट्टु साप्|கெட்டு ஸாப்|ke't't'u saap|kETTu sAp|kĕṭṭu sāp|keʈʈu s̪ɑːp,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,viper,english,,english,,animal|aquatic|water,,noun,
^,,கட்டுவிரியன்,tamil,,tamil,'கடடவரயன':1 'viper':2 'கட':3 'யன':4,animal|aquatic|water,கெட்டு ஸாப்,noun,
-,ꢱ,ꢱꢪꢸꢣ꣄ꢬꢸ ꢒꢱ꣄ꢦꣁ,sourashtra,,,'ꢱꢪꢣꢬꢒꢱꢦ':1 'samudrukaspo':2 'samudrukaspŏ':3 'turtle':4 'கடல':5,animal|aquatic|water,समुद्रु कस्पा॑|ஸமுத்3ருகஸ்பொ|samudru kaspo'|samudru kaspO|samudru kaspŏ|s̪əmud̪ɾu kəs̪po,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,turtle,english,,english,,animal|aquatic|water,,noun,
^,,கடலாமை,tamil,,tamil,'கடலம':1 'turtle':2 'கடல':3,animal|aquatic|water,ஸமுத்3ருகஸ்பொ,noun,
