-,ꢔ,ꢔꢵꢫ꣄,sourashtra,Sourashtra word for cow,,gāy':2 'cow':3 'cattle':4 'bovine':5 'animal':6 'domestic':7 'farm':8 'gaay':9 'ꢔꢵꢫ꣄':1,animal|domestic|cattle|farm,गाय्|கா3ய்|/gaːj/,,"{""category"": ""noun"", ""type"": ""domestic_animal"", ""species"": ""bovine""}"
^,,cow,english,"female bovine animal, dairy animal",,cow':1 'bovine':2 'female':3 'dairy':4 'animal':5 'cattle':6 'gaay':7,animal|domestic|cattle,/kaʊ/,noun,
^,,ஆ,tamil,பெண் மாடு,,"ā':1 'cow':2 'female':3 'bovine':4 'cattle':5 'gaay':6",animal|domestic|cattle,/aː/,noun,
-,ꢩ,ꢩꢾꢠ꣄ꢞꢸ,sourashtra,Sourashtra word for lamb,,beṇḍu':2 'lamb':3 'sheep':4 'young':5 'animal':6 'domestic':7 'wool':8 'bhandu':9 'ꢩꢾꢠ꣄ꢞꢸ':1,animal|domestic|sheep|young,भ॑ण्डु|பெ4ண்டு3|/bʱɐɳɖu/,,"{""category"": ""noun"", ""type"": ""domestic_animal"", ""species"": ""ovine"", ""age"": ""young""}"
^,,lamb,english,"young sheep, wool-bearing animal",,lamb':1 'sheep':2 'young':3 'wool':4 'animal':5 'domestic':6 'bhandu':7,animal|domestic|sheep,/læm/,noun,
^,,ஆடு,tamil,செம்மறி ஆடு,,"āḍu':1 'sheep':2 'lamb':3 'wool':4 'animal':5 'bhandu':6",animal|domestic|sheep,/aːɖu/,noun,
-,ꢔ,ꢔꢵꢫ꣄ ꢔꣁꢬꢸꢥ꣄,sourashtra,Sourashtra word for cattle,,gāy':2 'ghārun':3 'cattle':4 'livestock':5 'bovine':6 'farm':7 'animals':8 'domestic':9 'gaay':10 'gharun':11 'ꢔꢵꢫ꣄':1 'ꢔꣁꢬꢸꢥ꣄':12,animal|domestic|cattle|livestock|farm,गाय घा॑रुन्|கா3ய்கொ3ருன்|/gaːj ɡʱaːrun/,,"{""category"": ""noun"", ""type"": ""domestic_animal"", ""species"": ""bovine"", ""number"": ""collective""}"
^,,cattle,english,"domesticated bovine animals, livestock",,cattle':1 'bovine':2 'livestock':3 'domestic':4 'animals':5 'farm':6 'gaay':7 'gharun':8,animal|domestic|cattle|livestock,/kætl̩/,noun,
^,,ஆடுமாடு,tamil,வளர்ப்பு மிருகங்கள்,,"āḍumāḍu':1 'cattle':2 'livestock':3 'domestic':4 'animals':5 'gaay':6 'gharun':7",animal|domestic|cattle|livestock,/aːɖumaːɖu/,noun,
-,ꢦ,ꢦꣁꢡꢸꢭꣁ,sourashtra,Sourashtra word for bull,,bādulā':2 'bull':3 'male':4 'bovine':5 'strong':6 'animal':7 'cattle':8 'paadula':9 'ꢦꣁꢡꢸꢭꣁ':1,animal|domestic|cattle|male,पा॑दुला॑|பொ3து3லொ|/paːdula:/,,"{""category"": ""noun"", ""type"": ""domestic_animal"", ""species"": ""bovine"", ""gender"": ""male""}"
