ꢔꢵꢫ꣄,गाय्,கா3ய்,cow,ஆ 
ꢩꢾꢠ꣄ꢞꢸ,भ॑ण्डु,பெ4ண்டு3,lamb,ஆடு 
ꢔꢵꢫ꣄ ꢔꣁꢬꢸꢥ꣄,गाय घा॑रुन्,கா3ய்கொ3ருன்,cattle,ஆடுமாடு 
ꢦꣁꢡꢸꢭꣁ,पा॑दुला॑,பொ3து3லொ,bull,எருது 
ꢩꢾꢫ꣄ꢱ꣄,भ॑य्स्,பெ4ய்ஸ்,she-buffalo,எருமை 
ꢩꢾꢫ꣄ꢱꢸ꣄ ꢦꣁꢡꢸꢭꣁ ,भ॑य्सुबा॑दुला॑,பெ4ய்ஸுபொ3து3லொ,he-buffalo,எருமைக் கடா 
ꢪꢸꢫꢶ. ꢭꣁꢭ꣄ꢦꢣꢾ,"मुयि, ला॑ल्पड॑",முயி/லொல்படெ3,camel,ஒட்டகம் 
ꢦꣁꢡꢸꢭꣁ,बा॑दुला॑,பொ3து3லொ,ram,கடா 
ꢕꢾꢣꢞ꣄,घ॑दड,கெ4த3ட்3,donkey,கழுதை 
"ꢣꢸꢞꣁ, ꢮꢵꢱꢬ꣄","दुडा॑, वासर",து3டொ3/ வாஸர்,calf,கன்று 
ꢔꣁꢖ꣄ꢔꢸ,गा॑ङगु,கொ3ங்கு3,cattle,மந்தை
ꢔꣁꢬꢸ,गा॑रु,கொ3ரு,ox,காளை 
ꢕꣁꢞꣁ,घा॑डा॑,கொ4டொ3,horse,குதிரை 
"ꢒꢷꢱ꣄, ꢦꣁꢭꢥ꣄ꢔꢸ, ꢮꢥ꣄ꢕꢪꢶ","कीस्, पा॑लङ्गु, वन्धमि",கீஸ்/பொலங்கு3/ வந்த4மி,monkey,குரங்கு 
"ꢩꢾꢠ꣄ꢞꢸ, ꢪꢴꢾꢞꢶꢩꢾꢠ꣄ꢞꢸ","भ॑ण्डु, न्ह॑डिभ॑ण्डु",பெ4ண்டு3/மெ:டி3பெ4ண்டு3,sheep,குறி / செம்மறி ஆடு
ꢕꢾꢣꢞꢕꣁꢞꣁ꣄,घ॑दड्घा॑डा॑,கெ4த3ட்3கொ4டொ3,mule,கோவேறிக் கழுதை 
ꢱꢸꢥꣁ,सना॑,ஸுனொ,dog,நாய் 
ꢔꢵꢫ꣄,गाय्,கா3ய்,cow,பசு 
ꢦꣀꢭ꣄ ꢱꢸꢥꣁ,बैल्शुना॑,பை3ல்ஸுனொ,bitch,பட்டி 
ꢣꢸꢒ꣄ꢒꢬ꣄,दुक्कर,து3க்கர்,pig,பன்றி 
