ꢬꢵꢠꢸ ꢒꣃꢭꣁ,रानुकौला॑,ராணுகௌளொ,raanu kaulo',rANu kaulO,rāṇu kaulŏ,ɾɑːɳu kəulo,raven,அண்டங்காக்கா 
ꢗꢛ꣄ꢗꢸ,चञचु,சஞ்சு,chanchu,caJcu,cañcu,t͡ʃəɲt͡ʃu,beak,அலகு 
ꢪꢸꢱ꣄ꢒꢶꢳꢶ,मुस्किळि,முஸ்கிளி,muskil'i,muskiLi,muskil̤i,mus̪kɪɭɪ,beak,அலகு 
ꢂꢪ꣄ꢱꣁ,हम्सा॑,ஹம்ஸொ,amso',amsO,amsŏ,əms̪o,swan,அன்னம் 
ꢕꢸꢔꢸ,घुगु,கூ4கு3,ghugu,ghugu,ghugu,gʰugu,owl,ஆந்தை 
ꢆꢭꢸ,उलु,உலு,ulu,ulu,ulu,ulu,owl,ஆந்தை 
ꢦꢶꢖ꣄ꢔꢸ,पिङ्गु,பிங்கு,pingu,piGgu,piṅgu,pɪŋgu,feather,இறகு 
ꢦꢷꢦ꣄,पीप्,பீப்,peep,pIp,pīp,piːp,feather,இறகு 
ꢦꢒ꣄ꢰꢶ ꢔꢹ,पक्षि गू,பக்ஷி கூ3,pakshi goo,pakSi gU,pakṣi gū,pəkʂɪ guː,bird’sdropping,எச்சம் 
ꢬꢙꢒꣃꢭꣁ,रजकौला॑,ரஜகௌளொ,rajakaulo',rajakaulO,rajakaulŏ,ɾəd͡ʒəkəulo,king crow,கரிச்சான் 
ꢔꣃꢬꢶ,गौरि,கௌ3ரி,gauri,gauri,gauri,gəuɾɪ,partidge,கவுதாரி 
ꢣꢶꢰ꣄ꢳꣁ,दिष्ळा॑,தி3ஷ்ளொ,dishl'o',diSLO,diṣl̤ŏ,d̪ɪʂɭo,eagle,கழுகு 
ꢒꣃꢭꣁ,कौला॑,கௌளொ,kaulo',kaulO,kaulŏ,kəulo,crow,காக்கா 
ꢬꢪꣁ,रमा॑,ரமொ,ramo',ramO,ramŏ,ɾəmo,parrot,கிளி / தத்தை
ꢒꣁꢒꢶꢭ꣄,का॑किल्,கொகில்,ko'kil,kOkil,kŏkil,kokɪl,cuckoo,குயில் 
ꢗꢶꢞꢶ,चिडि,சிடி3,chid'i,ciDi,ciḍi,t͡ʃɪɖɪ,sparrow,குருவி 
ꢤꢔꣁ,धगा॑,கூ2கொ3,dhago',dhagO,dhagŏ,d̪ʰəgo,owl,கூகை/ஆந்தை
ꢆꢭꢸ,उलु,உலு,ulu,ulu,ulu,ulu,owl,கூகை/ஆந்தை
ꢦꢛ꣄ꢙꢶꢬꢶ꣄,पन्जिरि,பஞ்ஜிரி,panjiri,paJjiri,pañjiri,pəɲd͡ʒɪɾɪ,nest,கூடு 
ꢥꢷꢞꣁ,नीडा॑,நீடொ3,need'o',nIDO,nīḍŏ,n̪iːɖo,nest,கூடு 
ꢮꢔꣁ,वगा॑,வகொ3,vago',vagO,vagŏ,ʋəgo,crane,கொக்கு 
ꢄꢭꢶ,हिलि,ஹிளி,ili,ili,ili,ɪlɪ,crest of cock,கொண்டை 
ꢘꢸꢭꢶ,छुलि,சு2ளி,chhuli,chuli,chuli,t͡ʃʰulɪ,crest of cock,கொண்டை 
ꢒꢸꢒꢸꢞꢶ,कुकुडि,குகுடி3,kukud'i,kukuDi,kukuḍi,kukuɖɪ,hen,கோழி 
ꢒꢸꢞꢶ,कुडि,குடி3,kud'i,kuDi,kuḍi,kuɖɪ,hen,கோழி 
ꢒꢸꢒꢸꢞꢶꢦꢶꢭ꣄ꢭꣁ,कुकुडिपिल्ला॑,குகுடி3பில்லொ,kukud'ipillo',kukuDipillO,kukuḍipillŏ,kukuɖɪpɪllo,chicken,கோழிக் குஞ்சு 
ꢦꢶꢖ꣄ꢒꢸꢞꣁ,पिङकुडा॑,பிங்குடொ3,pinkud'o',piGkuDO,piṅkuḍŏ,pɪŋkuɖo,wing,சிறகு /இறக்கை
ꢦꢶꢖ꣄ꢒꢸꢞꣁ,पिङकुडा॑,ரெக்கெ,pinkud'o',piGkuDO,piṅkuḍŏ,pɪŋkuɖo,wing,சிறகு /இறக்கை
ꢒꢸꢒꢸꢞꣁ,कुकुडा॑,குகுடொ3,kukud'o',kukuDO,kukuḍŏ,kukuɖo,cock,சேவல் 
ꢒꢸꢞꣁ,कुडा॑,குடொ3,kud'o',kuDO,kuḍŏ,kuɖo,cock,சேவல் 
ꢃꢞꢶ,आडि,ஆடி3,aad'i,ADi,āḍi,ɑːɖɪ,duck,வாத்து
ꢨꢣꢸꢭꣁ,बदुला॑,ப3து3லொ,badulo',badulO,badulŏ,bəd̪ulo,duck,வாத்து
ꢮꢶꢱ꣄ꢡꢮ꣄ ꢒꢸꢞꢶ,विस्तव्कुडि,விஸ்தவ்குடி3,vistav kud'i,vistav kuDi,vistav kuḍi,ʋɪs̪t̪əʋ kuɖɪ,ostrich,தீக்கோழி 
ꢦꢷꢦ꣄,पीप,பீப்,peep,pIp,pīp,piːp,feather,தூவல் 
ꢦꢶꢛ꣄ꢘꢾ,पिञछे,பிஞ்செ2,pinchhe',piJchE,piñchĕ,pɪɲt͡ʃʰe,Plume of peacock,தோகை 
ꢪꢸꢡꢭꣁ,मुतला॑,முதளொ,mutalo',mutalO,mutalŏ,mut̪əlo,Plume of peacock,தோகை 
ꢦꢖ꣄ꢓꢸ,पङ्खु,பங்கு2,pankhu,paGkhu,paṅkhu,pəŋkʰu,Plume of peacock,தோகை 
ꢒꢸꢒ꣄ꢒꢸꢬꣁ,कुक्कुरा॑,குக்குரொ,kukkuro',kukkurO,kukkurŏ,kukkuɾo,crane,நாரை 
ꢕꢵꢬꢸ,घारु,கா4ரு,ghaaru,ghAru,ghāru,gʰɑːɾu,kite,பருந்து 
ꢦꢒ꣄ꢰꢶ,पक्षि,பக்ஷி,pakshi,pakSi,pakṣi,pəkʂɪ,bird,பறவை 
ꢒꣃꢣꢸ,कौदु,கௌது3,kaudu,kaudu,kaudu,kəud̪u,pigeon,புறா 
ꢒꣁꢒ꣄ꢒꢸꢬ꣄ꢒꣀꢭꣁ,का॑क्कुर्कैला॑,கொக்குர்கைலொ,ko'kkurkailo',kOkkurkailO,kŏkkurkailŏ,kokkuɾkəɪlo,pigeon,புறா 
ꢨꣀꢭ꣄ ꢒꢸꢞꢶ,बैल् कुडि,கபை3ல் குடி,bail kud'i,bail kuDi,bail kuḍi,bəɪl kuɖɪ,hen,பெட்டைக் கோழி
ꢪꢴꣂꢬꢶ,म्होरि,மோ:ரீ,mhori,mhori,mhori,mɦoːɾɪ,pea-hen,பெண்மயில் 
ꢪꢴꣂꢬ꣄,म्होर्,மோ:ர்,mhor,mhor,mhor,mɦoːɾ,pea-cock,மயில் 
ꢪꢴꣂꢬꢸ ꢦꢷꢒ꣄,म्होरुपीक्,மோ:ருபீக்,mhoru peek,mhoru pIk,mhoru pīk,mɦoːɾu piːk,peacock-feather,மயிலிறகு / மயிற்பீலி
