ꢂꢦꢱꢾꢔꢸꢥ꣄,अपस॑गुन,அபஸெகு3ன்,ill omen,அபசகுனம்  
"ꢂꢪꢖ꣄ꢒꢭꢸ, ꢪꢖ꣄ꢔꢭ ꢲꢶꢥ꣄","अमङ्गलु, मङ्गल हीन",அமங்க3லு/    மங்க3ல ஹீன்,inauspicious,அமங்கலம்  
"ꢨꣁꢮ꣄ꢥꢶ ꢦꢡ꣄ꢬꢶꢒꣁ, ꢱ꣄ꢮꢵꢔꢡ ꢦꢡ꣄ꢬꢶꢒꣁ, ꢥꢶꢪꢥ꣄ꢡ꣄ꢬꢥ ꢦꢡ꣄ꢬꢶꢒꣁ","बा॑व्नि पत्रिका॑, स्वागत पत्रिका॑, निमन्त्रन पत्रिका॑",பொ3வ்னி பத்ரிகொ/ஸ்வாக3த பத்ரிகொ/நிமந்த்ரன பத்ரிகொ,invitation card,அழைப்பிதழ்  
ꢨꣁꢮ꣄ꢥꢶ,बा॑व्नि,பொ3வ்னி,invitation,அழைப்பு  
ꢂꢗꢵꢬ꣄,अचार्,அசார்,custom,ஆசாரம்  
"ꢣꢷꢮꢥꣁ, ꢃꢱꢶꢬ꣄ꢮꢵꢣ꣄","दीवना॑, आसिर्वाद",தீ3வனொ / ஆஸிர்வாத்3,blessing,ஆசீர்வாதம்  
"ꢆꢦꢮꢵꢱ꣄, ꢏꢔꢡ꣄","उपवास, आ॑गत",உபவாஸ்/ஒக3த்,fasting,உபவாசம்  
ꢏꢬꢵꢡ꣄,आ॑रात्,ஒராத்,procession,ஊர்வலம்  
ꢔꣁꢬꢸ ꢤꢾꢬ꣄ꢥꢶ,गा॑रु ध॑र्नि,கொ3ரு தெ4ர்னி,bull fight,ஏறுதழுவல்  
"ꢣꣁꢳꢵ ꢣꢶꢰ꣄ꢜꢶ, ꢣꢺꢰ꣄ꢜꢶ, ꢣꣁꢭ ꢦꣁꢞꢱ꣄ꢡꢾ","दा॑ळा दिष्टि, दृष्टि, दा॑ळ पा॑डस्त॑",தொ3ளா தி3ஷ்டி/ த்ரு3ஷ்டி/ தொ3ள பொட3ஸ்தெ,evil eye,கண்ணேறு  
"ꢲꣁꢬꢵꢜ꣄, ꢮꢶꢮꢵꢲꣁ, ꢦꢵꢠꢶ ꢔꢺꢲꢠꣁ","हा॑राट, विवाहा॑, पाणि गृहणा॑",ஹொராட்/ விவாஹொ/ பாணி க்3ரஹணொ,marriage,கல்யாணம்/திருமணம்
"ꢙꣁꢮꢳ꣄꣄, ꢒꢵꢥ꣄ ꢮꢶ/ꢪ ꢶꢥ꣄ꢡꢶꢥꢶ","वल, कन् वि/मि - न्दिनि",ஜொவள்/கான்வி/மி ந்தி3னி,ear boring ceremony,காதணிவிழா  
ꢪꢴꢹꢬ꣄ꢡꢸ ꢓꢵꢪ꣄ꢦꢸ ꢱ꣄ꢢꢵꢦꢥꣁ,म्हूर्तु खाम्पु स्थापना॑,மூ:ர்துகா2ம்பு ஸ்தா2பனொ,planting a small branch of a banyan tree to grow as a symbol of marriage,கால்நடுதல்  
ꢒꢸꢭ ꢮꣁꢕꢭꢱ꣄ꢡꢾ,कुल वा॑घलस्त॑,குலவொக4லஸ்தே,the oral sound made during important occasions,குரவையிடுதல்  
ꢚꢠ꣄ꢞꢮ꣄ ꢲꢶꢖ꣄ꢔꢞ꣄ꢠꢶ,झण्डाव्हिङ्गड्णि,ஜ2ண்டா3வ் ஹிங்க3ட்3ணி,flag hoisting ceremony of a temple,கொடி யேற்றுதல்   
