ꢲꢶꢬ,हिर,ஹிர,orange,ஆரஞ்சு 
ꢥꢡ꣄ꢡꢭ꣄,नत्तल,நத்தல்,blood red,இரத்தச்சிவப்பு 
ꢒꣁꢪ꣄ꢨꢳꢮꢥꢶ,का॑म्ब्ळवनि,கொம்ப்3ளவனி,light colour,இளநிறம் 
ꢒꣁꢪ꣄ꢨꢳ ꢦꣁꢭ꣄ꢱꣁ,का॑म्ब्ळपा॑ल्सा॑,கொம்ப்3ளபொல்ஸொ,light green,இளம் பச்சை 
ꢙꢾꢪ꣄ꢨ꣄ꢳ,जेम्ब्ळ,ஜெம்ப்3ள,violet,ஊதா 
ꢒꢳꣁ,कळा॑,களொ,dark,கருநிறம் 
ꢥꢶꢳꣁ,निळा॑,நிளொ,dark blue,கருநீலம் 
ꢕꢾꢞꢶ ꢦꣁꢭ꣄ꢱꣁ,घ॑डिपा॑ल्सा॑,கெ4டி3பொல்ஸொ,dark green,கரும்பச்சை 
ꢒꢳ,कळ,கள,black,கறுப்பு 
ꢒꢵꢰ꣄ꢜꢸ,काष्टु,காஷ்டு,saffron,காவி 
ꢬꢪꢵ ꢦꣁꢭ꣄ꢱꣁ,रमापाअ॑ल्सा॑,ரமாபொல்ஸொ,parrot green,கிளிப்பச்சை 
ꢱꢶꢬ꣄ꢒ꣄ꢒꢥ꣄,सिर्क्कन,ஸிர்க்கன்,sandal/ cream,சந்தணம் 
ꢤꢹꢪ꣄ꢮꢥꢶ,धूम्वनि,தூ4ம்வனி,ash colour,சாம்பல் 
ꢭꢴꣁꢮ꣄ꢮꣁ,ल्हा॑व्वो,லொ:வ்வொ,red,சிவப்பு 
ꢥꢵꢬ꣄ꢪꢹꢞꢶ,नार्मूडि,நாற்மூடி3,,தவிட்டுநிறம் 
ꢮꢥꢶ,वनि,வனி,colour,நிறம் 
ꢯ꣄꣄ꢫꢵꢪꣁ,श्यामा॑,ஶ்யாமொ,blue,நீலம் 
ꢥꢶꢭ,निल,நில,blue,நீலம் 
ꢦꣁꢭ꣄ꢱꣁ,पा॑ल्सा॑,பொல்ஸொ,green,பச்சை 
ꢂꢳ꣄ꢞꢸꢥꣁ,हळ्डुना॑,ஹள்டு3னொ,yellow,மஞ்சள் 
ꢮꢥꢶ,वनि,வனி,colour,வண்ணம் 
ꢆꢙꢵꢳ꣄,हुजाळ,ஹுஜாள்,white,வெள்ளை 
