ꢂꢒ꣄ꢒꢬꣁꢓꢳ꣄ꢳꢿ,अक्करा॑ खळ्ळे,அக்கரொ க2ள்ளே,get interested,அக்கறைகொள்  
ꢂꢨ꣄ꢨꢶꢥꢶ ꢦꣂꢜ꣄,अब्बिनि पोट,அப்3பி3னிபோட்,be caught,அகப்படு  
ꢤꢒ꣄ꢒꢶ ꢬꢴꢵ,धक्कि र्हा,த4க்கி ரா:,be afraid of,அச்சப்படு  
ꢤꢒ꣄ꢒꢵꢜ꣄,दक्काट,த4க்காட்,horrify,அச்சமூட்டு  
"ꢂꢗ꣄ꢗꢸ ꢡꢵꢫ꣄, ꢪꢸꢣ꣄ꢬꢶꢠꢶ ꢒꢾꢬ꣄","अच्चु ताय, मुद्रणि केर",அச்சு தாய் /முத்3ரிணி கேர்,print,அச்சிடு  
ꢤꢵꢒ꣄ ꢕꢵꢭ꣄,दाघ घाल,தா4க் கா4ல்,terrify,அச்சுறுத்து  
ꢔꢵꢭꢸꢪ꣄ ꢢꣁꢮ꣄ꢭꢶ ꢭꢸꢨ꣄ꢨꢶ,गालुम थोव्लि लुब्बि,கா3லும் தொ2வ்லி லுப்3பி3,Ruminate/chew,அசைபோடு  
ꢆꢞ꣄ꢔꢞꢶ ꢢꣁꢮ꣄,उड्गडि तोव,உட்3க3டி3 தோ2வ்,Quell/ control,அடக்கிவை  
ꢕꢵꢪ꣄ ꢭꢔꢳ꣄ꢳꢿ,घाम् लगळ्ळे,கா4ம் லக3ள்ளே,get wounded,அடிபடு  
ꢓꢵꢭ꣄ ꢦꣂꢜ꣄,खाल्पोट्,கா2ல்போட்,become subordinate,அடிபணி  
"ꢨꢥ꣄ꢣꢶ ꢒꢿꢬ꣄,   ꢣꢵꢱ꣄ ꢒꢿꢬ꣄","बन्दि केर, दास्केर",ப3ந்தி3கேர்/   தா3ஸ் கேர்,enslave,அடிமைப்படுத்து  
"ꢲꢬꢸꢪ꣄ꢨꢪ꣄ ꢒꢿꢬ꣄, ꢦꢔꢸꢭ꣄ ꢢꣁꢮ꣄","हरुम्बम केर, पगुल थोव",ஹரும்ப3ம்கேர்/ பகு3ல் தோ2வ்,set foot,அடிவை  
ꢙꢾꢡꣁꢒꢥꢶ ꢃꢮ꣄,जेता॑कनि आव,ஜெதொகனிஆவ்,come ina group,அணிதிரள்  
ꢂꢡ꣄ꢒ꣄ꢫꢵꢬ ꣄ꢣꢿ,अत्क्यार्दे,அத்க்யார் தே3,empower,அதிகாரம் அளி   
ꢨꢾꢣꢶꢬꢶ ꢦꣂꢜ꣄,ब॑दिरि पोट,பெ3தி3ரி போட்,shock,அதிர்ச்சியடை  
ꢨꢾꢣꢸꢬ꣄ ꢦꣁꢞꢵꢜ꣄,ब॑दुर पा॑डाट,பெ3து3ர்பொடா3ட்,perplex,அதிர்ச்சியூட்டு  
ꢲꢾꢞꢶ ꢡꢵꢫ꣄,ह॑डि ताय,ஹெடி3 தாய்,remove,அப்புறப்படுத்த்து  
"ꢱꢪꢵꢤꢵꢥ꣄ ꢒꢿꢬ꣄, ꢯꢵꢥ꣄ꢡꢶ ꢒꢿꢬ꣄","समधान केर, शान्ति केर",ஸமாதா4ன்கேர்/ ஶாந்தி கேர்,"pacify, give solace",அமைதிப்படுத்து   
ꢱꢪꢵꢤꢵꢥ꣄ ꢲꣁ,समाधान हो,ஸமாதா4ன் ஹோ,be pacified,அமைதியடை  
ꢂꢬ꣄ꢦꢠꣁ ꢒꢾꢬ꣄,अर्पणा॑ केर,அர்பணொ கேர்,dedicate,அர்ப்பணி  
"ꢙꢭ꣄ꢦꢥꣁ ꢒꢿꢬ꣄, ꢮꢶꢬ꣄ꢢꢵ ꢮꢡ꣄ꢡꣁ ꢒꢿꢬ꣄","जल्पना॑ केर, विर्था वत्ता॑ केर",ஜல்பனொ கேர்/ விர்தா2 வத்தொ கேர்,Chat leisurely,அரட்டையடி  
ꢒꢾꢰ꣄ꢜꢪ꣄ꢦꢵꢜ꣄ꢦꣁꢜ꣄,केष्टम्पाट्पोट,கெஷ்டம் பாட்போட்,work hard,அரும்பாடுபடு  
ꢮꢾꢥ꣄ ꢒꢾꢰ꣄ꢜꢪ꣄ ꢦꣂꢜ꣄,वेन केष्टम्पोट,வேன் கெஷ்டம் போட்,To labour intensely,அல்லாடு  
"ꢱꢶꢖ꣄ꢔꢵꢬ꣄ ꢒꢿꢬ꣄, ꢂꢭꢖ꣄ꢒꢵꢬ꣄ ꢒꢿꢬ꣄","सिङ्गार् ꢒꢾꢬ꣄केर, अलङ्कार केर",ஸிங்கா3ர் கேர்/ அலங்கார் கேர்,decorate,அலங்காரம்செய்  
ꢂꢮ꣄ꢱꢬ꣄ꢒꢿꢬ꣄,अव्सर केर,அவ்ஸர்கேர்,hasten (tr.),அவசரப்படுத்து  
ꢂꢮ꣄ꢱꢬ꣄ꢦꣂꢜ꣄,अव्सर्पोट,அவ்ஸர்போட்,hasten  (int.),அவசரப்படு  
ꢂꢮ꣄ꢤꢶ ꢦꣂꢜ꣄,अव्धि पोट,அவ்தி4 போட்,Undergo agony,அவதிப்படு  
"ꢥꢶꢪꢥ꣄ꢡ꣄ꢬꢠꣁ ꢒꢿꢬ꣄, ꢨꣁꢮꢥ꣄ ꢤꢞ꣄ꢞꢿ","निमन्त्रणा॑ केर, बोवन धड्डे",நிமந்த்ரணொ கேர்/ பொ3வன் த4ட்3டே3,invite,அழைப்புவிடு  
ꢦꢬꢶꢗꢫꣁ ꢒꢿꢬ꣄,परिचया॑ केर,பரிசயொகேர்,introduce,அறிமுகப்படுத்து  
"ꢱꢶꢒ꣄ꢒꢞꢶ ꢣꢾ,  ꢛꢵꢥ꣄ ꢣꢾ","सिक्कडि दे, ञान दे",ஸிக்கடி3 தே3/ ஞான் தே3,Impart knowledge,அறிவுபுகட்டு  
"ꢦꢶꢒ꣄ꢒꢶꢥꢶ ꢒꢵꢜ꣄,  ꢦꢷꢒ꣄ ꢒꢵꢜ꣄","प्क्किनि काट, पीक काट",பிக்கினி காட்/    பீக் காட்,harvest,அறுவடைசெய்  
ꢂꢥ꣄ꢫꣁ ꢲꣂ,अन्या॑ हो,அன்யொஹோ,Get alienated,அன்னியமாகு  
ꢂꢣꢶꢱꢪ꣄ ꢦꣂꢜ꣄,अदिसम्पोट्,அதி3ஸம்போட்,wonder,ஆச்சரியப்படு  
ꢃꢯ꣄꣄ꢗꢬ꣄ꢫꢸ ꢦꣁꢞꢵꢜ꣄,आश्चर्यु पा॑डाट,ஆஶ்சர்யு பொடா3ட்,amaze (tr.),ஆச்சரியப்படுத்து   
ꢃꢱ꣄ꢡ ꢦꣂꢜ꣄,आस्त पोट्,ஆஸ்தபோட்,desire,ஆசைப்படு  
"ꢂꢦꢸꢭ꣄ ꢒꢾꢬ꣄ꢭꢾ, ꢂꢦꢸꢭ꣄ꢒꢥꢶ ꢮꢲꢶꢭꢿ, ꢂꢦ꣄ꢭꢵꢥ꣄ ꢒꢾꢬ꣄ꢭꢿ","अपुल क॑र्ले, अपुल्कनि वहिले, अप्लान क॑र्ले",அபுல் கெர்லே/ அபுல்கனி வஹிலே/அப்லான் கெர்லே,Take possession/ make one’s own,ஆட்கொள்  
"ꢱ꣄ꢢꢶꢬꢪ꣄ ꢥꢴꢷꢡ꣄ꢡꣁ ꢬꢴ ꢵ, ꢲꢭ꣄ꢭꢥ꣄ ꢥꢶꢔꢶꢭ꣄","स्तिरम न्हीत्ता॑ र्हा, हल्लन निगिल",ஸ்தி2ரம் நீ:த்தொ ரா:/ ஹல்லன் நிகி3ள்,be shaken,ஆட்டம்காண்  
ꢆꢣ꣄ꢣꢬ꣄ ꢣꢾ,उत्तर्दे,உத்தர் தே3,order,ஆணை பிறப்பி   
ꢬꢵꢒ꣄ ꢂꢥ꣄꣄ꢭꢾ,राक् अन्ले,ராக் அன்லே,get angry,ஆத்திரப்படு  
ꢬꢵꢒ꣄ ꢂꢮꢵꢜ꣄,राक् अवाट्,ராக்அவாட்,incense,ஆத்திரமூட்டு  
ꢃꢣꢬꣁ ꢣꢿ,आदरा॑ दे,ஆத3ரொ தே3,"support, patronize",ஆதரவளி  
ꢡꢾꢫꢵꢬ꣄ ꢒꢾꢬ꣄ꢭꢿ,त॑यार क॑र्ले,தெயார் கெர்லே,get ready,ஆயத்தமாகு  
"ꢆꢡ꣄ꢒꢸꢬꣂꢯꣁ ꢒꢿꢬ꣄,      ꢬꢾꢗ꣄ꢗꢵ ꢬꢾꢗ꣄ꢗꣁ ꢡꢵꢫ꣄","उत्कुरोशा॑केर, र॑च्चा॑ र॑च्चो ताय",உத்குரோஶொ கேர்/ ரெச்சா ரெச்சொ தாய்,clamour,ஆர்ப்பரி  
"ꢙꣁꢱ꣄ꢫꢪ꣄ ꢱꢖ꣄ꢔꢶ, ꢧꢸꢭ꣄ꢭꢵꢪ꣄ ꢱꢖꢔꢶ","जोस्यम सङ्गि, फुल्लाम सङ्गि",ஜோஸ்யம் ஸங்கி3/ பு2ல்லாம் ஸங்கி3,predict,ஆரூடம்கூறு  
ꢃꢭꣂꢗꢥꣁ ꢱꢖ꣄ꢔꢶ,आलोचना॑ सङ्गि,ஆலோசனொஸங்கி3,Advise/ counsel,ஆலோசனைகூறு   
"ꢤꢾꢫ꣄ꢬꢶꢫꢪ꣄ ꢱꢖ꣄ꢔꢶ, ꢯꢵꢥ꣄ꢡꢶ ꢣꢾ, ꢱꢵꢥ꣄ꢡ꣄ꢮꢥꣁ ꢒꢿꢬ꣄","धेय्रियम सङ्गि, शान्ति दे, सान्त्वना॑ केर",தெ4ய்ரியம்ஸங்கி3/ ஶாந்தி தே3/ ஸாந்த்வனொ கேர்,console,ஆறுதலளி  
ꢱꢪ꣄ꢪꢡ꣄ ꢣꢿ,सम्मत् दे,ஸம்மத் தே3,allow,இசைவுகொடு  
ꢢꢵꢪ꣄ꢡꢔꢶ ꢢꣁꢮ꣄,थाम्तगि थोव,தா2ம்தகி3 தோ2வ்,allocate,இடமொதுக்கு  
ꢢꢵꢪ꣄ ꢣꢿ,थाम्दे,தா2ம்தே3,give place,இடம்கொடு  
"ꢢꢵꢪ꣄ ꢪꢬ꣄ꢗꢶ ꢙꢵ, ꢢꢵꢪ꣄ ꢪꢬ꣄ꢗꢶ ꢢꣁꢮ꣄","थाम्मर्चि जा, थाम मर्चि थोव",தா2ம்மர்சி ஜா/ தா2ம் மர்சி தோ2வ்,Migrate/ dislocate,இடம்பெயர்  
ꢢꢵꢪ꣄ꢪꢬ꣄ꢗꢶ,थाम्मर्चि,தா2ம்மர்சி,shift,இடமாற்று  
ꢒꢾꢰ꣄ꢜꢪ꣄ ꢂꢞ꣄ꢞꢪ꣄ ꢂꢮꢵꢜ꣄,केष्टम अड्डम अवाट,கெஷ்டம் அட்3ட3ம் அவாட்,Create obstacle,இடருண்டாக்கு  
ꢥꢾꢱ꣄ꢒꢶꢥꢶ ꢦꣁꢜ꣄,न्स्किनि पोट,நெஸ்கினி போட்,be crushed,இடிபடு  
ꢂꢞ꣄ꢞꢪ꣄ ꢦꣂꢜ꣄,अड्डम पोट,அட்3ட3ம் போட்,obstruct,இடைமறி  
ꢂꢮ꣄ꢞꣁꢦꣂꢜ꣄,अव्डो पोट,அவ்டொ3போட்,interfere,இடையிடு  
ꢡꣁꢥ꣄ꢣꢬꢮ꣄ ꢒꢿꢬ꣄,त्न्दरव्केर,தொந்த3ரவ் கேர்,disturb,இடையூறுசெய்  
ꢏꢦ꣄ꢦꢱ꣄ꢡꢶꢱꣁ ꢒꢿꢬ꣄,आ॑प्पतिसा॑ केर,ஒப்பஸ்திஸொ கேர்,Make one accept/ yield,இணங்கவை  
ꢂꢥꢸꢡꢵꢦ꣄ ꢒꢭꢵꢜ꣄,अनुताप्कलाट्,அனுதாப் களாட்,condole,இரங்கல் தெரிவி   
ꢪꢴꢮ꣄ꢭꢶ ꢡꢵꢫ꣄,म्हव्लि ताय,ம:வ்லி தாய்,"black out, hide",இருட்டடிப்பு செய்   
