ꢚꢸꢭ꣄,झुल्,ஜு2ல்,leech,அட்டை 
ꢗꢶꢔ꣄ꢭꣁ,चिग्ला॑,சிக்3லொ,squirrel,அணில் 
ꢱꢪ꣄ꢗꢳꢶ,सम्चळि,ஸம்சளி,lacerta interpunctula lizard,அரணை 
ꢱꢱꢬ꣄ꢦꢵꢛ꣄ꢚꢸꢭ꣄,ससर्पाञझुल्,ஸஸர்பாஞ் ஜு2ல்,centipede,ஆயிரங்கால் அட்டை 
ꢔꣁꢬꢸ ꢒꢵꢥꢸꢪ꣄ ꢒꢶꢞꣁ,गा॑रुकनुमकिडा॑,கொ3ருகானும்கிடொ3,round worm,இரைப்பூச்சி
ꢆꢱꢸ ꢆꢱꢵꢭꢾ,उसुउसाल॑,உஸுஉஸாலெ,winged white ant,ஈசல்
ꢚꢸꢬꢸ,झुरु,ஜு2ரு,"lick, dog flea",உண்ணி
ꢪꢸꢖ꣄ꢔꢶ,मुङगि,முங்கி3,ant,எறும்பு
ꢲꢸꢥ꣄ꢣꢶꢬ꣄,हुन्दिर,ஹுந்தி3ர்,rat,எலி
ꢱꢬꢳ꣄,सरळ,ஸரள்,"chameleon, garden lizard",ஓணான்
ꢗꢵꢜꣁ,साटा॑,சாடொ,black ant,கட்டெறும்பு
ꢔꢥ꣄ꢤꣁꢭꢶ,गन्धा॑लि,க3ந்தொ4லி,wasp,கடந்தை
ꢔꢾꢥ꣄ꢤꢭ꣄,ग॑न्धल,கெ3ந்த4ல்,wasp,கடந்தை
ꢒꢖ꣄ꢒꢶꢞꣁ,किङकिडा॑,கங்கிடொ3,caterpillar,கம்பளிப்பூச்சி
ꢨꢥ꣄ꢣꣁ,बन्दा॑,ப3ந்தொ3,cockroach,கரப்பான்பூச்சி
ꢲꢸꢡꢶ,हुति,ஹுதி,white ant,கரையான்
ꢒꢺꢪꢶ,कृमि,க்ருமி,germ,கிருமி
ꢥꢸꢔꢸꢭ꣄,नुकुल्,நுகுல்,mongoose,கீரி
ꢥꢒꢸꢭ꣄,नकुल्,நகுல்,mongoose,கீரி
ꢱꢾꢛ꣄ꢙꢶꢮ꣄,स॑ञजिव्,ஸெஞ்ஜிவ்,wasp,குளவி
ꢦꢶꢱꢸꢳꣁ,पिसुळा॑,பிஸுளொ,mosquito,கொசு
ꢪꣃꢞꢶ,मौडि,மௌடி3,spider,சிலந்தி
ꢭꢴꣁꢮ꣄ꢮ ꢪꢸꢖ꣄ꢒꢶ,ल्हा॑व्व मुङकि,லொ:வ்வ முங்கி,small red ant,சிற்றெறும்பு
ꢆꢥ꣄ꢣꢶꢬ꣄,हुन्दिर्,ஹுந்தி3ர்,mouse,சுண்டெலி
ꢒꢸꢜ꣄ꢒꢶ,कुट्कि,குட்கி,flea,செள்ளு
ꢱꢸꢠ꣄ꢞꢶ,सुण्डि,ஸுண்டி3,dragon fly,தட்டான்
ꢩꢾꢬ꣄ꢒꢳꢶ,भ॑र्कळि,பெ4ர்களி,frog,தவளை
ꢱꢸꢠ꣄ꢞꢶ,सुण्डि,ஸுண்டி3,dragon fly,தும்பி
ꢩꢿꢭꢶ,भेलि,பே4லி,toad,தேரை
ꢮꢶꢛ꣄ꢗꢸ,विञचु,விஞ்சு,scorpion,தேள்
ꢪꣀꢪꢴꢔꢶ,मैम्हगि,மைம:கி3,honey bee,தேனீ
ꢔꢶꢱ꣄ꢳꣁ,गिस्ळा॑,கி3ஸ்ளொ,snail,நத்தை
ꢔꣁꢬꢪ꣄ꢪꣁ,गा॑रम्मा॑,கொ3ரம்மொ,butterfly,"பட்டம்பூச்சி, வண்ணத்துப் பூச்சி"
ꢒꣃꢱ꣄ꢒꢶꢞꣁ,कौस्किडा॑,கௌஸ்கிடொ3,silkworm,பட்டுப்புழு
ꢦꢵꢭꣁ,पाला॑,பாலொ,house lizard,பல்லி
ꢱꢵꢦ꣄,साप्,ஸாப்,snake,பாம்பு
ꢂꢥ꣄ꢣꢸ,अन्दु,அந்து3,silver fish,புத்தகப்புழு
ꢒꢶꢞꣁ,किडा॑,கிடொ3,worm,புழு
ꢑꢳꢶ,औळि,ஒளளி,ant hill,புற்று
ꢂꢨ꣄ꢨꢸ,हब्बु,ஹப்3பு3,small insect,பூச்சி
ꢔꣂꢪ꣄ꢨꢾ,गोम्ब॑,கோ3ம்பெ3,centipede,பூரான்
ꢙꢹꢪ꣄,जूम,ஜூம்,louse,பேன்
ꢱꢶꢣ꣄ꢣꢜ꣄,सिद्दट्,ஸித்3த3ட்,earthworm,மண்புழு
ꢙꢶꢙ꣄ꢙꢶꢭ꣄,जिज्जिल,ஜிஜ்ஜில்,glow worm,மின்மினிப்பூச்சி
ꢤꢾꢔꢸꢥꣁ,ध॑गुना॑,தெ4கு3நொ,bug,மூட்டை
ꢦꢶꢖ꣄ꢔꢸ ꢪꢸꢖ꣄ꢔꢶ,पिङगु मुङगि,பிங்கு3 முங்கி3,"big red ant,",மொசறு
ꢃꢳꢶ,आळि,ஆளி,beetle,வண்டு
ꢢꣂꢳ꣄,थौळ,தோ2ள்,grass hopper,விட்டில்
ꢔꣁꢭ꣄ꢭꣁꢬ꣄,गा॑ल्ला॑र,கொ3ல்லொர்,locust,வெட்டுக்கிளி
