Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢂꢨ꣄ꢨꢸꢥꢵ,अब्बुना,அப்3பு3னா,abbunaa,abbunA,abbunā,əbbun̪ɑː,will not get,கிடைக்காது  
ꢙꢸꢠ꣄ꢠꢵ,जुण्णा,ஜுண்ணா,junnaa,juNNA,juṇṇā,d͡ʒuɳɳɑː,will not get,கிடைக்காது  
ꢂꢨ꣄ꢨꢫ꣄,अब्बय्,அப்3ப3ய்,abbay,abbay,abbay,əbbəj,will get,கிடைக்கும்  
ꢙꢸꢞꣀ,जुडै,ஜுடை3,jud'ai,juDai,juḍai,d͡ʒuɖəɪ,will get,கிடைக்கும்  
ꢥꢴꢷ,न्ही, நீ:,nhee,nhI,nhī,n̪ɦiː,will not be available,கிடையாது  
ꢒꢳꢵꢥꢵ,कळाना,களானா,kal'aanaa,kaLAnA,kal̤ānā,kəɭɑːn̪ɑː,do not know,தெரியாது  
ꢒꢳꢵꢫ꣄,कळाय्,களாய்,kal'aay,kaLAy,kal̤āy,kəɭɑːj,know,தெரியும்  
ꢏꢦ꣄ꢦꢵꢥꢵ,आ॑प्पाना,ஒப்பானா,o'ppaanaa,OppAnA,ŏppānā,oppɑːn̪ɑː,do not like,பிடிக்காது  
ꢏꢦ꣄ꢦꢵꢫ꣄,आ॑प्पाय्,ஒப்பாய்,o'ppaay,OppAy,ŏppāy,oppɑːj,like,பிடிக்கும்  
ꢮꢶꢮꢬ꣄ꢦꣁꢠ꣄ꢠꢵ,विव र्पा॑ण्णा,விவர் பொண்ணா,vivarpo'nnaa,vivarpONNA,vivarpŏṇṇā,ʋɪʋəɾpoɳɳɑː,do not understand,புரியாது  
ꢮꢶꢮꢬ꣄ꢦꣁꢞꢫ꣄,विव र्पा॑डय,விவர் பொட3ய்,vivarpo'd'ay,vivarpODay,vivarpŏḍay,ʋɪʋəɾpoɖəj,understand,புரியும்  
ꢧꢸꢬ꣄ꢥꢵ,फुर्ना,பு2ர்னா,phurnaa,phurnA,phurnā,pʰuɾn̪ɑː,not enough,போதாது  
ꢧꢸꢬꢫ꣄,फुरय्,பு2ரய்,phuray,phuray,phuray,pʰuɾəj,enough,போதும்  
ꢪꢸꢱꢸꢥꢵ,मुसुना,முஸூனா,musunaa,musunA,musunā,mus̪un̪ɑː,not possible,முடியாது  
ꢯꢾꢒ꣄ꢒꢸꢥꢵ,श॑क्कुना,ஶெக்குனா,she'kkunaa,zEkkunA,śĕkkunā,ʃekkun̪ɑː,not possible,முடியாது  
ꢪꢸꢱꢫ꣄,मुसय्,முஸய்,musay,musay,musay,mus̪əj,possible,முடியும்  
ꢯꢾꢒ꣄ꢒꢫ꣄,श॑क्कय,ஶெக்கய்,she'kkay,zEkkay,śĕkkay,ʃekkəj,possible,முடியும்  
ꢥꣁꢒ꣄ꢒꣁ,ना॑क्का॑,நொக்கொ,no'kko',nOkkO,nŏkkŏ,n̪okko,do not want,வேண்டாம்  
ꢦꢙꢾꢥꢴꢷ,पज॑ न्ही,பஜெ நீ:,paje'nhee,pajEnhI,pajĕnhī,pəd͡ʒen̪ɦiː,do not want,வேண்டாம்  
ꢦꢙꢾ,पज॑,பஜெ,paje',pajE,pajĕ,pəd͡ʒe,want,வேண்டும்  
