Unnamed: 4,Unnamed: 3,Unnamed: 2,7. Dress and Ornaments,Unnamed: 0
ꢂꢞ꣄ꢔꢾꢭ꣄,अड्ग॑ल,அட்3கெ3ல்,cholker,அட்டியல்
ꢒꢾꢣꢸꢬꣁ,क॑दुरा॑,கெது3ரொ,"hip ornament a close neck ornament,",அரைஞாண் 
ꢮꢱ꣄ꢡꢬ꣄,वस्तर्,வஸ்தர்,dress,ஆடை 
"ꢩꢹꢰꢸ, ꢱꣁꢪ꣄ꢪꢸ","भूसू, सा॑म्मु","பூ4ஷு, ஸொம்மு",ornament,ஆபரணம் 
ꢗꣁꢮ꣄ꢭꢶ,चा॑व्लि,சொவ்ளி,blouse,இரவிக்கை 
ꢧꢾꢭꢸ,फेलु,பே2லு,shirt,உடுப்பு 
ꢩꣁꢠ꣄ꢠꢪ꣄,भा॑ण्ण्म,பொ4ண்ணம்,ornament,உருப்படி 
ꢂꢥ꣄ꢡꢬ꣄ꢮꢵꢱ꣄,अन्तर्वास्,அந்தர்வாஸ்,inner garment,உள்ளாடை 
ꢏꢞ꣄ꢞꢶꢫꢠꢪ꣄,आ॑ड्डियणम्,ஒட்3டி3யணம்,waist ornament,ஒட்டியாணம் 
ꢂꢞꢸꢗꣁꢮ꣄ꢭꢶ,अडुचा॑व्लि,அடு3சொவ்ளி,bra (a cloth to cover the breast),கச்சை 
"ꢣꣁꢠꣁ, ꢘꢵꢱ꣄ꢪꣁ","दा॑णा॑, छास्मा॑","தொ3ணொ, சா2ஸ்மொ",spectacles /mirror,கண்ணாடி 
ꢓꢵꢡꢶ,खाति,கா2தி,khadi,கதர் 
ꢡꣃꢠꢞ꣄,तौणट,தௌணட்,ear studs,கம்மல் 
ꢡꢮ꣄ꢠꢣ꣄,तव्णड्,தவ்ணட்3,ear ring,காதோலை 
ꢒꢾꢖ꣄ꢔꢠ꣄,क॑ङगण्,கெங்க3ண்,broad bangle,காப்பு 
