ꢨꣁꢭꢵꢤꢶꢞꣁ,ब॑लाधिडा॑,பெ3ளாதி4டொ3,a kind of pane cake with daals,அடை  
ꢂꢜꣀ,अटै,அடை3,a kind of pane cake with daals,அடை  
ꢦꢸꢬꢶ,पुरि,புரி,a sweet   made out of rice flour,அதிரசம்  
ꢂꢦ꣄ꢦꢸꢞꢵꢭ꣄,अप्पुडाल्,அப்புடா3ல்,papad,அப்பளம்  
ꢂꢜ꣄ꢒꢸꢭ꣄,अट्कुल्,அட்குல்,flattened rice,அவல்  
ꢒꢫ꣄ꢫꢵꢥ꣄ ꢡꢾꢳ꣄ꢥꢶ,कय्यान्त॑ळ्नि,கய்லான்தெள்னி,a mixed vegetable preparation,அவியல்  
ꢒꢫ꣄ꢫꢵꢥ꣄ ꢡꢾꢳ꣄ꢥꢶ,,கய்லான்தெள்னி,a mixed vegetable preparation,அவியல்  
ꢂꢲꢵꢬ꣄,अहार्,அஹார்,food,ஆகாரம்  
ꢂꢦ꣄ꢦꢪ꣄,अप्पम्,அப்பம்,a dosa like preparation made out of rice flour,ஆப்பம்  
ꢩꢭꢵꢬ꣄,फ्लार्,ப2லார்,idly,இட்டிலி  
ꢮꢶꢳ꣄꣄ꢜꢶꢫꣁ,विळ्टिया॑,விள்டொ,idly,இட்டிலி  
ꢆꢒ꣄ꢒꢸꢜꢸꢪ꣄,उक्कुटुम्,விள்டியொ,idly,இட்டிலி  
ꢆꢒ꣄ꢒꢸꢜꢸꢪ꣄,उक्कुटुम्,உக்குடு3ம்,idly,இட்டிலி  
ꢄꢜꢶꢫꢵꢦ꣄ꢦꢪ꣄,इटियाप्पम्,இடியாப்பம்,noodles made out of rice flour,இடியாப்பம்  
ꢕꢜꢮ꣄ꢥꢭ꣄,घटव्नल्,க2வ்னல்,tender coconut,"செவ்விளநீர், பச்சை இளநீர்  "
ꢱꢮ꣄ꢥꢭ꣄,सव्नल्,ஸவ்னல்,tender coconut,"செவ்விளநீர், பச்சை இளநீர்  "
ꢗꣀꢥꣁ,चैना॑,சைனொ,meat,"இறைச்சி, மாமிசம் "
ꢨꣁꢱꢸꢭꣁ,बा॑सुला॑,பொ3ஸுலொ,meat,"இறைச்சி, மாமிசம் "
