"ꢂꢣꢿꢖ꣄ꢒꢦ꣄ꢦꢵ, ꢂꢪ꣄ꢪꢵꢞꢶ,       ꢂꢮ ꢂꢪ꣄ꢨꢵ","अडेङ्कप्पा, अम्माडि,       अव अम्बा",அடே3ங்கப்பா/ அம்மாடி3/        அவ அம்பா3,expression of wonder,அடடா  
"ꢡꢾꢭ꣄ꢫꢒ ꢲꢵꢭ꣄, ꢲꢵꢭꢶꢪ꣄","तेल्यक हाल, हालिम",தெல்யக ஹால்/ஹாலிம்,so,அதனால்  
ꢡꢿꢜ꣄ꢱꢵ,तेट्सा,தேட் ஸா,look there,அதோ  
ꢄꢱꣁꢫꢵ,इसा॑या,இஸொயா?,is it so?,அப்படியா?
ꢄꢱꣂꢪꢾꢥꢾꢡꢶ,इसा॑म॑न॑ति,இஸொமெனெதி,if it is so,அப்படியென்றால்  
ꢲꢵ,हा,ஹா,expression of pain,அப்பா  
ꢂꢦ꣄ꢦꢵꢜꢶ ,अप्पाटि,அப்பாடி,expression of wonder,அப்பாடி  
ꢂꢪ꣄ꢪꢵꢜꢷ,अप्पाटी,அப்பாடீ,expression of pain,அப்பாடீ  
ꢂꢪ꣄ꢪꢵꢜꢶ,अम्माटि,அம்மாடி,expression of pain,அம்மா  
ꢥꢴꢵ,न्हा,நா:,no,அல்ல  
ꢡꢾꢭ꣄ꢫꢒ ꢲꢵꢭ꣄,त॑ल्यक हाल,தெல்யக ஹால்,so,ஆகையால்  
ꢲꢵꢫ꣄,हाय्,ஹாய்,a response,ஆங்  
ꢲꢵꢫ꣄,हाय्,ஹாய்,yes,ஆமாம்  
"ꢲꣁꢫꢾꢡꢶ, ꢪꢾꢔꢶ","हा॑य॑ति, मेगि",ஹொயெதி/ மெகி3,but,ஆனால்  
ꢌꢭ꣄ꢫꢾꢒ ꢲꢵꢭ꣄,ए॑ल्य॑क हाल,எல்யெக ஹால்,hereby,இதனால்  
"ꢍꢜ꣄ꢱꢵ, ꢍꢭꢵ","एट्सा, एला",ஏட்ஸா/ ஏலா,look here,இதோ  
"ꢓꢳꢳꢿ, ꢤꢿꢬ꣄","खळ्ळे, धेर",க2ள்ளே/ தே4ர்,take this (non-hon.),இந்தா  
"ꢓꢳ꣄ꢳꢸꢮꣁ, ꢤꢾꢬꣁ, ꢤꢾꢬꢸꢮꣁ","खळ्ळुवा॑, ध॑रा॑, ध॑रुवा॑",க2ள்ளுவொ/ தெ4ரொ/தெ4ருவொ,take this (hon.),இந்தாருங்கள்  
ꢥꢴꢵ,न्हा,நா:,no,இல்லை  
ꢂꢖ꣄ꢔꢸꢥ꣄,अङ्गुन्,அங்கு3ன்,yet,இன்னும்  
"ꢂꢡ꣄ꢡꢾꢖ꣄ꢔꢸꢜ꣄, ꢂꢡꢧꢬꣁ","अत्त॑ङ्गुट्, अतफरा॑",அத்தெங்கு3ட்/ அதப2ரொ,hereafter,இனி  
ꢂꢡ꣄ꢡꢾꢖ꣄ꢔꢸꢜ꣄,अत्त॑ङ्गुट्,அத்தெங்கு3ட்,hereafter,இனிமேல்  
ꢂꢖ꣄ꢔꢸꢥ꣄,अङ्गुन्,அங்கு3ன்,still,இனியும்  
ꢆꢰ꣄,उष्,உஷ்,expression of caution,இஷ்  
ꢲꢵꢫ꣄ ꢲꢵꢫ꣄,हाय्हाय्,ஹாய்ஹாய்,yes,உம் உம்   
ꢒꢵꢫ꣄,काय्,காய்,response to a call,என்ன  
ꢡꢾꢭ꣄ꢫꢒ ꢭꢾꢥ꣄ꢡ,त॑ल्यक ल॑न्त,தெல்யக லெந்த,hence,எனவே  
"ꢍꢫ꣄, ꢬꢾ, ꢬꢿꢫ꣄","एय्, रे, रेय",ஏய்/ ரே/ ரேய்,term to call attention,ஏய்  
ꢎꢫꣂ,ऐयो,ஐயோ,expression of sorrow,ஐயோ  
ꢐ,ओ,ஓ,expression of wonder,ஓ  
"ꢲꢵꢫ꣄, ꢲꣂꢥ꣄ꢣꢒ꣄","हाय्, होन्दक्",ஹாய்/ஹோந்த3க்,expression of approval,ஓகோ  
ꢲꣂꢫ꣄,होय्,ஹோய்,term to call attention,ஓய்  
ꢘꢷꢗ꣄ꢘꢷ,छीच्छी,சீ2ச்சீ2,expression of contempt,சீச்சீ  
"ꢮꢵ, ꢂꢮꢵ","वा, अवा",வா/ அவா,address term for inferior faminine (singular),டி  
ꢬꢿꢫ꣄,रेय्,ரேய்,address term for inferior masculine (singular),டேய்  
ꢢꢸꢡ꣄ꢡꢹ,थुत्तु,தூ2த்தூ,expression of contempt,தூ  
ꢦꢵꢦ꣄,पाप्,பாப்,expression of sympathy,பாவம்  
ꢇꢲꢹꢄ~ ,ऊहूइ~,ஊஹூ~,no,ம்ஹூம்  
"ꢧꢶꢮ꣄ꢬꢶ, ꢧꢶꢮ꣄ꢬꢶ","फिव्रि, फिव्रि",பி2ர்வி பி2ர்வி/ ,again and again,மேல்மேலும்  
"ꢡꢾꢒ ꢧꢬꢵꢡ꣄, ꢂꢖ꣄ꢔꢸꢥ꣄","त॑कफरात्, अङ्गुन",தெகப2ராத்/ அங்கு3ன்,moreover,மேலும்  
ꢲꣀꢫꢵ,हैया,ஹையா,expression of joy,ஹையா  
