ꢂꢪ꣄ꢪꣁ,अम्मा॑,அம்மொ,chickenpox,அம்மை  
"ꢓꢮ꣄ꢙꢵꢮ꣄, ꢓꢵꢱ꣄","खव्जाव, खास",க2வ்ஜாவ்/கா2ஸ்,itching,அரிப்பு  
ꢗꢶꢥꢲꢸ,चिनहु,சின்ஹு,sign,அறிகுறி  
ꢧꢜꢶꢥꢶ,फटिनि,ப2டினி,operation,அறுவை  
ꢂꢙꢷꢬ꣄ꢥꢸ,अजीर्णु,அஜீர்ணு,indigestion,அஜீரணம்  
ꢱꣃꢒ꣄ꢫꢪ꣄,सौक्यम्,ஸௌக்யம்,health,ஆரோக்கியம்  
"ꢂꢱ꣄ꢦꢡ꣄ꢡꢶꢬꢶ, ꢃꢱꢸ ꢩꢣ꣄ꢬꢶ","अस्पत्तिरि,   आसु भद्रि",அஸ்பத்திரி/      ஆஸு ப4த்3ரி,hospital,ஆஸ்பத்திரி  
ꢓꣁꢮ꣄ꢭꣁ,खा॑व्ला॑,கொ2வ்லொ,cough,இருமல்  
ꢱꢮ꣄ꢬꢶꢫꢪ꣄,सव्रियम्,ஸௌரியம்,health,உடல் நலம்   
"ꢒꢾꢠ꣄ꢜꢵꢦꢷꢭ꣄, ꢄꢥ꣄ꢒꢶꢥꢶ","क॑ण्टापील्, इन्किनि","கெண்டாபீள், இண்கினி",sprain,சுளுக்கு  
"ꢓꢵꢱ꣄, ꢩꢸꢬꢸꢩꢸꢬꢵꢭ꣄","खास्, भुरुभुराल",கா2ஸ்/பு4ருபு4ரால்,itching,ஊரல்  
ꢦꢬꢸꢒꢾꢬ꣄ꢥꢶ,परुक॑र्नि,பருகெர்னி,reaction,எதிர்விளைவு  
ꢙꢵꢳ꣄,जाळ,ஜாள்,burning ,எரிச்சல்  
ꢲꢜ꣄ꢒꣁ ꢪꢸꢞꢶꢥꢶ,हट्का॑ मुडिनि,ஹட்கொ முடி3னி,fracture,எலும்பு முறிவு   
"ꢲꣁꢥꢵꢱ꣄ꢡꢾ, ꢗꢾꢬ꣄ꢥꢵꢱ꣄ꢡꢾ, ꢤꢾꢬ꣄ꢥꢵꢱ꣄ꢡꢾ","होनास्ते, च॑र्नास्ते, ध॑र्नास्ते",ஹோனாஸ்தே/ செர்னாஸ்தே/ தெ4ர்னாஸ்தே,allergy,ஒவ்வாமை
"ꢮꢪꢶ, ꢏꢔꢬꢶ, ꢮꢵꢥ꣄ꢣꢶ","वमि, आ॑गरि, वान्दि",வமி/ஒக3ரி/வாந்தி3,vomitting,கக்கல்  
ꢬꢾꢔꢡ꣄ ꢔꢾꢳ꣄꣄ꢥꢶ,र॑गत ग॑ळ्नि,ரெக3த் கெ3ள்னி,bleeding,ரத்தகசிவு  
ꢣꣁꢳꢵ ꢣꢸꢮ꣄ꢥꣁ,दोळा दुव्नो,தொ3ளா து3வ்னொ,pink-eye,கண்வலி  
ꢔꢾꢬꢳ꣄,गेरळ,கெ3ரள்,phlegm,கபம்  
ꢔꢬ꣄ꢩꢸ ꢲꢵꢥꢶ,गर्भु हानि,க3ர்பு4 ஹானி,abortion,கருச்சிதைப்பு  
ꢔꢬ꣄ꢩꢸ ꢥꢶꢬꣁꢣ꣄,गर्भु निरोद,க3ர்பு4நிரோத்3,contraception,கருத்தடை  
ꢭꢮꢥ꣄ ꢲꣁꢔꢡ꣄,लवन हा॑गत्,லவன்ஹொக3த்,ointment,களிம்பு  
ꢱꢷꢥ꣄,सीन्,ஸீன்,fatigue,களைப்பு  
ꢲꢜ꣄ꢒꣂ ꢡꢶꢙꢫ꣄ꢥꢶ,हट्का॑ तिजय्नि,ஹட்கொதி3ஜய்னி,tuberculosis,காசநோய்  
ꢒꢵꢥꢸ꣄ ꢣꢸꢮ꣄ꢥꣁ,कानु दुव्ना॑,கானுது3வ்னொ,ear ache,காதுவலி  
ꢒꢪꢵꢭ꣄,कमाल्,கமால்,jaundice,காமாலை  
"ꢃꢖ꣄ꢔꢸ ꢲꢸꢥ꣄ꢥꣁ, ꢡꢵꢦ꣄","आङगु हुन्ना॑, ताप",ஆங்கு3ஹுன்னொ/தாப்,fever,காய்ச்சல்  
ꢦꢵꢄ~  ꢃꢠꢶ,पाइ~ आणि,பாஇ~ஆணி,corns,காலாணி  
ꢒꢺꢪꢶ ꢥꢵꢱꢶꢥꢶ,कृमि नासिनि,க்ருமிநாஸினி,anti septic,கிருமிநாசினி  
ꢦꢶꢱꣁ,पिसा॑,பிஸொ,lunacy,கிறுக்கு  
ꢂꢥ꣄ꢡ꣄ꢬꢵꢪꢸ ꢓꢙ꣄ꢙꢸ,अन्त्रामु खज्जु,அந்த்ராமுக2ஜ்ஜு,ulcer,குடற்புண்  
"ꢮꢵꢪꢶ, ꢏꢔꢬꢶ","वामि, आ॑गरि",வாமி/ஒக3ரி,nausea,குமட்டல்  
ꢔꣁꢳꢶ,गा॑ळि,கொ3ளி,"tablet, pill",குளிகை  
ꢦꢷꢦ꣄,पीप्,பீப்,puss,"சலம், சீழ்    "
ꢦꣁꢜ꣄ꢱꢾ,पा॑ट्स॑,பொட்ஸெ,cold,சளி  
ꢱꢶꢒꢶꢡ꣄ꢱꣁ,चिकित्सा॑,சிகித்ஸொ,treatment,சிகிச்சை  
ꢓꢙ꣄ꢙꢸ,खज्जु,க2ஜ்ஜு,scabies,சிரங்கு  
ꢣꢾꢮꢶ,द॑वि,தெ3வி,small pox,சின்னம்மை  
ꢪꢭꢦ꣄ꢬꢮꢵꢲꢪ꣄,मलप्रवाहम्,மலப்ரவாஹம்,dysentery,சீதபேதி  
ꢦꢷꢦꢸ ꢔꢾꢞ꣄ꢞꣁ,पीपु ग॑ड्डा॑,பீபு கெ3ட்3டொ3,abscess,சீழ்க்கட்டி  
