ꢒꣂꢜ꣄,कोट्,கோட்,where,எங்கே  
ꢒꢶꢡ꣄ꢒ,कित्क,கித்க,how many,எத்தனை  
"ꢒꢶꢡ꣄ꢒꢫꣁ, ꢒꣂꢥ꣄","कित्कया॑, कोन",கித்கயொ/ கோன்,how manieth,எத்தனையாவது  
"ꢒꢶꢱꣁ, ꢒꣂꢥꢒ꣄","किसा॑, कोनक",கிஸொ/கோனக்,how,எப்படி  
"ꢒꢶꢱꢵꢫꣁ (ꢌꢒꢮꢗꢥ꣄), ꢒꢶꢱꢵꢫꢾ (ꢦꢲꢹꢮꢗꢥ꣄)",किसाया॑(एकवचन) किसाय॑ (पहुवचन),கிஸாயொ(ஏகவசன்)கிஸாயெ (பஹுவசன்),what type of,எப்படிப்பட்ட  
ꢓꣁꢨ꣄ꢨꣁ,खा॑ब्बा॑,கொ2ப்3பொ3,when,எப்போது  
ꢒꢶꢱꣁ,किसा॑,கிஸொ,how,எவ்வண்ணம்  
ꢒꢶꢱꣁ,किसा॑,கிஸொ,what way,எவ்வாறு  
ꢒꣁꢥ꣄ ꢣꢶꢥ꣄ꢥꢸ,कोन दिन्नु,கோன் தி3ன்னு,which day,என்று  
"ꢒꢵꢫ꣄, ꢒꢵꢫꣁ","काय, काया॑",காய்/காயொ,what,என்ன  
"ꢒꣂꢥꢾ, ꢒꣂꢥ꣄ꢫꢾ","कोन॑, कोन्य॑",கோனெ/கோன்யெ,what,எந்த  
