ꢂꢮ꣄ꢒꣁ,हव्का॑,ஹவ்கொ,laddle,அகப்பை  
ꢩꢮ꣄ꢥꢱ꣄,भव्नस्,ப4வ்னஸ்,kitchen,அடுக்களை  
ꢩꢮ꣄ꢥꢱ꣄,भव्नस्,ப4வ்னஸ்,hearth,அடுப்பங்கரை  
ꢗꢸꢭ꣄ꢭꣁ,चुल्ला॑,சுல்லொ,oven,அடுப்பு  
ꢚꢫ꣄ꢥꣁ,झय्ना॑,ஜ2ய்னொ,lid,அடைப்பு  
ꢂꢠ꣄ꢞꣁ,हण्डा॑,ஹண்டொ3,big copper vessel for storing water,அண்டா  
ꢂꢦ꣄ꢦꢸꢞꢵꢭꢸ ꢣꢾꢫ꣄ꢞꣁ,अप्पुडालु द॑य्डा॑,அப்புடா3லு தெ3ய்டொ3,a stone or wooden plank to prepare papad,அப்பளக் கல்   
ꢂꢦ꣄ꢦꢸꢞꢵꢭꢸ ꢒꢾꢜ꣄ꢜꢾ,अप्पुडालु क॑ट्ट॑,அப்புடா3லு கெட்டெ,a rolar to prepare papad,அப்பளக் குழவி   
ꢦꢜꣁ,पटा॑,படொ,crushing stone,அம்மி  
ꢮꢳꢶ,विळि,விளி,a vertical knife to cut vegetables,அரிவாள் மணை   
ꢲꣁꢔꢭ꣄,होगल्,ஹொக3ள்,grinding stone,ஆட்டுக்கல்  
ꢮꢵꢦ꣄,वाप्,வாப்,steam,ஆவி  
ꢧꢭꢵꢬꢸ ꢲꢠ꣄ꢞꣁ,फलारु हण्डा॑,ப2லாரு ஹண்டொ3,a vessal to (steam) prepare idli,"இட்டலிக் குட்டுவம், கொப்பறை   "
ꢧꢭꢵꢬꢸ ꢡꢾꢜ꣄ꢜꣁ,फलारु त॑ट्टा॑,ப2லாருதெட்டொ,a plate like vessal to prepare idli,இட்டலித் தட்டு   
ꢄꢜ꣄ꢒꢶ,इट्कि,இட்கி,tongs,இடுக்கி  
ꢭꢴꣁꢒꢠꢸ ꢦꣁꢳꣁ,ल्हा॑गणु पा॑ळा॑,லொ:க3ணு பொளொ,iron laddle,இரும்புக் கரண்டி   
ꢭꢴꣁꢒꢠꢸ ꢪꢸꢱꢳ꣄,ल्हा॑गणुमुसळ्,லொ:க3ணுமுஸள்,iron pestle,இரும்புலக்கை  
ꢪꢸꢗꢭ꣄,मुचल्,முஸள்,pestle,உலக்கை  
ꢱꢶꢒꣁ,सिका॑,ஸிகொ,pot hanger,உறி  
ꢮꢶꢱ꣄ꢡꢮ꣄,विस्तव्,விஸ்தவ்,cinder,கங்கு  
ꢦꣁꢳꣁ,पा॑ळा॑,பொளொ,Sieve laddle,கண் அகப்பை
ꢦꢸꢜ꣄ꢜꢭ꣄ꢭꢸ ꢲꢮ꣄ꢒꣁ,पुट्टल्लु हव्का॑,புட்டலு ஹவ்கொ,sieve laddle,கண்ணுக்கரண்டி   
ꢂꢥꢭ꣄,अनल्,அனல்,cinder,கணல்  
ꢦꣁꢳꢶ,पा॑ळि,பொளி,spoon,கரண்டி  
ꢓꣁꢳ꣄꣄ꢗꢾ,खा॑ळ्च॑,கொ2ள்செ,soot,கரி  
ꢡꣁꢮ꣄ꢭꢶ,ता॑व्लि,தொவ்லி,earthern pot,கலம்  
ꢣꢾꢔꢸꢞꢵ  ꢲꢠ꣄ꢞꢶ,द॑गुडा हण्डि,தெ3கு3டா3 ஹண்டி3,stone pot,கற்சட்டி  
ꢒꣀꢭꢒꢾꢱꢸꢬꢸ ꢓꣁꢮ꣄ꢞꢶ,कैलक॑सुरु खोव्डि,கைலகெஸுரு கொ2வ்டி3,vegetable basket,காய்கறித் தட்டு   
ꢦꢶꢖ꣄ꢔꢠꢶ,पिङगणि,பிங்க3ணி,a bowl,கிண்ணம்  
ꢡꢪ꣄ꢨꢸꢬꢪꢸ ꢩꣁꢥ꣄ꢥꣁ,तम्बुरमु भा॑न्ना॑,தம்பு3ரமு பொ4ன்னொ,a copper vessal for storing water,தாமிர பானை
ꢗꢶꢦ꣄ꢦꣁ,चिप्पा॑,சிப்பொ,coconut shell,கொட்டாங்கச்சி  
ꢓꣁꢭ꣄ꢗꢵꢗꢸꢭ꣄ꢭꣁ,खोल्चा चुल्ला॑,கொ2ள்சாசுல்லொ,side oven,கொடியடுப்பு  
ꢒꣁꢜ꣄ꢦꣀ ꢗꢸꢭ꣄ꢭꣁ,का॑ट्पै चुल्ला॑,கொட்பை சுல்லொ,side oven,கொடியடுப்பு  
ꢒꣀꢔꢶ,गैटि,கை3டி3,a vessel (earthern),சட்டி  
ꢤꢶꢞ ꢲꢵꢡ꣄,धिडा हात,தி4டா3ஹாத்,dosai laddle,தோசைக்கரண்டி
ꢣꢾꢱꢾ,द॑स॑,தெ3ஸெ,a metal vessel,சருவம்  
ꢙꢾꢭ꣄ꢭꢜ꣄,ज॑ल्लट्,ஜெல்லட்,sieve,சல்லடை  
ꢬꢵꢒ꣄,राक्,ராக்,ash,சாம்பல்
ꢥꢭꢾꢬ꣄ ꢗꢶꢦ꣄ꢦꣁ,नळ॑र्चिप्पा॑,நளெர் சிப்பொ,Coconut shell,சிரட்டை
ꢗꢶꢦ꣄ꢦꣁ ꢲꢮ꣄ꢒꣁ,चिप्पा हव्का॑,சிப்பா ஹவ்கொ,a laddle made of coconut shell,சிரட்டையகப்பை  
ꢩꢸꢛ꣄ꢙꢸꢥꢵ ꢲꢠ꣄ꢞꢶ,भुञ्जुना हण्डि,பு4ஞ்ஜுனாஹண்டி3,frying pan,சீனிச்சட்டி  
ꢱꢸꢞꣁ,सुडा॑,ஸுடொ3,"winnow (to sift grain), ",சுளகு /முறம்
ꢱꢸꢦ꣄ꢞꣁ,सुप्डा॑,ஸுப்டொ3,"winnow (to sift grain), ",சுளகு /முறம்
ꢩꢖ꣄ꢔꢸꢞꢮ꣄,फङ्गुडाव,ப2ங்கு3டா3வ்,"winnow (to sift grain), ",சுளகு /முறம்
ꢜꢦ꣄ꢦꣁ,टप्पा॑,ட3ப்பொ,"tin, ",டப்பா  
ꢡꢾꢜ꣄ꢜꣁ,त॑ट्टा॑,தெட்டொ,plate,தட்டம் / தட்டு  
ꢲꢬ꣄ꢮꢶ,हर्वि,ஹர்வி,plate,தட்டம் / தட்டு  
ꢒꣁꢜꢸꢪ꣄,का॑टुम्,கொடு3ம்,,
ꢗꢒꢶ,चकि,சகி,dry grinder (stone),திரிகைக் கல்  
ꢲꢸꢳꣁ,हुळा॑,ஹுளொ,fire,தீ  
ꢮꢶꢱ꣄ꢡꢮ꣄,विस्तव,விஸ்தவ்,fire,தீ  
ꢮꢶꢖ꣄ꢒꢳ꣄,विङ्कळ,விங்கள்,fire,தீ  
ꢡꢶꢮꢵꢦꢾꢜꢶ,तिवाप॑टि,தி3வாபெடி,match box,தீப்பெட்டி  
ꢗꢸꢳꢸꢥ꣄ꢣꢸ,चुळुन्दु,சுளுந்து3,spark of fire,தீப்பொறி  
ꢪꣁꢡ꣄ꢡꢸ,मा॑त्तु,மொத்து,wooden pestle for stiring,மத்து
ꢥꢬꢳꢸ ꢡꢸꢬ꣄ꢒꣁ,नरळु तुर्का॑,நரளுதுர்கொ,coconut grater,தேங்காய்த் துருவி   
ꢤꢶꢞꢵ ꢲꢠ꣄ꢞꢶ,धिडा हण्डि,தி4டா3ஹண்டி3,pan to make dosa,தோசைக்கல்  
ꢦꢥꢶ ꢮꢵꢦ꣄,पनिवाप्,பனிவாப்,"steam, ",நீராவி  
ꢲꢸꢳꣁ,हुळा॑,ஹுளொ,fire,நெருப்பு  
ꢡꢶꢮꢵꢦꢾꢜꢶ,तिवाप॑टि,தி3வாபெடி,match box,நெருப்புப் பெட்டி   
ꢒꢸꢳꢶ ꢲꢠ꣄ꢞꢶ,कुळि हण्डि,குளி ஹண்டி3,an iron pan to prepare a tiffin,பணியாரச் சட்டி   
ꢩꣁꢬꢠꢶ,भा॑रणि,பொ4ரணி,jar,பரணி  
ꢦꣁꢳꢳꢵ ꢧꢸꢜ꣄ꢒꢶ,पा॑ळ्ळा फुट्कि,பொள்ளாபு2ட்கி,fruit basket,பழக்கூடை  
ꢦꢵꢡ꣄ꢬꣁ,पात्रा॑,பாத்ரொ,vessel,பாத்திரம்  
ꢤꢹꢪ꣄,धूम्,தூ4ம்,smoke,புகை  
ꢭꢪ꣄ꢨꢸ ꢦꢸꢜ꣄ꢜꢶ,लम्बु पुट्टु,லம்பு3 புட்டு,vessel for making puttu,புட்டுக்குழல்  
ꢘꢸꢬꢶ,छुरि,சு2ரி,pen knife,பேனாக் கத்தி   
ꢔꢸꢱꢸꢭꢡ꣄ꢡꢾ ꢪꣁꢡ꣄ꢡꢸ,गुसुलत्त॑ मा॑त्तु,கு3சுலத்தெ மொத்து,Churning rod,மத்து
ꢒꢾꢜ꣄ꢜꢾ ꢦꢵꢡ꣄ꢬꣁ,क॑ट्ट॑ पात्रा॑,கெட்டெ பாத்ரொ,wooden vessel,மரவை  
ꢡꢾꢥ꣄ꢡꢸꢭꢵ ꢦꢶꢳ꣄ꢥꢵꢮ꣄,त॑न्तुला पिळ्नाव्,தெந்துலா பிள்னாவ்,a vessel for preparing murukku,முறுக்கு உழக்கு    
ꢙꢒꢸꢥꣁ,जकुना॑,ஜகுனொ,lid,மூடி
ꢦꢾꢭꣁ,पा॑ला॑,பெலொ,tumbler,டம்ளர்
ꢨꣂꢥꢶ,बोनि,போ3னி,tumbler,டம்ளர்
ꢨꣂꢥꢶ,बोनि,,tumbler,டம்ளர்
ꢙꢾꢭ꣄ꢭꢜ꣄,ज॑ल्लट,ஜெல்லட்,strainer,வடிகட்டி  
