ꢂꢠ꣄ꢗꢸ ꢮꢔꢡꢶ,अण्चुव गति,அண்சுவ க3தி,suppression,அடக்குமுறை  
ꢂꢥ꣄ꢫꢵꢮ꣄,अन्याव,அந்யாவ்,injustice,அநியாயம்  
ꢂꢒ꣄ꢬꢪꣁ,अक्रमा॑,அக்ரமொ,injustice,அநியாயம்  
ꢂꢞꢡ꣄,अडात,அடா3த்,injustice,அநியாயம்  
ꢂꢞꢵꢡ꣄,अडात,அடா3த்,injustice,அநீதி  
ꢂꢥ꣄ꢫꢵꢮ꣄,अन्याव,அந்யாவ்,injustice,அநீதி  
ꢃꢥꢷꢞꢶ,अनीदि,அநீதி3,injustice,அநீதி  
ꢂꢦꢬꢵꢤ꣄,अपराध,அப்ராத்4,fine,அபராதம்  
ꢂꢪꢭ꣄,अमल्,அமல்,"in force, implement",அமல்  
ꢦꢬꢶꢦꢵꢭꢥꣁ,परिपालना॑,பரிபாலனொ,"in force, implement",அமல்  
ꢬꢾꢗ꣄ꢗꢒꢹꢡ꣄,र॑च्चकूत,ரெச்சகூத்,pandemonium,அமளி  
ꢂꢬꢵꢙꢒꢡꣁ,अराजकता॑,அராஜகதொ,pandemonium,அமளி  
ꢂꢭꢲꣁ,कलहा॑,கலஹொ,pandemonium,அமளி  
ꢃꢙ꣄ꢛꣁ,आझञो,ஆஜ்ஞொ,order,ஆணை/ உத்தரவு/கட்டளை
ꢆꢡ꣄ꢡꢬ꣄,उत्तर,உத்தர்,order,ஆணை/ உத்தரவு/கட்டளை
ꢃꢙ꣄ꢛꢵꢒꢵꢬ꣄,आजञाकार,ஆஜ்ஞாகார்,commissioner,ஆணையர்  
ꢂꢤꢵꢬ꣄,अधार्,அதா4ர்,evidence,ஆதாரம்  
ꢬꢸꢙꢸ,रुजु,ருஜு,evidence,ஆதாரம்  
