ꢤꢬ꣄ꢪ ꢦꢸꢱ꣄ꢡꢮ꣄,धर्म पुस्तव,த4ர்ம புஸ்தவ்,moral literature,அறநூல்  
ꢤꢬ꣄ꢪꣁ,धर्मा॑,த4ர்மொ,moral,அறம்  
ꢱꢸꢮꢡ꣄ꢡꢵꢥ꣄,सुवत्तान,ஸுவத்தான்,moral sayings,அறவுரைகள்  
ꢥꢷꢡꢶ ꢆꢒ꣄ꢡꢶꢥ꣄,नीति  उक्तिन,நீதி உக்தின்,moral sayings,அறவுரைகள்  
ꢗꣁꢒ꣄ ꢮꢵꢗꢸꢥ꣄,चा॑क्वाचुन,சொக்வாசுன்,moral sayings,அறவுரைகள்  
ꢤꢾꢬꢸꢪꢸ ꢮꢡ꣄ꢡꢵꢥ꣄,ध॑रुमु वत्तान,தெ4ருமு வத்தான்,moral sayings,அறவுரைகள்  
ꢲꢶꢡ ꢮꢵꢗꢸꢥ꣄,हित वाचुन,ஹித வாசுன்,moral sayings,அறவுரைகள்  
ꢄꢡꢶꢲꢵꢱ꣄,इतिहास,இதிஹாஸ்,epic,இதிகாசம்  
ꢱꢛ꣄ꢗꢭꢥꣁ,सञ्चलना॑,ஸஞ்சலனொ,movement,இயக்கம்  
ꢂꢤ꣄ꢫꢵꢫ꣄,अध्याय,அத்4யாய்,chapter,இயல்  
ꢕꢾꢬꢸ ꢤꢾꢬꢸꢪ꣄,घेरु ध॑रुम,கே4ரு தெ4ரும்,family life,இல்லறம்  
ꢱꢵꢲꢶꢡ꣄ꢫꢱꢵꢱ꣄ꢡꢬ꣄,साहिय सास्तर,ஸாஹித்ய ஸாஸ்தர்,literary theory,இலக்கியக் கொள்கை   
ꢂꢭꢖ꣄ꢒꢵꢬꢸ ꢱꢵꢱ꣄ꢡꢬ꣄,अलङ्कारु सास्तर,அலங்காரு ஸாஸ்தர்,literary theory,இலக்கியக் கொள்கை   
ꢱꢵꢲꢶꢡ꣄ꢫꢸ,साहित्यु,ஸாஹித்யு,literature,இலக்கியம்  
ꢦ꣄ꢬꢾꢮ꣄,प्रेव,ப்ரேவ்,love,இன்பம்  
ꢦ꣄ꢬꢾꢪꣁ,प्रेमा॑,ப்ரேமொ,love,இன்பம்  
ꢱꢾꢬ ꢤꢪꢶꢥꢶ,स॑र धमिनि,ஸெரத4மினி,elopement,உடன் போக்கு   
ꢱꢲ ꢦꢭꢵꢫꢥꣁ,सह पलायना॑,ஸஹபலாயனொ,elopement,உடன் போக்கு   
ꢱꢲ ꢔꢪꢥꣁ,सह गमना॑,ஸஹக3மனொ,elopement,உடன் போக்கு   
ꢮ꣄ꢫꢵꢓ꣄ꢫꢵꢥ꣄,व्याख्यान,வ்யாக்2யான்,commentary,உரை  
ꢮꢗꢥ ꢱꣀꢭꢶ,वचन सैलि,வசன ஸைலி,prose style,உரை நடை   
ꢔꢣ꣄ꢫꣁ,गद्या॑,க3த்3யொ,prose style,உரை நடை   
ꢡꢵꢞꢶꢦꢵꢥꢸꢥ꣄,ताडिपानुन,தாடி3பானுன்,palm leaf manuscript,ஏடுகள்  
ꢮꢶꢫꢵꢱ꣄,वियास,வியாஸ்,essay,கட்டுரை  
ꢣꢾꢮꢸ ꢱ꣄ꢡꢶꢡꢶ,देवु स्तिति,தே3வுஸ்துதி,invocation,கடவுள் வாழ்த்து   
ꢱꢶꢣ꣄ꢣꢵꢥ꣄ꢤꢸ ꢱꢣꢱ꣄,सिद्दान्धु सदस,ஸித்3தா3ந்து4 ஸத3ஸ்,seminar,கருத்தரங்கம்  
ꢒꢮꢶ,कवि,கவி,poet,கவிஞர்  
ꢒꢮꢶꢡꣁ,कवितो,கவிதொ,poem,கவிதை  
ꢗꢖ꣄ꢔꢪ꣄,चङगम्,ஸங்க3ம்,academy,கழகம்  
ꢪꢠ꣄ꢞꢭ꣄,मण्डल,மண்ட3ல்,academy,கழகம்  
ꢦ꣄ꢬꢾꢮꢸ ꢙꢶꢮ꣄ꢥꢪ꣄,प्रेवु जिव्नम,ப்ரேவு ஜிவ்னம்,love life,களவு வாழ்க்கை   
ꢤꢾꢬꢸꢪꢸ ꢙꢶꢮ꣄ꢥꢪ꣄,धेरुमु जिव्नम,தெ4ருமு ஜிவ்னம்,chaste life,கற்பு வாழ்க்கை   
ꢂꢤ꣄ꢫꢵꢫꢸ,अध्यायु,அத்4யாயு,section,காதை  
ꢱꢬ꣄ꢔꢸ,सर्गु,ஸர்கு3,section,காதை  
ꢪꢲꢵꢒꢵꢮ꣄ꢫꢸ,महाकाव्यु,மஹாகாவ்யு,epic,காப்பியம்  
ꢦꢶꢬꢵꢪꣁ,पिरामा॑,பிராமொ,love,காமம்  
ꢄꢗ꣄ꢗꣁ,इच्चा॑,இச்சொ,love,காமம்  
ꢃꢱ꣄ꢡꣁ,आस्ता॑,ஆஸ்தொ,love,காமம்  
ꢦꢬꢷꢡꢶ,पिरीति,பிரீதி,love,காமம்  
ꢒꢵꢪꣁ,कामा॑,காமொ,love,காமம்  
ꢦꣁꢮꢱꢸ ꢒꢵꢭ꣄,पा॑व्सु काल,பொவ்ஸு கால்,rainy season,கார்காலம்  
ꢍꢱꢸ ꢮꢵꢜ꣄,एसुवाट्,ஏஸு வாட்,Christianity,கிருஸ்த்துவம்  
ꢥꢵꢫꢒꢶ,नायकि,நாயகி,heroine,கிழத்தி  
ꢥꢵꢫꢒꣁ,नायका॑,நாயகொ,"leader, hero",கிழவன்  
ꢱꢶꢱꢸꢱꢵꢄꢡ꣄ꢫꢸ,सिसुसाहित्यु,ஸிஸுஸாஹித்யு,children literature,குழந்தை இலக்கியம்   
ꢦꣁꢱ꣄ꢪꢾ,पा॑स्म॑,பொஸ்மெ,foretelling,குறி  
ꢲꢾꢱ꣄ꢫꢪ꣄,हेस्यम,ஹேஸ்யம்,foretelling,குறி  
ꢥꢵꢗꢸꢮꢵꢥ꣄,नाचुवान,நாசுவான்,dancers,கூத்தர்  
ꢥꢵꢗꢸ,नाचु,நாசு,dance,கூத்து  
ꢱꢶꢳ꣄ꢳꢵ ꢒꢵꢭ꣄,सिळ्ळा काल,ஸிள்ளாகால்,winter season,கூதிர்காலம்  
ꢲꢶꢪꢳꣁ,हिमळा॑,ஹிமளொ,winter season,கூதிர்காலம்  
