ꢙꢾꢭ꣄ꢪꢶꢥ꣄,ज॑ल्मिन,ஜெல்மின்,aluminium,அலுமினியம்  
ꢭꢴꣁꢔꢠ꣄,ल्हा॑गण्,லொ:க3ண்,iron,இரும்பு  / உருக்கு  
ꢒꢾꢱ꣄ꢡꢸꢭ꣄,क॑स्तुल्,கெஸ்துல்,lead,"ஈயம், காரீயம் "
ꢭꣂꢲꢸ,लोहु,லோஹு,metal,உலோகம்  
ꢦꢛ꣄ꢗꢭꣂꢲꢸ,पञ्चलोहु,பஞ்சலோஹு,"an alloy of iron, gold, silver, brass and copper",ஐம்பொன் பஞ்சலோகம்  
"ꢂꢣ꣄ꢣꢪ꣄, ꢲꢦꢵꢥ꣄, ꢣꢮ꣄ꢥꣁ, ꢪꢸꢒ꣄ꢬꣁ","अद्दम्, हपाळ, दव्ना॑, मुक्रा॑",அத்3த3ம்/ஹபாள்/ த3வ்னொ/முக்ரொ,glass,கண்ணாடி  
ꢔꢵꢥ꣄ꢡꢪ꣄,गान्तम्,கா3ந்தம்,magnet,காந்தம்  
"ꢡꢪ꣄ꢨꢾ, ꢡꢪ꣄ꢨꢸꢬꢪ꣄","तम्ब॑, तम्बुरम्",தம்பெ3/தம்பு3ரம்,copper,செம்பு  
"ꢡꢭ꣄, ꢡꢾꢒꢜ꣄","तव, त॑कट्",தவ்/தெக3ட்,tin,தகரம்  
"ꢱꣁꢥ꣄ꢥꣁ, ꢱꣁꢬ꣄ꢠꢸ, ꢂꢦ꣄ꢬꢛ꣄ꢙꢶ","सा॑न्ना॑, सा॑र्णु, अप्रञ्जि",ஸொன்னொ/ ஸொர்ணு/அப்ரஞ்ஜி,gold,தங்கம்  
ꢡꢸꢡ꣄ꢡꢥꢵꢔ꣄,तुत्तनाग,துத்தநாக்3,zinc,துத்தநாகம்  
ꢥꢵꢔ꣄,नाग,நாக்3,zinc,நாகம்  
ꢭꢷꢡꢸ,लीतु,லீது,brass,பித்தளை  
ꢒꢱꣁ,कसा॑,கஸொ,bronze,வெண்கலம்  
ꢬꢸꢦ꣄ꢦꣁ,रुप्पा॑,ருப்பொ,silver,வெள்ளி  
