Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢗꣀꢡ꣄ꢬꣁ,चैत्रा॑,சைத்ரொ,chaitro',caitrO,caitrŏ,t͡ʃəɪt̪ɾo,April-May,சித்திரை  
ꢮꣀꢱꢵꢒ꣄,वैसाक,வைஸாக்,vaisaak,vaisAk,vaisāk,ʋəɪs̪ɑːk,May-June,வைகாசி  
ꢙꣂꢰ꣄ꢜꣁ,जोष्टा॑,ஜேஷ்டொ,josht'o',joSTO,joṣṭŏ,d͡ʒoːʂʈo,June-July,ஆனி  
ꢃꢰꢵꢞꣁ,आषाडा॑,ஆஷாடொ3,aashaad'o',ASADO,āṣāḍŏ,ɑːʂɑːɖo,July-August,ஆடி  
ꢱ꣄ꢬꢵꢮꢠꣁ,स्रावणा॑,ஸ்ராவணொ,sraavano',srAvaNO,srāvaṇŏ,s̪ɾɑːʋəɳo,August-September,ஆவணி  
ꢩꢵꢣ꣄ꢬꢦꢣꣁ,भाद्रपदा॑,பா4த்3ரபதொ3,bhaadrapado',bhAdrapadO,bhādrapadŏ,bʰɑːd̪ɾəpəd̪o,September-October,புரட்டாசி  
ꢃꢱ꣄ꢮꢷꢙꣁ,आस्वीजा॑,ஆஸ்வீஜொ,aasveejo',AsvIjO,āsvījŏ,ɑːs̪ʋiːd͡ʒo,October-November,ஐப்பசி  
ꢒꢵꢬ꣄ꢡꢶꢒꣁ,कार्तिका॑,கார்திகொ,kaartiko',kArtikO,kārtikŏ,kɑːɾt̪ɪko,November-December,கார்த்திகை  
ꢪꢵꢬ꣄ꢔꢱꢷꢬ꣄ꢱꣁ,मार्गसीर्सा॑,மார்க3ஸீர்ஸொ,maargaseerso',mArgasIrsO,mārgasīrsŏ,mɑːɾgəs̪iːɾs̪o,December-January,மார்கழி  
ꢦꢸꢰ꣄ꢫꣁ,पुष्या॑,புஷ்யொ,pushyo',puSyO,puṣyŏ,puʂjo,January-February,தை  
ꢪꢵꢕꣁ,माघा॑,மாகொ4,maagho',mAghO,māghŏ,mɑːgʰo,February-March,மாசி  
ꢧꢵꢭ꣄ꢔꢸꢥꢶ,फाल्गुनि,பா2ல்கு3னி,phaalguni,phAlguni,phālguni,pʰɑːlgun̪ɪ,March-April,பங்குனி  
