ꢪꢛ꣄ꢗꢸ,मञ्चु,மஞ்சு,stage,அரங்கம்  / அரங்கு
ꢧꣀꢭ ꢦ꣄ꢬꢣꢬ꣄ꢰꢥꣁ,फैल प्रदर्षना॑,பை2ல ப்ரத3ர்ஷனொ,debut / maiden performance,அரங்கேற்றம்  
ꢲꢬꢶꢓꢾꢡꣁ,हरिख॑ता॑,ஹரிகெ2தொ,religious discourse with narration,அரிகதை  
ꢦꢸꢬꢵꢡꢥꢮꢱ꣄ꢡꢸ ꢦ꣄ꢬꢣꢬ꣄ꢰꢶꢥꢶ,पुरातन वस्तु प्रदर्षिनि,புராதன வஸ்து ப்ரத3ர்ஷினி,museum,அரும்பொருட்காட்சியகம்   
ꢥꢵꢗꢸ,नाचु,நாசு,dance,ஆட்டம்  
ꢥꢜꢥꢪ꣄,नटनम,நடனம்,dance,ஆட்டம்  
ꢱꢖ꣄ꢔꢷꢡ꣄,सङगीत्,ஸங்கீ3த்,music,இசை  
ꢱꢖ꣄ꢔꢷꢡꢸ ꢮꣀꢩꢮ꣄,सङगीतु वैभव,ஸங்கீ3துவைப4வ்,musical concert,இசைநிகழ்ச்சி  
ꢱꢶꢖ꣄ꢒꢵꢬ꣄ꢭꢶꢥꢶ,सिङकार्लिनि,ஸிங்க3ர்லினி,make up,ஒப்பனை  
ꢍꢒꢵꢖ꣄ꢒꢶ ꢥꢜ꣄ꢒꢪ꣄,एकाङ्कि नट्कम,ஏகாங்கி நட்கம்,one act play,ஓரங்கநாடகம்   
ꢱꢨ꣄ꢣꢸ ꢦ꣄ꢬꢒꢵꢱꢸ ꢣꢬ꣄ꢰꢥꣁ,सब्दुप्रकाषु दर्षना॑,ஸப்3து3 ப்ரகாஷு த3ர்ஷனொ,music and light programme,ஒலி ஒளிக்காட்சி   
ꢤꣁꢥꢶ ꢦꢛ꣄ꢙꢷꢒꢬꢠꣁ,धोनि पञ्जीकरणा॑,தொ4னி பஞ்ஜீகரணொ,sound recording,ஒலிப்பதிவு  
ꢱꢨ꣄ꢣꢸꢔꢸꢠ꣄ꢮꢶ,सब्दु गुण्वि,ஸப்3து3கு3ண்வி,loudspeaker,ஒலிப்பெருக்கி  
ꢗꢶꢡ꣄ꢬꢸ,चित्रु,சித்ரு,painting,ஓவியம்  
ꢱꢖ꣄ꢔꢷꢡ ꢮꣀꢩꢮ꣄,सङ्गीत वैभव,ஸங்கீ3த வைப4வ்,concert,கச்சேரி  
ꢒꢷꢡꢸꢱ꣄ꢬꢸꢡꢶ,गीतुस्रुति,கீ3துஸ்ருதி,pitch,கட்டை  
ꢔꢮ꣄ꢥꢶꢱ꣄ꢢꢵꢥ꣄,गव्निस थान,க3வ்னி ஸ்தா2ன்,pitch,கட்டை  
ꢱ꣄ꢡꢵꢥꢦ꣄ꢬꢫꢡ꣄ꢥꣁ,स्तानप्रयत्ना॑,ஸ்தானப்ரயத்னொ,pitch,கட்டை  
ꢪꣂꢜꢶ ꢮꢶꢡ꣄ꢡꢾ,मोटिवित्त॑,மோடி3வித்தெ,magic,கண்கட்டு வித்தை   
ꢒꢭꢵ,कला,கலொ,art,கலை  
ꢒꢭꢵꢒꢵꢬ꣄,कलाकार्,கலாகார்,artiste,கலைஞன்  
ꢒꢵꢒ꣄ꢰꢶ,काक्षि,காக்ஷி,scene,காட்சி  
ꢔ꣄ꢬꢵꢪꢶꢫ ꢥꢵꢗꢸ,ग्रामिय नाचु,க்3ராமிய நாசு,a folk dance,கிராமிய நடனம்   
ꢙꢾꢡꣁꢪꢶꢳꢶ ꢓꢳꢥ꣄ꢥꢵꢗꢸ,जेतोमिळि खळन्नाचु,ஜெதொமிளி க2ளந்நாசு,a group dance,கும்மி  
ꢪꢭ꣄ꢭꢫꢸꢣ꣄ꢣꢸ,मल्लयुद्दु,மல்லயுத்3து3,wrestling,குஸ்தி  
ꢥꢵꢗꢸ,नाचु,நாசு,a folk dance,கூத்து  
ꢥꢵꢗꢸ ꢓꣁꢜ꣄ꢜꣁ,नाचुखा॑ट्टा॑,நாசுகொ2ட்டொ,theatre,கொட்டகை  
ꢗꢶꢡ꣄ꢬ ꢮꢷꢠꢾ,चित्रवीणा॑,சித்ரவீணொ,a musical instrument,கோட்டுவாத்தியம்  
