ꢲꢣ꣄ꢣꢸ,हद्दु,ஹத்3து3,half,அரை  
ꢂꢬ꣄ꢒ꣄ꢫꢵꢭ꣄,अर्क्याल,அர்க்யால்,one eight,அரைக்கால்  
ꢂꢖ꣄ꢒꢾ,अङ्का॑,அங்கொ,"digit, number",இலக்கம்  
ꢱꢖ꣄ꢓ꣄ꢫꣁ,सङ्ख्यो,ஸங்க்2யொ,number,எண்  
ꢱꣂꢮꢸ,सा॑वु,ஸொவு,quarter,கால்  
ꢒꢳꣁ,कळा॑,களொ,1/16 of a measure,மாகாணி  
ꢮꢷꢱꢪꢞ꣄ꢜꣁ,वीसमड्डा॑,விஸமட்3டொ3,1/16 of a measure,மாகாணி  
ꢡꢶꢮ,तिव,திவ,three-fourth,முக்கால்  
ꢱꢶꢭꢶ,सिलि,ஸிலி,1/32 of a measure,முண்டாணி  
ꢱꢣ꣄ꢣꢸꢮꢶꢱꢪ꣄,सद्दुविसम्,ஸத்3து3விஸம்,1/32 of a measure,முண்டாணி  
ꢱꢸꢥ꣄ꢫ,सून्य,ஸுந்ய,zero,பாழ்  
ꢱꢸꢥ꣄ꢥꢸ,सुन्नु,ஸுந்நு,zero,பூஜியம்  
ꢫꣂꢔ꣄,योग्,யோக்3,one,ஒன்று  
ꢣꢷ,दी,தீ3,two,இரண்டு  
ꢣꢷꢥꢸ,दीनु,தீ3நு,three,மூன்று  
ꢗꢵꢬꢸ,चारु,சாரு,four,நான்கு  
ꢦꢵꢛ꣄ꢗ꣄,पाञ्च्,பாஞ்ச்,five,ஐந்து  
ꢱꣂ,सो,ஸோ,six,ஆறு  
ꢱꢵꢢ꣄,साथ्,ஸாத்2,seven,ஏழு
ꢃꢝ꣄,आठ्,ஆட்2,eight,எட்டு  
ꢥꣁꢮ꣄,ना॑व्,நொவ்,nine,ஒன்பது  
ꢣꢾꢱ꣄,द॑स्,தெ3ஸ்,ten,பத்து  
ꢮꢶꢒ꣄ꢫꢵꢬ꣄,विक्यार्,விக்யார்,eleven,பதினொன்று  
ꢨꢵꢬ꣄,बार्,பா3ர்,twelve,பன்னிரண்டு  
ꢡꢿꢬ꣄,तेर्,தேர்,thirteen,பதிமூன்று  
ꢗꣁꢮꢣ꣄,चा॑व्द्,சொவ்த்3,fourteen,பதினான்கு  
ꢧꢥ꣄ꢣꢬ꣄,फ्न्दर्,ப2ந்த3ர்,fifteen,பதினைந்து  
ꢱꣁꢮꢳ꣄,सा॑वळ,ஸொவள்,sixteen,பதினாறு  
ꢱꢡ꣄ꢡꢬ꣄,सत्तर्,ஸத்தர்,seventeen,பதினேழு  
ꢂꢝꢵꢬ꣄,अठार्,அடா2ர்,eighteen,பதினெட்டு  
ꢏꢒ꣄ꢥꢷꢱ꣄,आ॑क्नीस्,ஒக்நீஸ்,nineteen,பத்தொன்பது  
ꢮꢷꢱ꣄,वीस्,வீஸ்,twenty,இருபது  
ꢡꢷꢱ꣄,तीस्,தீஸ்,thirty,முப்பது  
ꢣꢷꢒꢳꢡꢷꢱ꣄,दीकळतीस्,தீ3களதீஸ்,thirty two,முப்பத்திரண்டு  
ꢗꢳꢶꢱ꣄,चळिस्,சளிஸ்,forty,நாற்பது  
ꢢꢷꢥ꣄ꢒꢳ ꢗꢳꢶꢱ꣄,थिन्कळ चळिस्,தீ2ந்களசளிஸ்,forty three,நாற்பத்துமூன்று   
ꢦꣁꢥ꣄ꢥꢵꢱ꣄,पा॑न्नास्,பொந்நாஸ்,fifty,ஐம்பது  
ꢗꢵꢬ꣄ꢒꢳ ꢦꣁꢥ꣄ꢥꢵꢱ꣄,चार्कळ पा॑न्नास्,சார்கள பொந்நாஸ்,fifty four,ஐம்பத்து நான்கு   
ꢱꢵꢜ꣄,साट्,ஸாட்,sixty,அறுபது  
ꢦꢵꢛ꣄ꢗꢳ ꢱꢵꢜ꣄,पाञ्सळसाट्,பாஞ்சளஸாட்,sixty five,அறுபத்தைந்து  
ꢱꢷꢬ꣄,सीर्,ஸீர்,seventy,எழுபது  
ꢱꣂꢒꢳ ꢱꢷꢬ꣄,सोकळसीर्,ஸோகளஸீர்,seventy six,எழுபத்தாறு  
ꢂꢱꢶ,असि,அஸி,eighty,எண்பது  
ꢱꢵꢡ꣄ꢒꢳ ꢂꢱꢶ,सात्कळअसि,ஸாத்களஅஸி,eighty seven,எண்பத்தேழு  
ꢥꢮꢡ꣄,नवत्,நவத்,ninety,தொண்ணூறு  
ꢃꢜ꣄ꢒꢳ ꢥꢮꢡ꣄,आट्कळ नवत्,ஆட்களநவத்,ninety eight,தொண்ணூற்றொட்டு  
ꢥꣁꢮ꣄ꢮꢳ ꢥꢮꢡ꣄,नोव्वअ नवत्,நொவ்வளநவத்,ninety nine,தொண்ணூற்றொன்பது   
ꢱꣂꢮꢸ,सोवु,ஸோவு,hundred,நூறு  
ꢫꣂꢒꢭ ꢱꣂꢮꢸ,योकळसोवु,யோகளஸோவு,hundred and one,நூற்று ஒன்று   
ꢣꢷꢒꢳ ꢱꣂꢮꢸ,दीकलसोवु,தீ3களஸோவு,hundred and two,நூற்று இரண்டு   
ꢣꢷꢱꣂꢮꢸ,दीसोवु,தீ3ஸோவு,two hundred,இருநூறு  
ꢢꢷꢥ꣄ꢱꣂꢮꢸ,थीन्सोवु,தீ2ந்ஸோவு,three hundred,முந்நூறு  
ꢗꢵꢬ꣄ꢱꣂꢮꢸ,चार्सोवु,சார்ஸோவு,four hundred,நானூறு  
ꢦꢵꢛ꣄ꢗ꣄ ꢱꣂꢮꢸ,पाञ्सोवु,பாஞ்சு; ஸோவு,five hundred,ஐநூறு  
ꢱꣂ ꢱꣂꢮꢸ,सोसोवु,ஸோஸோவு,six hundred,அறுநூறு  
ꢱꢵꢡ꣄ ꢱꣂꢮꢸ,सात्सोवु,ஸாத்ஸோவு,seven hundred,எழுநூறு  
ꢃꢝ꣄ꢱꣂꢮꢸ,आठ्सोवु,ஆட்2ஸோவு,eight hundred,எண்ணூறு  
ꢥꣁꢮ꣄ ꢱꣂꢮꢸ,ना॑वसोवु,நொவ்ஸோவு,nine hundred,தொள்ளாயிரம்  
ꢥꣁꢭ꣄ꢒꢳ ꢥꣁꢮ꣄ꢱꣂꢮꢸ,ना॑ल्कळ नोव्सोवु,நொல்களநொவ்ஸோவு,nine hundred and nine,தொள்ளாயிரத்து ஒன்பது    
ꢱꢱꢬꢸ,ससरु,ஸஸரு,thousand,ஆயிரம்  
ꢣꢷꢒꢳ ꢱꢱꢬꢸ,दीकळ ससरु,தீ3களஸஸரு,thousand and two,ஆயிரத்து இரண்டு   
