"ꢂꢖ꣄ꢔꢮꢶꢒꢵꢬꢸꢥ꣄, ꢯꢵꢬꢷꢬꢶꢒ ꢮꢶꢒꢵꢬꢸꢥ꣄","अङ्गविकारुन, सारीरिक विकारुन",அங்க3 விகாருன்/ ஶாரீரிக விகாருன்,physical deformity,அங்கஹீனம்  / உடல் ஊனம்   
"ꢂꢖ꣄ꢔꢲꢷꢥꢸ, ꢯꢵꢬꢷꢬꢶꢒ, ꢂꢰ꣄ꢒꢡꢡ","अङ्गहीनु, शारीरिक, अष्कतत","அங்க3ஹினு, ஷாரீரிக, அஷகதத",,
"ꢂꢖ꣄ꢔꢲꢷꢥꢸꢥ꣄, ꢥꢹꢥꢯꢬꢷꢬꢶ","अङ्गहीनुन्, नूनुशरीरि",அங்க3ஹீனுன்/நூனஶரீரி,physically handicapped,உடல் ஊனமுற்றோர்   
"ꢪꢹꢒꣁ, ꢪꢹꢓꣁ","मूका॑, मूखा॑","மூகொ, மூகொ2",dumb,ஊமை  / ஊமையன்  
ꢪꢹꢒꢶ,मूकि,மூகி,dumb (female),ஊமைச்சி  
"ꢏꢬꣁꢣꣁꢭꣁꢮꢵꢥ꣄, ꢏꢬꣁꢣꣁꢭꢶꢮꢵꢥ꣄","ओरोदोलोवान, ओरोदोलिवान",ஒரொதொ3ளொவான்/ஒரொதொ3ளிவான்,squint eyed man,ஓரக் கண்ணன்   
ꢏꢬꣁꢣꣁꢭꢶ,ओरोदोलि,ஒரொதொ3ளி,squint eyed woman,ஓரக் கண்ணி   
ꢫꣁꢒ꣄ ꢣꣁꢭꢮꢵꢥ꣄,योकदोलवान,யோகதொ3வாம்,,
"ꢗꢾꢮꢸꢜ꣄, ꢌꢞꣁ","च॑वुट्, ए॑डा॑",செவுட்3/எடொ3,deaf persons,காதுகேளாதோர்   
"ꢂꢒ꣄ꢒꢸꢬꣁ, ꢒꢸꢳ꣄ꢳꣁ","अक्कुरा॑, कुळ्ळा॑",அக்குரொ/குள்ளொ,"dwarf, short",குட்டை  
"ꢒꢸꢳ꣄ꢳ꣄ꢶ, ꢂꢒ꣄ꢒꢸꢬꢷ","कुळ्ळि, अक्कुरी",குள்ளி/அக்குரீ,short woman,குட்டைச்சி  
"ꢂꢥ꣄ꢣꢒꣁ, ꢔꢸꢜ꣄ꢞꢾ","अन्दका॑, गुट्ड॑",அந்த3கொ/கு3ட்டெ3,blind man,குருடன்/ விழியிழந்தோர்  
ꢔꢸꢞ꣄ꢞꢶ,गुड्डि,கு3ட்3டி3,blind woman,குருடி  
ꢂꢥ꣄ꢣꣁ,अन्दा॑,அந்தொ3,blindness,குருடு  
"ꢮꢵꢪꢥꢦꢥ꣄, ꢒꢸꢳ꣄ꢳꢦꢥ꣄","वामनपन, कुळ्ळपन",வாமனபன்/குள்ளபன்,"shortness, dwarfness",குள்ளம்  
"ꢒꢸꢳ꣄ꢳꣁ, ꢮꢵꢪꢥꣁ","कुळ्ळा॑, वामना॑",குள்ளொ/வாமனொ,dwarf (male),குள்ளன்  
ꢒꢸꢳ꣄ꢳꢶ,कुळ्ळि,குள்ளி,dwarf (female),குள்ளி  
ꢒꢹꢥ꣄,कून,கூன்,hunch back,கூன்  
"ꢮꢔꢸꢠ꣄ꢜꣁꢣꣂꢠ꣄, ꢮꣀꢠ꣄ꢜꢡꣂꢠ꣄","वगुण्टा॑तोण, वैण्टतोण",வகு3ண்டொதோண்/வைண்டதோண்,abnormal mouth shapped,கோணவாய்  
ꢌꢞꣁ,ए॑डा॑,எடொ3,deaf (male),செவிடன்  
ꢗꢾꢮ꣄ꢞꢶ,च॑व्डि,செவ்டி3,deaf (female),செவிடி  
ꢗꢾꢮꢸꢜ꣄,च॑वुट,செவுட்3,deafness,செவிடு  
ꢡꢡ꣄ꢡꢸꢮꣁ,तुत्तुवा॑,துத்துவொ,stammering,திக்குவாய்  
ꢡꢡ꣄ꢡꢸꢮꢵꢥ꣄,तुत्तुवान,துத்துவான்,stammerer,திக்குவாயன்  
ꢪꣁꢠ꣄ꢞꢶ,मा॑ण्डि,மொண்டி3,lame person,நொண்டி  
ꢔꣁꢞ꣄ꢞꣁ,गा॑ड्डा॑,கொ3ட்3டொ3,barren man,மலடன்  
ꢔꣁꢞ꣄ꢞꢸ,गा॑ड्डु,கொ3ட்3டு3,barren woman,மலடி  
ꢪꣁꢞꢪ꣄,मा॑डम,மொட3ம்,limping,முடம்  
ꢪꣁꢠ꣄ꢞꢶ,मा॑ण्डि,மொண்டி3,lame (male),முடவன்  
ꢥꢵꢒ꣄ ꢒꢜꢫꢾꢱ꣄ꢡꢾꢥꣁ,नाक् कटय॑स्त॑ना॑,நாக் கடயெஸ்தெனொ,cut nose (male),மூக்கரையன்  
ꢪꣁꢞ꣄ꢞꢾ,मा॑ट्ट॑,மொட்டெ,tonsured head,மொட்டை  
"ꢪꢸꢠ꣄ꢞꣁ, ꢨꣁꢞꢒ꣄","मुण्डा॑, बा॑डक",முண்டொ3/பொ3ட3க்,tonsured woman/ widow,மொட்டைச்சி  
ꢪꣁꢜ꣄ꢜꢾ,मा॑ट्ट॑,மொட்டெ,tonsuredman,மொட்டையன்  
ꢡꢭꢹꢦꣁꢜ꣄ꢜꢭꢸꢮꢵꢥ꣄,तलूपोट्टलुवान,தளுபொட்டலுவான்,bald man,வழுக்கையன்  
