ꢂꢞꢸꢪꢹꢳ꣄,अडुमूळ,அடு3மூள்,tap root,ஆணிவேர்  
ꢬꢿꢒ꣄,रेक्,ரேக்,petal,பூவிதழ்  
ꢣꢳꣁ,दळा॑,த3ளொ,petal,பூவிதழ்  
ꢦꢵꢥ꣄,पान,பான்,leaf,இலை  
ꢦꢵꢥꢸꢥꢾꢬꢪ꣄,पानुनेरम्,பானுநெரம்,leaf venation,இலை நரம்பு   
ꢔꢾꢠꢸꢒ꣄,ग॑णुक,கெ3ணுக்,node,கணு  
ꢮꢖ꣄ꢔꢶ,वङ्गि,வங்கி3,brinjal,கத்திரிகாய்
ꢭꢫ꣄ꢞꣁ,लय्डा॑,லய்டொ3,stick,கம்பு  
ꢭꢔꢸꢞꣁ,लगुडा॑,லகு3டொ3,stick,கம்பு  
ꢥꢴꢥ꣄ ꢚꢜ꣄ꢒꢶ,न्हन झट्कि,ந:ன் ஜ2ட்கி,sapling,கன்று  
ꢦꣁꢳ꣄ꢳꣁ,पा॑ळ्ळा॑,பொள்ளொ,fruit,கனி  
ꢦꢳ꣄ꢳꣁ,पळ्ळा॑,பள்ளொ,fruit,கனி  
ꢒꢵꢪ꣄ꢨꢸ,काम्बु,காம்பு3,flower stalk,காம்பு  
ꢡꢵꢠ꣄,ताण,தாண்,flower stalk,காம்பு  
ꢒꢫ꣄ꢭꣁ,कय्ला॑,கய்லொ,unripe fruit,காய்  
ꢔꢾꢙ꣄ꢙꢥꢵ ꢚꢵꢜ꣄,ग॑ज्जनाझाट्,கெ3ஜ்ஜனாஜா2ட்,mushroom,காளான்  
ꢯꢵꢔꣁ,शागा॑,ஶாகொ3,branch,கிளை/ கொம்பு  
ꢩꢙ꣄ꢙꢶ,भज्जि,ப4ஜ்ஜி,"greens, pot herbs",கீரை  
ꢒꣁꢪ꣄ꢨꢸꢳꣁ ꢦꢵꢥ꣄,का॑म्बुळा॑पान्,கொம்பு3ளொபான்,tender leaf,குருத்து  
ꢦꣁꢱ꣄ꢒꢾ,पा॑स्क॑,பொஸ்கெ,bush,குற்றுச்செடி  
ꢔꢸꢳ꣄꣄ꢪꣁ,गुळ्मा॑,கு3ள்மொ,bush,குற்றுச்செடி  
ꢮꢶꢡ꣄ꢡꢸ,वित्तु,வித்து,nut,கொட்டை  
ꢨꢷꢒ꣄,बीक,பீ3க்,nut,கொட்டை  
ꢚꢳ꣄ꢳꣁ,झळ्ळा॑,ஜ2ள்ளொ,creeper,கொடி  
ꢮꢿꢭ꣄ (ꢗꢸꢬ꣄ꢬꢶꢦꢜꢬ꣄),वेल् (चुऱ्ऱइपटर्),வேல் (சுற்றிபடர்),creeper,கொடி  
ꢒꣁꢪ꣄ꢪꣁ,का॑म्मा॑,கொம்மொ,Branch,கிளை
ꢱꢾꢒ꣄ꢒꢬ꣄ ꢒꢾꢳꢖ꣄ꢔꢸ,स॑क्कर क॑ळङ्गु,ஸெக்கர்கௌங்கு3,sweet potato,சர்க்கரைவள்ளி  
ꢔꣂꢠ꣄꣄,गोण,கோ3ண்,jute,சணல்  
ꢔꣂꢥ꣄,गोन,கோ3ன்,jute,சணல்  
ꢡꢵꢡꢸꢪꢹꢳ꣄,तातुमूळ्,தாதுமூள்,fibrous root,சல்லிவேர்  
ꢗꢾꢡ꣄ꢡꣁ,च॑त्ता॑,செத்தொ,twig,சுள்ளி  
ꢚꢜ꣄ꢒꢶ,झट्कि,ஜ2ட்கி,plant,செடி
ꢨꣁꢥ꣄ꢣꢿ,बा॑न्दे,பொ3ந்தே3,plantain stem,வாழைத்தண்டு
ꢓꢜ꣄ꢜꢶ,खट्टि,க2ட்டி,"stalk, stem",தண்டு  
ꢪꢸꢒꢸꢭꢸ ꢦꢵꢥ꣄,मुकुलु पान,முகுலு பான்,tender leaf,தளிர்  
ꢗꢶꢒꢸꢬ꣄,चिकुर,சிகுர்,tender leaf,தளிர்  
ꢂꢖ꣄ꢒꢸꢬ꣄,अङ्कुर,அங்குர்,tender leaf,தளிர்  
ꢢꣁꢳ꣄꣄ꢗꢶ,था॑ळ्चि,தொ2ள்சி,basil plant,துளசி  
ꢗꢵꢫ꣄ꢦꢵꢥ꣄,चाय्पान,சாய்பான்,tea leaf,தேயிலை  
ꢜꢷ ꢦꢵꢥ꣄,टी पान,டீ பான்,tea leaf,தேயிலை  
ꢪꢫ꣄,मय,மய்,honey,தேன்  
ꢪꢤꢸ,मधु,மது4,honey,தேன்  
ꢡꢾꢥꢾ,तेन॑,தேனெ,honey,தேன்  
ꢣꢾꢙ꣄ꢙꢥꢵꢚꢵꢜ꣄,ग॑ज्जना झाट,கெ3ஜ்ஜனா ஜா2ட்,mushroom,நாய்க்குடை  
ꢱꢡꢶꢙꢵꢞ꣄,सतिजाड,ஸதிஜாட்3,mushroom,நாய்க்குடை  
ꢥꢵꢡ꣄,नात्,நாத்,(paddy) seedling,நாற்று  
ꢦꢷꢙꢵꢖ꣄ꢒꢸꢬ꣄,पीजाङ्कुर,பீஜாங்குர்,(paddy) seedling,நாற்று  
ꢤꢹꢪ꣄ꢦꢵꢥ꣄,धूम्पान्,தூ4ம்பான்,stalk (tobacco),புகையிலை
ꢱꢵꢳꢸ ꢦꢾꢫꢶꢬ꣄,साळु प॑यिर,ஸாளு பெயிர்,paddy plant,நெற்பயிர்  
ꢱꢵꢳꢸ ꢆꢦꢙꢵꢮ꣄,साळु उपजाव,ஸாளு உபஜாவ்,paddy plant,நெற்பயிர்  
ꢦꢾꢫꢶꢬ꣄ ꢦꢠ꣄ꢜꣁ,प॑यिर पण्टा॑,பெயிர் பண்டொ,paddy plant,நெற்பயிர்  
ꢆꢦꢙꢵꢮ꣄,उपजाव,உபஜாவ்,crop,பயிர்  
ꢨꢵꢛ꣄ꢙꢶ,बाञ्जि,பா3ஞ்ஜி,moss,பாசி  
ꢦꢶꢥ꣄ꢣꣁ,पिन्दा॑,பிந்தொ3,tender fruit,பிஞ்சு  
ꢨꢾꢡ꣄ꢡꢪ꣄ ꢮꢳ꣄ꢜꢶ,ब॑त्तम्,பெ3த்தம்,cane,பிரம்பு  
ꢨꢾꢡ꣄ꢡꢪ꣄ ꢮꢳ꣄ꢜꢶ,वळ्टि,வள்டி,cane,பிரம்பு  
ꢦꣁꢣꢬ꣄,पा॑दर्,பொத3ர்,bush,புதர்  
ꢦꣁꢱ꣄ꢒꢾ,पा॑स्क॑,பொஸ்கெ,grass,புல்  
ꢲꢬꢳꢶ,हरळि,ஹரளி,scutch grass,அருகம்புல்
ꢧꢸꢭ꣄,फूल्,பூ2ல்,flower,பூ  
ꢧꢸꢭꢶ ꢚꢜ꣄ꢒꢶ,फूलु झट्कि,பூ2லுஜ2ட்கி,flower plant,பூச்செடி  
ꢃꢳ꣄ꢮꢥꢶ ꢒꢾꢳꢖ꣄ꢔꢸ,आळ्वळि क॑ळङ्गु,ஆள்வளி கௌங்கு3,tapioca,மரச்சீனி/ மரவள்ளி  
ꢓꢜꣁ,खटा॑,க2டொ,thorn,முள் 
ꢪꣁꢭ꣄ꢒꣁ,मा॑ल्का॑,மொல்கொ,sprout,முளை  
ꢂꢖ꣄ꢒ꣄ꢬꣁ,अङ्क्रा॑,அங்க்ரொ,sprout,முளை  
ꢨꣁꢖ꣄ꢔꢸ,बा॑ङगु,பொ3ங்கு3,bamboo,மூங்கில்  
ꢪꢸꢔꢸꢭ꣄,मुकुल्,முகுல்,bud,மொட்டு  
ꢪꢹꢳꢸꢒꢾꢳ꣄,मूळुकेळ्,மூளுகேள்,plantain root,அடிவாழை
ꢒꢿꢳꢸ ꢚꢵꢞ꣄,केळु झाड,கேளு ஜா2ட்3,plantain,வாழை  மரம்
ꢮꢶꢡ꣄ꢡꢸ,वित्तु,வித்து,seed,வித்து
ꢨꢷꢒ꣄,बीक्,பீ3க்,seed,விதை
ꢪꢹꢭ꣄,मूल,மூல்,root,வேர்
