ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,अङ्गीकार्,அங்கீ3கார்,recognition,அங்கீகாரம்  
"ꢂꢗ꣄ꢗꢸ, ꢜꢖ꣄ꢒꢸ","अच्चु, टङ्कु",அச்சு/டங்கு,axis,அச்சு  
ꢦꢡ꣄ꢬꢮꢵꢲꢶꢥꢶ,पत्रवाहिनि,பத்ரவாஹினி,post,அஞ்சல்  
"ꢦꢡ꣄ꢬꢮꢵꢲꢒꣁ, ꢦꢡ꣄ꢬꢮꢵꢲꣁ, ꢭꢿꢓꢸꢮꢵꢥ꣄","पत्रवाहका॑, पत्रवाहा॑, लेखुवान",பத்ரவாஹகொ/பத்ரவாஹொ/ லேகு2வான்,postman,அஞ்சல்காரர்  
ꢦꢡ꣄ꢬꢮꢵꢲ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,पत्रवाह कार्यालया॑,பத்ரவாஹ கார்யாலயொ,post office,அஞ்சலகம்  
ꢒꣂꢰ꣄ꢜꢸ,कोष्टु,கோஷ்டு,"table, schedule",அட்டவணை  
"ꢆꢞ꣄ꢔꢞ꣄ꢠꢶ, ꢣꢪꢥꣁ","उड्गड्णि, दमना॑",உட்3க3ட்3ணி/ த3மனொ,oppression,அடக்குமுறை  
ꢒꢸꢣꣁ,कुदा॑,குதொ3,pawn,அடகு  
ꢒꢸꢣꣁ,कुदा॑,குதொ3,mortgage,அடமானம்  
ꢓꢵꢭ꣄ꢣꢳ꣄ ꢓꢵꢭ꣄ꢣꢾꢳꢪ꣄,"खाल्दळ,  खाद॑ळम्","கா2ல்த3ள், கா2ல்தொ3ளம்",basement,அடித்தளம்
ꢃꢤꢵꢬꢸ ꢨꢵꢡ꣄ꢫꢡꣁ,आधारु बाद्यता॑,ஆதா4ரு பா3த்யதொ,fundamental right,அடிப்படையுரிமை   
ꢱ꣄ꢬꢿꢠꢶꢗꢵꢭ꣄,स्रेणिचाल,ஸ்ரேணிசால்,parade,அணிவகுப்பு  
ꢂꢡ꣄ꢒꢫꢵꢬ꣄,अत्क्यार्,அத்க்யார்,"power, authority",அதிகாரம்  
ꢂꢡ꣄ꢒ꣄ꢫꢵꢬꢶ,अत्क्यारि,அத்க்யாரி,officer,அதிகாரி  
ꢪꢥ꣄ꢡ꣄ꢬꢶ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,मन्त्रि कार्यालया॑,மந்த்ரிகார்யாலயொ,ministry,அமைச்சகம்  
"ꢪꢥ꣄ꢡ꣄ꢬꢶ, ꢂꢪꢵꢡ꣄ꢫꣁ","मन्त्रि, अमात्या॑",மந்த்ரி/அமாத்யொ,minister,அமைச்சர்  
ꢪꢥ꣄ꢡ꣄ꢬꢶꢱꢨꣁ,मन्त्रिसबा॑,மந்த்ரிஸபொ3,cabinet,அமைச்சரவை  
ꢯꢵꢥ꣄ꢡꢶ,शान्ति,ஶாந்தி,peace,அமைதி  
"ꢱꢖ꣄ꢕꢜꢶꢒꣁ, ꢱꢛ꣄ꢗꢭꢥꢒꢵꢬꣁ","सङ्घटिका॑, सञ्चलनकारा॑",ஸங்க4டிகொ/ ஸஞ்சலனகாரொ,organizer,அமைப்பாளர்  
"ꢮꢶꢣꢿꢱ꣄, ꢩꢬꢳꢡꢿꢱ꣄","विदेस्,   भरळदेस्",விதே3ஸ்/ ப4ரளதே3ஸ்,foreign country,அயல்நாடு  
"ꢬꢙꣁ, ꢬꢵꢜ꣄, ꢩꢹꢦꣁ, ꢩꢹꢦꢡꢶ","रजा॑, राट, भूपा॑, भूपति",ரஜொ/ராட்/பூ4பொ/பூ4பதி,king,அரசன்  
"ꢬꢠꢶ, ꢬꢵꢜꢳꢶ","रणि, राटाळि",ரணி/ராடளி,queen,அரசி  
ꢬꢵꢙꢥꢷꢡꢶ,राजनीति,ராஜநீதி,politics,அரசியல்  
"ꢱꢪ꣄ꢱ꣄ꢢꢵꢦꢥꣁ, ꢱꢪ꣄ꢮꢶꢤꢵ","सम्स्थापना॑, सम्विधा",ஸம்ஸ்தா2பனொ/ ஸம்விதா4,constitution,அரசியல் சட்டம்   
ꢬꢵꢙꢥꢷꢡꢶꢮꢵꢥ꣄,राजनीतिवान,ராஜநீதிவான்,politician,அரசியல்வாதி  
"ꢱꢬ꣄ꢒꢵꢬ꣄, ꢬꢵꢙꢵꢖ꣄ꢔꢸ","सर्कार, राजाङ्गु",ஸர்கார்/ராஜாங்கு3,government,அரசு  
ꢬꢵꢙ꣄ꢩꢮꢥ꣄,राज्भवन,ராஜ்ப4வன்,government house,அரசமாளிகை  
"ꢬꢮꢸꢳ꣄, ꢦ꣄ꢬꢵꢱꢵꢣꣁ","रवुळ्, प्रासादा॑",ரவுள் / ப்ராஸாதொ3,palace,அரண்மனை  
"ꢍꢒꢒ꣄, ꢄꢒꢵꢫ꣄","एकक्, इकाय",ஏகக்/இகாய்,unit,அலகு  
ꢭꢵꢜ꣄,लाट्,லாட்,wave,அலை
ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,कार्यालया॑,கார்யாலயொ,office,அலுவலகம்  
ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢩꢰꣁ,कार्यालय भाषा॑,கார்யாலய பா4ஷொ,official language,அலுவலகமொழி  
ꢂꢡ꣄ꢒꢵꢬꢶ,अत्कारि,அத்காரி,officer,அதிகாரி
"ꢂꢮ꣄ꢱꢬꢸ ꢱꢵꢱꢥꣁ, ꢃꢦꢡ꣄ꢒꢵꢭꢸ ꢱꢵꢱꢥꣁ","अव्सरु सासना॑, आपत्कालु सासना॑",அவ்ஸரு ஸாஸனொ/ ஆபத்காலு ஸாஸனொ,emergency rule,அவசரச்சட்டம்  
ꢂꢮ꣄ꢱꢬ꣄ꢱ꣄ꢢꢶꢡꢶ,अव्सर्स्थिति,அவ்ஸர் ஸ்தி2தி,emergency,அவசரநிலை  
ꢨꣁꢮ꣄ꢥꢶꢕꢵꢜ꣄,बा॑व्निघाट्,பொ3வ்நி கா4ட்,calling bell,அழைப்புமணி  
ꢦꢬꢶꢪꢵꢠ꣄,परिमाण,பரிமாண்,size,பரிமாணம்
"ꢦ꣄ꢬꢒꢜꢥꣁ, ꢃꢮꢿꢣꢥꣁ, ꢮꢶꢰꢫꢒꢳꢞ꣄ꢠꢶ","प्रकटना॑, आवेदना॑, विषयकळट्णि",ப்ரகடனொ/ ஆவேத3னொ/ விஷயகளட்3ணி,report,அறிக்கை  
"ꢦ꣄ꢬꢒꢞ꣄ꢠꢵꢬ꣄, ꢦ꣄ꢬꢒꢞꢠꣁꢒꢾꢬ꣄ꢥꢵꢬ꣄, ꢮꢶꢰꢫꢸ ꢒꢳꢞ꣄ꢥꢵꢬ꣄","प्रकड्णार, प्रकडणा॑ क॑र्नार, विषयु कळड्नार",ப்ரகட்3ணார்/ ப்ரகட3ணொ கெர்னார்/        விஷயு களட்3னார்,announcer,அறிவிப்பாளர்  
ꢱꢹꢗꢥꣁ,सूचना॑,ஸூசனொ,"notice, announcement",அறிவிப்பு  
ꢱꢹꢗꢥꢵ ꢦꣁꢭ꣄ꢒꣁ,सूचना पा॑ल्का॑,ஸூசனாபொல்கொ,notice board,அறிவிப்புப் பலகை   
ꢂꢥꢸꢪꢡ꣄,अनुमत्,அனுமத்,permission,அனுமதி  
ꢂꢥꢸꢪꢡ꣄ ꢱꢹꢗꢶ,अनुमत्सूचि,அனுமத்ஸூசி,permit,அனுமதிச் சீட்டு   
ꢂꢥꢸꢩꢮ꣄,अनुभव,அனுப4வ்,experi ence,அனுபவம்  
"ꢒꢨ꣄ꢙꣁ, ꢃꢒ꣄ꢬꢪꢠꣁ","कब्जा॑, आक्रमणा॑",கப்3ஜொ/ஆக்ரமணொ,encroachment,ஆக்கிரமிப்பு  
"ꢱꢵꢱꢥꣁ, ꢱꣃꢱꢱ꣄ꢡꢾ, ꢱꣃꢱꢶꢥꢶ","सासना॑, सौसस्ते, सौसिनि",ஸாஸனொ/ ஸௌஸஸ்தே/ ஸௌஸினி,rule,ஆட்சி  
ꢬꢵꢙ꣄ꢫ ꢩꢰꣁ,राज्य भाषा॑,ராஜ்யபா4ஷொ,administrative language,ஆட்சிமொழி  
ꢃꢙ꣄ꢛꢾ,आजञो,ஆஜ்ஞொ,order,ஆணை  
"ꢥꢶꢫꣂꢔꣁ, ꢃꢫꣂꢔ꣄","नियोगा॑, आयोग",நியோகொ3/ ஆயோக்3,commission,ஆணையம்  
"ꢥꢶꢫꣂꢔꢶ, ꢃꢫꣂꢒꢶ","नियोगि, आयोगि",நியோகி3 / ஆயோகி3,commissioner,ஆணையர்  
"ꢂꢣ꣄ꢭꢥ꣄, ꢂꢣ꣄ꢥꢶ","अद्लन, अद्नि",அத்3லன்/அத்3னி,support,ஆதரவு  
"ꢭꢵꢨ꣄, ꢂꢣꢵꢮ꣄","लाब्, अदाव",லாப்3/அதா3வ்,profit,ஆதாயம்  
"ꢦ꣄ꢬꢩꢸꢡ꣄ꢮꣁ, ꢂꢬ꣄ꢒ꣄ꢫꢵꢬ꣄, ꢃꢤꢶꢦꢡ꣄ꢫꣁ","प्रभुत्वा॑, अर्क्यार, आधिपत्या॑",ப்ரபு4த்வொ/அர்க்யார்/ஆதி4பத்யொ,domination,ஆதிக்கம்  
ꢆꢡ꣄ꢦꢵꢣꢥꢱꢸꢭ꣄ꢒꣁ,उत्पादनसुल्को,உத்பாத3னஸுல்கொ,excise duty,ஆயத்தீர்வை  
"ꢱꢸꢭ꣄ꢒꣁ, ꢒꢬꣁ","सुल्का॑, करा॑",ஸுல்கொ/கரொ,tax,ஆயம்  
ꢃꢫꢸꢱ꣄ꢣꢠ꣄ꢞꢥꣁ,आयुस्दण्डना॑,ஆயுஸ்த3ண்ட3னொ,life imprisonment,ஆயுள் தண்டனை    
"ꢆꢡ꣄ꢱꢵꢲ꣄, ꢒꢮ꣄ꢡꢸꢒꣁ","उत्साह, कव्तुका॑",உத்ஸாஹ்/கவ்துகொ,zeal,ஆர்வம்  
"ꢃꢭꣂꢱꢥꣁ, ꢂꢩꢶꢦ꣄ꢬꢵꢫꢸ","आलोसना॑, अभिप्रायु",ஆலோஸனொ/ அபி4ப்ராயு,suggestion,ஆலோசனை  
"ꢭꢶꢓꢾꢦꢡ꣄ꢡꢬ꣄, ꢭꢿꢓ ꢦ꣄ꢬꢪꢵꢠꣁ","लिख॑पत्तर, लेख प्रमाणा॑",லிகெ2பத்தர்/      லேக2 ப்ரமாணொ,record/document,ஆவணம்  
ꢱꢵꢱꢥꢦꢒ꣄ꢰꣁ,सासन पक्षो,ஸாஸனபக்ஷொ,ruling party,ஆளுங்கட்சி  
ꢬꢵꢙ꣄ꢦꢵꢭ꣄,राज्पाल्,ராஜ்பால்,governor,ஆளுநர்  
ꢬꢵꢙ꣄ꢦꢵꢭꢥꣁ,राज्पालना॑,ராஜபாலனொ,governance,ஆளுமை  
"ꢏꢦ꣄ꢦꢶꢭꢶꢥꢶ, ꢱꢪ꣄ꢪꢡ꣄","आ॑प्पिलिनि, सम्मत",ஒப்பிலினி / ஸம்மத்,"consent, accord",இசைவு  
ꢒꢨꢥ꣄ꢣꢸꢱꢬ꣄ꢒꢵꢬ꣄,कबन्दु सर्कार्,கப3ந்து3ஸர்கார்,interim government,இடைக்கால அரசு   
"ꢂꢥ꣄ꢡꢬ꣄ꢥꢶꢰꢾꢤ꣄, ꢪꢴꢣ꣄ꢣꢶꢪꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ","अन्तर्निषेध, म्हद् मद्दिमु हिब्बड्णि",அந்தர்நிஷேத்4/ம:த்3தி3மு ஹிப்3ப3ட்3ணி,interim stay,இடைக்காலத் தடை   
"ꢣꢾꢬ꣄ꢒꢭꢶ, ꢪꢴꢣ꣄ꢫꢮꢬ꣄ꢡꢶ","तेर्कलि, म्हद्यवर्ति",தெர்களி/ம:த்3யவர்தி,"middle man,  broker",இடைத்தரகர்  
ꢂꢮ꣄ꢞꢒꢵꢭꢸ ꢗꢸꢥꢵꢮ꣄,अव्डकालु चुनाव,அவ்ட3காலுசுனாவ்,mid-term pole,இடைத்தேர்தல்  
"ꢪꢴꢣ꣄ꢣꢶꢪ꣄   ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ, ꢂꢮꢭꢪ꣄ꢨ꣄ꢥꣁ, ꢡꢡ꣄ꢒꢵꢭꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ","म्हद्दिमहिब्बड्णि अवलम्बना॑, तत्कालु हिब्बड्णि",ம:த்3தி3ம்  ஹிப்3ப3ட்3ணி / அவலம்ப3னொ/ தத்காலு ஹிப்3ப3ட்3ணி,suspension/interruption,இடைநிறுத்தம்  
"ꢌꢠ꣄ꢔꢶꢥꢶ, ꢂꢥꢸꢬꢹꢦꢡꣁ","ए॑ण्गिनि, अनुरूपता॑",எண்கி3னி/அனுரூபதொ,accordance,இணக்கம்  
ꢱꢲ ꢪꢥ꣄ꢡꢶꢬꢶ,सह मन्तिरि,ஸஹ மந்திரி,minister for state,இணையமைச்சர்  
"ꢱꢾꢬ꣄ꢗꢥ꣄ꢩꢵꢰꣁ, ꢱꢥ꣄ꢣꢶ ꢩꢵꢰꣁ","च॑र्चन्भाषा॑, सन्दि भाषा॑",செர்சன்பா4ஷொ/ ஸந்தி3 பா4ஷொ,link language,இணைப்புமொழி  
ꢱꢪ꣄ꢫꢸꢒ꣄ꢡ ꢱꢖ꣄ꢕꣁ,सम्युक्त सङ्घा॑,ஸம்யுக்த ஸங்கொ4,federation,இணையம்  
ꢱꢛ꣄ꢙꢶꢒꢾ,सञ्जिका॑,ஸஞ்ஜிகொ,issue (magazine),இதழ்  
ꢩꢵꢬꢡꢥꢶꢬ꣄ꢮꢵꢲꢸꢱꢿꢮꣁ,भारत निर्वाहु सेवा॑,பா4ரதநிர்வாஹுஸேவொ,Indian Admini strative Service,இந்திய ஆட்சிப்பணி   
ꢩꢵꢬꢡ ꢂꢦꢬꢵꢤꢸ ꢱꢵꢱꢥꣁ,भारत अपराधु सासना॑,பா4ரதஅபராது4 ஸாஸனொ,Indian Penal Code-IPC,இந்தியக் குற்றவியல் சட்டம்    
ꢃꢥ꣄ꢣꣂꢭ꣄,आन्दोल,ஆந்தோ3ல்,movement,இயக்கம்  
ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢱꢖ꣄ꢔꢪꣁ,कार्यालय सङ्गमा॑,கார்யாலய ஸங்க3மொ,directorate,இயக்ககம்
"ꢥꢶꢬ꣄ꢮꢵꢲꢶ, ꢥꢶꢬ꣄ꢣꢿꢱꢒ꣄, ꢂꢤ꣄ꢫꢒ꣄ꢰꣁ","निर्वाहि, निर्देसक,  अध्यक्षो",நிர்வாஹி / நிர்தே3ஸக்/ அத்4யக்ஷொ,director,இயக்குநர்  
ꢂꢣ꣄ꢫꢵꢫ꣄,अद्याय,அத்3யாய்,chapter,இயல்  
ꢗꢬ꣄ꢒꢵ,चर्का,சர்கா,charkha,இராட்டை  
ꢆꢬꢵꢮ꣄ꢱꣁꢬꢵꢮ꣄,उराव्सा॑राव,உராவ்ஸொராவ்,"stock, balance",இருப்பு  
ꢭꢒ꣄ꢰꢫꣁ,लक्ष्या॑,லக்ஷ்யொ,target,இலக்கு  
ꢪꢸꢣ꣄ꢬꣁ,मुद्रा॑,முத்3ரொ,"stamp, seal",இலச்சினை  
ꢮꢶꢩꢵꢒ,विभाक,விபா4க்3,department,இலாகா  
ꢫꢸꢮꢬꢵꢜ꣄,युवराट्,யுவராட்,prince,இளவரசன்  
"ꢫꢸꢮꢬꢵꢠꢶ, ꢫꢸꢮꢬꢵꢙ꣄ꢛꢶ","युवराणि, युवराजञि",யுவராணி/யுவராஜ்ஞி,princess,இளவரசி  
"ꢲꢸꢡ꣄ꢡꢸꢬꢵꢮ꣄, ꢲꢸꢡ꣄ꢡꢸꢬꢵꢜ꣄","हुत्तुराव, हुत्तुराट",ஹுத்துராவ்/ ஹுத்துராட்,import,இறக்குமதி  
ꢦ꣄ꢬꢡꢶ ꢧꣁꢳ꣄꣄,प्रतिफोळ,ப்ரதிபோ2ள்,compensation,ஈடு  
ꢆꢖ꣄ꢙꢪꢶꢡꢶ,उञचमिति,உஞ்சமிதி,ceiling,உச்சவரம்பு  
ꢆꢳ꣄ꢳꢸ,उळ्ळु,உள்ளு,abetment,உடந்தை  
"ꢱꢲꢗꢵꢬ꣄, ꢱꢥ꣄ꢤꢶ","सहचार्, सन्धि",ஸஹசார்/ஸந்தி4,"agreement, treaty, pact",உடன்படிக்கை  
"ꢦꢬꢱ꣄ꢦꢬ ꢱꢪ꣄ꢪꢥ꣄ꢣꣁ, ꢦꢬꢱ꣄ꢦꢬ ꢏꢱ꣄ꢡꢦꢥ꣄","परस्पर सम्मन्दा॑, परस्पर आ॑स्तपन",பரஸ்பர ஸம்மந்தொ3/ பரஸ்பர ஒஸ்தபன்,co - relation,உடனுறவு  
"ꢃꢲꢵꢬꢸ ꢮꢶꢩꢵꢔ꣄, ꢓꢥꢶ ꢮꢶꢩꢵꢔ꣄","आहारु विभाग, खनिविभाग",ஆஹாரு விபா4க்3 / க2னி விபா4க்3,food department,உணவுத்துறை  
ꢆꢡ꣄ꢡꢬꢮꢵꢣ꣄,उत्तरवाद,உத்தரவாத்3,guarantee,உத்தரவாதம்  
ꢃꢒ꣄ꢒꢸꢣꣁ,आक्कुtaaq,ஆக்குதொ,order,உத்தரவு
"ꢱꢲꢒꢵꢬ꣄, ꢱꢲꢵꢮ꣄","सहकार, सहाव",ஸஹகார் / ஸஹாவ்,aid,உதவி  
ꢆꢦ ꢪꢥ꣄ꢡꢶꢬꢶ,उप मन्तिरि,உப மந்திரி,assistant minister,உதவி அமைச்சர்   
ꢆꢦ ꢣꢹꢡ ꢥꢶꢮꢵꢱ꣄,उप दूत निवास्,உப தூ4தநிவாஸ்,consulate,உதவித்தூதரகம்   
ꢮꢿꢡꢥꣁ,वेतना॑,வேதனொ,stipend,உதவிப்பணம்  
"ꢆꢦꢶꢬ꣄, ꢮꢿꢥ꣄, ꢂꢣ꣄ꢣꢶ, ꢂꢡꢶꢬꢶꢒ꣄ꢡ","उपिर, वेन, अद्दि, अतिरिक्त",உபிர்/வேன்/அத்3தி3/ அதிரிக்த,surplus,உபரி  
ꢄꢗ꣄ꢗꢵ ꢦꢡ꣄ꢡꢬ꣄,इच्चा पत्तर,இச்சா பத்தர்,will,உயில்  
ꢂꢥꢸꢒ꣄ꢛꢵ ꢦꢸꢡ꣄ꢬꣁ,अनुकञा पत्रा॑,அனுக்ஞாபத்ரொ,licence,உரிமம்  
ꢨꢵꢣ꣄ꢫꣁ,बाद्या॑,பா3த்3யொ,right,உரிமை  
ꢨꢞ꣄ꢫꢮꢵꢥ꣄,बाद्यवान्,பா3த்3யவான்,"owner, proprietor",உரிமையாளர்  
"ꢙꢸꢥꢡ꣄ꢮꢵꢥ꣄, ꢓꢿꢡꢶ","जुनत्वान, खेति",ஜுனத்வான்/கே2தி,farmer,உழவர்  
ꢔ꣄ꢬꢲ ꢮꢶꢩꢵꢔ꣄,ग्रह विभाग,க்3ரஹ விபா4க்3,home department,உள்துறை  
ꢮꢶꢰꢫ ꢱꢸꢗꢶꢒꣁ,विषयसूचिका॑,விஷய ஸூசிகொ,content,உள்ளடக்கம்  
ꢂꢥ꣄ꢡꢬ꣄ ꢬꢵꢙ꣄ꢙꢶ,अन्तर्राज्जि,அந்தர்ராஜ்ஜி,local ad ministration,உள்ளாட்சி  
ꢥꢶꢮꢿꢰ꣄ꢫꣁ,निवेष्या॑,நிவேஷ்யொ,input,உள்ளீடு  
"ꢆꢡ꣄ꢦꢣ꣄, ꢆꢡ꣄ꢦꢵꢣꢥꣁ","उत्पद, उत्पादना॑",உத்பத்3/ உத்பாத3னொ,production,உற்பத்தி  
ꢤꢶꢞꢮꢵꢒ꣄,धिडवाक,தி4ட3வாக்,oath,உறுதிமொழி  
