ꢪꢷ,मी,மீ,mee,mI,mī,miː,I,நான்  
ꢂꢪꢶ,अमि,அமி,ami,ami,ami,əmɪ,we (incl.),நாம்  
ꢂꢪꢶ,अमि,அமி,ami,ami,ami,əmɪ,we (excl.),நாங்கள்  
ꢡꢹ,तू,தூ,too,tU,tū,t̪uː,you (sg.),நீ  
ꢡꢸꢪꢶ,तुमि,துமி,tumi,tumi,tumi,t̪umɪ,you (sg. hon.),நீர்  
ꢡꢸꢪꢶ,तुमि,துமி,tumi,tumi,tumi,t̪umɪ,you (sg. hon.),நீவீர்  
ꢡꢸꢪꢶ,तुमि,துமி,tumi,tumi,tumi,t̪umɪ,you (pl. and sg. hon.),நீங்கள்  
ꢌꢥꣁ,ए॑ना॑,எனொ,e'no',EnO,ĕnŏ,en̪o,he (prox.),இவன்  
ꢄꢥꣁ,इना॑,இனொ,ino',inO,inŏ,ɪn̪o,she (prox.),இவள்  
ꢌꢥꢸ,एनु,எனு,e'nu,Enu,ĕnu,en̪u,he (prox. hon.),இவர்  
ꢌꢥꢸ,एनु,எனு,e'nu,Enu,ĕnu,en̪u,they (prox.),இவர்கள்  
ꢌꢭ꣄ꢫꣁ,एल्या॑,எல்யொ,e'lyo',ElyO,ĕlyŏ,eljo,it (prox.),இது  
ꢌꢭ꣄ꢫꢾ,एल्ये,எல்யெ,e'lye',ElyE,ĕlyĕ,elje,they (prox. N.H.),இவை  
ꢡꢾꢥꣁ,त॑ना॑,தெனொ,te'no',tEnO,tĕnŏ,t̪en̪o,he (rem.),அவன்  
ꢡꢶꢥꣁ,तिना॑,தினொ,tino',tinO,tinŏ,t̪ɪn̪o,she (rem.),அவள்  
ꢡ꣄ꢫꣁ,त्या॑,த்யொ,tyo',tyO,tyŏ,t̪jo,it (rem.),அது  
ꢡ꣄ꢫꢾ,त्य॑,த்யெ,tye',tyE,tyĕ,t̪je,they (rem. N.H.),அவை  
ꢂꢦꢸꢭ꣄,अपुल,அபுல்,apul,apul,apul,əpul,reflexive (sg. hon.),தான்  
ꢂꢦ꣄ꢭꢵꢥ꣄,अप्लान्,அப்லான்,aplaan,aplAn,aplān,əplɑːn̪,reflexive (pluhon.),தாம்  
ꢡꢸꢪꢶ,तुमि,துமி,tumi,tumi,tumi,t̪umɪ,reflexive you (plu. hon.),தாங்கள்  
ꢒꣂꢥ꣄,कोन्,கோன்,kon,kon,kon,koːn̪,he (inter.),எவன்  
ꢒꣂꢥ꣄,कोन्,கோன்,kon,kon,kon,koːn̪,she (inter.),எவள்  
ꢒꣂꢥ꣄,कोन्,கோன்,kon,kon,kon,koːn̪,he (inter. hon.),எவர்  
ꢒꣂꢥ꣄ꢒꣂꢥ꣄,कोन् कोन्,கோன்கோன்,konkon,konkon,konkon,koːn̪koːn̪,they (inter.),எவர்கள்  
ꢒꣂꢥꢾ,कोन॑,கோனெ,kone',konE,konĕ,koːn̪e,which,எது  
ꢒꣂꢥ꣄ꢫꢾ,कोन्य॑,கோன்யெ,konye',konyE,konyĕ,koːn̪je,which,எது  
ꢒꣂꢥꢾ,कोन॑,கோனெ,kone',konE,konĕ,koːn̪e,which (pl.),எவை  
ꢒꣂꢥ꣄ꢫꣁ,कोन्या॑,கோன்யொ,konyo',konyO,konyŏ,koːn̪jo,which (pl.),எவை  
ꢒꣂꢥ꣄,कोन्,கோன்,kon,kon,kon,koːn̪,who,யார்  
