ꢂꢣꢶꢪꢤꢸꢬꢪ꣄,अदिमधुरम,அதி3மது4ரம்,licorice,அதிமதுரம்  
ꢡꢥ꣄ꢣꢸ,तन्दु,தந்து3,rice,அரிசி  
ꢍꢬꢠ꣄ꢞꣁ,एरण्डा॑,ஏரண்டொ3,castor,ஆமணக்கு  
ꢂꢭ꣄ꢭꣁ,अल्ला॑,அல்லொ,ginger,இஞ்சி  
ꢭꣁꢪ꣄ꢧꢹꢭ꣄,ला॑म्पूल,லொம்பூ2ல்,cloves,இலவங்கம்  
ꢪꢷꢜ꣄,मीट्,மீட்,salt,உப்பு  
"ꢆꢖ꣄ꢒꣁ, ꢣꢸꢱꣁ","उङ्का॑, दुसा॑",உங்கொ/துஸொ,husk of paddy,உமி  
ꢤꢹꢳ꣄꣄ꢪꢹꢳ꣄꣄,धुळ्मूळ,து4ள்மூள்,potato,உருளைக் கிழங்கு   
ꢒꢥ꣄ꢣꣁ,कन्दा॑,கந்தொ3,onion,உள்ளி  
ꢆꢞꢶꢡ꣄,उडित्,உடி3த்,blackgram,உளுந்து  
ꢡꢿꢭ꣄,तेल्,தேல்,oil,எண்ணெய்  
ꢡꢷꢳ꣄꣄,तीळ,தீள்,gingili,எள்ளு  
ꢌꢭꣁ,एला॑,எலொ,cardamom,ஏலம்  
ꢏꢪꣁ,आ॑मा॑,ஒமொ,bishop`s weed,ஓமம்  
ꢔꢱꢔꢱꢵꢭ꣄,गसगसाल,க3ஸக3ஸால்,poppy seed,கசகசா  
ꢗꢾꢥ꣄ꢥꣁ,च॑न्ना॑,சென்னொ,Bengal gram,பொரிக்கடலை  
ꢪꢴꢸꢬꢶ,म्हुरि,மு:ரி,mustard,கடுகு  
ꢭꢮꢖ꣄ꢔ ꢦꢜ꣄ꢜꣀ,लवङ्गपट्टै,லவங்க3 பட்டொ,cinnamon,கருவாப்பட்டை  
"ꢓꢾꢠ꣄ꢞꢸ, ꢄꢒ꣄ꢱꢸꢔꢾꢞ꣄ꢞꣁ","ख॑ण्डि, इक्षुग॑ड्डा॑",கெ2ண்டு3/ இக்ஷுகெ3ட்3டொ3,Sugar crystal,கல்கண்டு  
ꢒꢸꢳꢶꢡ꣄ ,कुळित,குளித்,horsegram,"காணம், கொள்ளு  "
ꢒꢵꢦꢶꢩꢸꢬ꣄ꢒꣁ,कापिभुर्का॑,காபிபு4ர்கொ,coffee powder,காப்பிப்பொடி  
ꢲꢶꢖ꣄ꢔꢸ ,हिङ्गु,ஹிங்கு3,asafoetida,பெருங்காயம்  
ꢬꣁꢪ꣄ꢧꢸꢭ꣄,रोम्फुल्,ரொம்பு2ல்,,
ꢒꢶꢱ꣄ꢪꢶꢱ꣄,किस्मिस्,கிஸ்மிஸ்,Drygrapes,கிஸ்மிஸ்  
"ꢒꢸꢖ꣄ꢒꢸꢪ꣄ꢧꢸꢭ꣄, ꢒꢾꢱꢬꢶ ","कुङ्कुम्फूल्, केसरि",குங்கு3ம்பூ2ல்/கேஸரி,saffron,குங்குமப்பூ  
ꢃꢬꢮꢭ꣄ꢭꢶ ꢩꢸꢬ꣄ꢒꣁ,आरवल्लि भुका॑,ஆரவல்லிபு4ர்கொ,arrowroot powder,கூழுமாவு  
ꢬꢴꢔꢶ,र्हगि,ர:கி3,ragi,கேழ்வரகு  
ꢒꢿꢱꢬꢶꢩꢸꢬ꣄ꢒꣁ,केसर्भुका॑,கேஸரி பு4ர்கொ,saffron powder,கேசரி  
ꢒꢗ꣄ꢗꢾꢥ꣄ꢥꣁ,कच्च॑न्ना॑,கச்சென்னொ,Bengal gram,கொண்டைக் கடலை   
"ꢤꢥꢶꢫꢵ, ꢒꣁꢡ꣄ꢡꢪꢭ꣄ꢭꢶ","धनिया, का॑त्तमल्लि",த4னியா/கொத்தமல்லி,coriander,கொத்துமல்லி  
ꢱꢸꢒ꣄ꢒꢾ ꢥꢬꢾꢭ꣄,सुक्क॑ नर॑ल,ஸுக்கெநரெள்,copra,கொப்பரைக் தேங்காய்    
"ꢕꣁꢪꢸ, ꢕꣂꢪ ꢡꢥ꣄ꢣꢸ","घोमु, घोम तन्दु",கோ4மு/ கோ4ம தந்து3,wheat,கோதுமை  
ꢱꢾꢒ꣄ꢒꢬ꣄,सेक्कर्,ஸெக்கர்,sugar,சர்க்கரை  
ꢥꢶꢳꢪ꣄,निळम्,நிளம்,green gram,சிறுபயிறு  
ꢱꢶꢔꢵꢫ꣄ꢩꢸꢬ꣄ꢒꣁ,सिगाय्भुका॑,ஸிகா3ய்பு4ர்கொ,soapnut powder,சிகைக் காய்ப்பொடி   
ꢙꢶꢬꣁ,जिरा॑,ஜிரொ,cummin seeds,சீரகம்  
ꢱꢾꢒ꣄ꢒꢬ꣄,सेक्कर्,ஸெக்கர்,sugar,சீனி  
ꢗꢾꢒ꣄ꢒꢬ꣄ ꢒꢾꢳꢖ꣄ꢒꢸ,स॑क्कर क॑ळङ्कु,ஸெக்கரு கெளங்கு3  ,sweet potato,சீனிக் கிழங்கு   
ꢱꣁꢠ꣄ꢜꢶ,सा॑ण्टि,ஸொண்டி,dry ginger,சுக்கு  
ꢫꣂꢞ ꢪꢷꢜ꣄,सा॑डा मीट्,ஸோடா3மீட்,caustic soda,சோடா உப்பு   
ꢚꣁꢳ꣄ꢳꣁ,झा॑ळ्ळा॑,ஜொ2ள்ளொ,maize,சோளம்  
ꢒꣁꢠ꣄ꢞꣁ,का॑ण्डा॑,கொண்டொ3,bran,தவிடு  
ꢤꣂꢬꢸꢨꢾꢳꣁ ,थोरु ब॑ळा॑,தோ2ருபெ3ளொ,arahar daal,துவரம் பருப்பு   
ꢤꣂꢬ꣄,थोर्,தோ2ர்,arahar pod,துவரை  
ꢥꢬꢸꢳꢸ ꢡꢾꢭ꣄,नरळु तेल,நரளுதேல்,coconut oil,தேங்காய் எண்ணெய்   
ꢜꢷ,टी,டீ,tea,தேயிலை  
ꢗꣁꢒꢜ꣄ꢡꢾꢭ꣄,चा॑कट्तेल,சொகட்தேல்,gingili oil,நல்லெண்ணெய்  
"ꢩꣁꢄꢄ ꢗꢾꢥ꣄ꢥꣁ, ꢒꢞꢭꢾ","भोइ~ च॑न्ना॑, कडल॑",பொ4இ~ சென்னொ/கட3லெ,ground nut,நிலக்கடலை  
ꢱꢵꢭ꣄,साल्,ஸாள்,paddy,நெல்  
ꢦꢜ꣄ꢜꢵꢠꢶ,पट्टाणि,பட்டாணி,peas,பட்டாணி  
ꢨꢾꢳꣁ ,ब॑ळा॑,பெ3ளொ,daal,பருப்பு  
ꢱꢶꢱ꣄ꢭꣁ,सिस्ला॑,ஸிஸ்லொ,provisions,பலசரக்கு  
ꢂꢦ꣄ꢦꢳ꣄,अप्पळ,ஹப்பள்,arecanut,பாக்கு  
ꢥꢶꢭꢪꢸ꣄ ꢨꢾꢳꣁ,निलमु ब॑ळा॑,நிளமுபெ3ளொ,green gram,பாசிப்பயிறு  
ꢨꢵꢣꢵꢪ꣄,बादाम्,பா3தா3ம்,almond,பாதாம் பருப்பு   
ꢨꢵꢬ꣄ꢭꢶ,बार्लि,பா3ர்லி,barley,பார்லி  
ꢤꢸꢪ꣄ꢦꢵꢥ꣄,धुम्पान्,து4ம்பான்,tobacco,புகையிலை  
ꢲꢸꢞ ꢡꢥ꣄ꢣꢸ,हुड तन्दु,ஹுட3 தந்து3,boiled rice,புழுங்கல் அரிசி   
