Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢣꣁꢨ꣄ꢨꢶ,दा॑ब्बि,தொ3ப்3பி3,do'bbi,dObbi,dŏbbi,d̪obbɪ,keep (them) wide,அகட்டு (இன்)  
ꢙꢵ,जा,ஜா,jaa,jA,jā,d͡ʒɑː,go away,அகல் (ன்ற்)  
ꢒꢹꢔ꣄,कूग,கூக்3,koog,kUg,kūg,kuːg,cock (like pea-cock),அகவு (இன்)  
ꢲꢿꢜ꣄,हेट्,ஹேட்,het',heT,heṭ,ɦeːʈ,"remove, separate",அகற்று (இன்)  
ꢂꢖ꣄ꢔꢶꢒꢵꢬ꣄,अङ꣄किकार्,அங்கி3கார்,angikaar,aGgikAr,aṅgikār,əŋgɪkɑːɾ,recognize,அங்கீகரி (த்த்)  
ꢲꢭ꣄ꢭꢵꢜ꣄,हल्लाट्,ஹல்லாட்,hallaat',hallAT,hallāṭ,ɦəllɑːʈ,to move(something),அசை (ந்த்)  
ꢤꢵꢒ꣄,धाक्,தா4க்,dhaak,dhAk,dhāk,d̪ʰɑːk,fear,அஞ்சு (இன்)  
ꢆꢜ꣄ꢔꢵꢜ꣄,उट्गाट्,உட்3கா3ட்,ut'gaat',uTgAT,uṭgāṭ,uʈgɑːʈ,subdue,அடக்கு (இன்)  
ꢆꢜ꣄ꢔꢶ,उट्गि,உட்3கி3,ut'gi,uTgi,uṭgi,uʈgɪ,to be subdued,அடங்கு (இன்)  
ꢲꢵꢥ꣄,हान्,ஹான்,haan,hAn,hān,ɦɑːn̪,beat,அடி (த்த்)  
ꢭꢥ꣄ꢣꢶ,लन्दि,லந்தி3,landi,landi,landi,lən̪d̪ɪ,approach,அடு (த்த்)  
ꢱꢾꢥ꣄ꢡꢶ,स॑न्ति,ஸெந்தி,se'nti,sEnti,sĕnti,s̪en̪t̪ɪ,arrange,அடுக்கு (இன்)  
ꢙꢷ ꢗꢿꢬ꣄,जी चेर्,ஜீசேர்,jee cher,jI cer,jī cer,d͡ʒiː t͡ʃeːɾ,To reach,அடை (ந்த்)  
ꢚꢵꢔꢶ,झागि,ஜா2கி3,jhaagi,jhAgi,jhāgi,d͡ʒʰɑːgɪ,close,அடை (த்த்)  
ꢆꢛBꢗꣁ ꢱꢵ,उञ꣄चा॑ सा,உஞ்சொ ஸா,unyaBcho' saa,uJaBcO sA,uñaBcŏ sā,uɲəBt͡ʃo s̪ɑː,see up,அண்ணார் (ந்த்)  
ꢕꢭ꣄ꢭꢾ,घल्ले,க4ல்லே,ghalle',ghallE,ghallĕ,gʰəlle,wear,அணி (ந்த்)  
ꢧꢶꢬ꣄ꢭꢾ,फिर्ले,பி2ர்லே,phirle',phirlE,phirlĕ,pʰɪɾle,wear,அணி (ந்த்)  
ꢪꢴꢮ꣄ꢭꢫꢶ ꢙꢵ,म्हव्लयि जा,ம:வ்லயி ஜா,mhavlayi jaa,mhavlayi jA,mhavlayi jā,mɦəʋləjɪ d͡ʒɑː,be extinguished,அணை (ந்த்)  
ꢪꢴꣃꢭꢶ,म्हौलि,மௌ:லி,mhauli,mhauli,mhauli,mɦəulɪ,extinguish,அணை (த்த்)  
ꢒꢨꢶꢭ꣄ꢭꢾ,कबिल्ले,கபி3ல்லே,kabille',kabillE,kabillĕ,kəbɪlle,embrace,அணை (த்த்)  
ꢭꢾꢔꢸꢡ꣄ꢡ  ꢙꢵ,ल॑गुत्त जा,லெகு3த்த ஜா,le'gutta  jaa,lEgutta  jA,lĕgutta  jā,legut̪t̪ə  d͡ʒɑː,approach,அணுகு (இன்)  
ꢦꢬ꣄ꢮꢒꢿꢬ꣄,पर्वकेर,பர்வகேர்,parvaker,parvaker,parvaker,pəɾʋəkeːɾ,rebuke,அதட்டு (இன்)  
