ꢮꢶꢭꢵꢱ꣄,विलास्,விலாஸ்,width,அகலம்  
ꢬꢸꢥ꣄ꢣꢶ,रुन्दि,ருந்தி3,width,அகலம்  
ꢃꢒꢵꢬ꣄,आकार्,ஆகார்,size/ structure,அமைப்பு  
ꢲꢡ꣄ꢡꢸ ꢮꢬ꣄ꢡꢸꢭꣁ,हत्तुवर्दुला॑,ஹத்துவர்துலொ,hemisphere,அரைவட்டம்  
ꢱꢪꢵꢥ꣄ꢡꢬꢸ ꢬꢾꢓꢵꢥ꣄,समान्तरु रेखान,ஸமாந்தரு ரேகா2ன்,parallel lines,இணைக்கோடுகள் 
ꢆꢖ꣄ꢗꣁ,उञ्चा॑,உஞ்சொ,height,உயரம்  
ꢔꣁꢳ꣄,गोळ,கோ3ள்,"globe, round",உருண்டை  
ꢤꢸꢬꢸꢳ꣄,धुरुळ,து4ருள்,cylinder,உருளை  
ꢩꢵꢬ꣄,भार्,பா4ர்,weight,எடை  
ꢩꣁꢬꢠ,भा॑रण,பொ4ரண்,volume,கன அளவு   
ꢕꢥꢵꢒꢵꢬ꣄,घनाकार,க4னாகார்,cube,கன சதுரம்   
ꢦꢵꢄ~ ꢦꢬꢶꢤꢶ,पाइ~ परिधि,பாஇ~ பரிதி4,Quadrant,கால்வட்டம்  
ꢒꢸꢳ꣄ꢳꣁ,कुळ्ळा॑,குள்ளொ,short,குட்டை  
ꢒꢬ꣄ꢠꣁ,कर्णा॑,கர்ணொ,diameter,குறுக்களவு  
ꢮ꣄ꢫꢵꢱ꣄,व्यास,வ்யாஸ்,diameter,குறுக்களவு  
ꢯꢖ꣄ꢒꢸ,शङ्कु,ஶங்கு,cone,கூம்பு  
ꢒꣂꢠ꣄,कोण,கோண்,angle,கோணம்  
ꢔꣂꢭ꣄,गोल,கோ3ள்,sphere,கோளம்  
ꢗꢡꢸꢬ꣄,चतुर,சதுர்,square,சதுரம்  
ꢗꢪꢗꢡꢸꢬ꣄,चमचतुर,ஸமசதுர்,cube,சமசதுரம்  
ꢡꢶꢬ꣄ꢫꢒ꣄ ꢃꢒꢵꢬ꣄,तिर्यक आकार,திர்யக் ஆகார்,slant,சாய்வு  
ꢃꢫꢡ ꢃꢒꢵꢬ꣄,आयत आकार,ஆயத ஆகார்,rectangle,செவ்வகம்  
ꢪꢹꢬꣁ,मूरा॑,மூரொ,length,நீளம்  
ꢭꢾꢪ꣄ꢨꣁ,लम्बा॑,லம்பொ3,length,நீளம்  
ꢭꢵꢪ꣄,लाम,லாம்,length,நீளம்  
ꢒꢺꢬꢸꢔ ꢗꢵꢫꢡ꣄,कृग चायत,க்ருகசாயத்,prism,பட்டகம்  
ꢦꢶꢬꢶꢪꢵꢠ꣄,पिरिमाण्,பரிமாண்,dimension,பரிமாணம்  
ꢣꢾꢳ꣄,देळ,தே3ள்,stoutness,பருமன்  
ꢢꢷꢥ꣄ꢒꣂꢥꢸꢭ꣄ꢡ꣄ꢬꢶꢒꣂꢠ꣄,थीन्कोनुल्त्रिकोण,தீ2ன்கோணுல்,triangle,முக்கோணம்  
ꢢꢷꢥ꣄ꢒꣂꢥꢸꢭ꣄ꢡ꣄ꢬꢶꢒꣂꢠ꣄,थीन्कोनुल्त्रिकोण,த்ரிகோண்,triangle,முக்கோணம்  
ꢂꢠ꣄ꢜꢵꢒꢵꢬ꣄,अण्टाकार्,அண்டாகார்,oval shape,முட்டைவடிவம்  
ꢃꢒꢵꢬ꣄,आकार्,ரூப்,shape,வடிவம்  
