ꢂꢱ꣄ꢡꢪꢥꣁ,अस्तमना॑,அஸ்தமனொ,Sun setting,அஸ்தமனம்  
ꢂꢒꢵꢯ꣄ ꢔꢾꢖ꣄ꢔꣁ,अकाष् ग॑ङगा॑,அகாஸு கெ3ங்கொ3,milkyway,ஆகாயகங்கை  
ꢂꢒꢵꢱ꣄,अकास,அகாஸ்,sky,ஆகாயம்  
ꢮꢵꢦ꣄,वाप्,வாப்,steam,ஆவி  
ꢦꢮꢶ,पवि,பவி,thunder,இடி  
ꢦꢶꢞꢸ,पिडु,பிடு3,thunder,இடி  
ꢲꢥ꣄ꢣꢵꢬ꣄,हन्दार्,ஹந்தா3ர்,darkness,இருட்டு  
ꢔꢾꢮꢶ,ग॑वि,கெ3வி,darkness,இருட்டு  
ꢆꢣꢫꢪ꣄,उदयम्,உத3யம்,"rise (Sun, Moon)",உதயம்  
ꢱꢸꢬꢶꢡꢸ ꢥꢶꢒꢶꢭ꣄ꢥꢶ,सुरितु निकिल्नि,ஸுரிது நிகிள்னி,"rise (Sun, Moon)",உதயம்  
ꢙꢵꢳꢸꢗꢸꢒ꣄ꢒꣁ,जाळुचुक्का॑,ஜாளுசுக்கொ,shooting star,எரி நட்சத்திரம்   
ꢂꢔꢗꢵꢭ꣄ ꢂꢫ꣄ꢣꢸ,अगचाल्अय्दु,அக3சால்அய்து3,rocket,ஏவுகணை  
ꢦ꣄ꢬꢒ꣄ꢰꢾꢦꢥꣁ,प्रक्षेपना॑,ப்ரக்ஷேபனொ,rocket,ஏவுகணை  
ꢕꢶꢬꢵꢠ꣄,घिराण,கி4ராண்,eclipse,கிரகணம்  
ꢔꣁꢳ꣄꣄,गोळ,கோ3ள்,planet,கிரகம்  
ꢒꢶꢬꢠ꣄,किरण्,கிரண்,"rays, beam",கிரணம்  
ꢒꢿꢡꢸ,केतु,கேது,uranus,கேது  
ꢗꢥ꣄ꢣ꣄ꢬ ꢕ꣄ꢬꢵꢠ꣄,चन्दर घ्राण,சந்த்3ரக்4ராண்,lunar eclipse,சந்திர கிரகணம்    
ꢗꢵꢥ꣄ꢣꢸ ꢕ꣄ꢬꢵꢠ꣄,चान्दु घ्राण,சாந்து3 க்4ராண்,lunar eclipse,சந்திர கிரகணம்    
