ꢭꢾꢔꢸꢡ꣄ꢡꢵ ꢣꢶꢥ꣄ꢥꢸ,ल॑गुत्ता दिन्नु,லெகு3த்தா தி3ன்னு,le'guttaa dinnu,lEguttA dinnu,lĕguttā dinnu,legut̪t̪ɑː d̪ɪn̪n̪u,next day,அடுத்த நாள்   
ꢲꢣ꣄ꢣꢸꢬꢵꢡ꣄,हद्दुरात्,ஹத்3து3ராத்,hadduraat,haddurAt,haddurāt,ɦəd̪d̪uɾɑːt̪,mid-night,அர்த்த ராத்திரி   
ꢡꢾꢥ꣄ꢣꢸꢱ꣄,त॑न्दुस,தெந்து3ஸ்,te'ndus,tEndus,tĕndus,t̪en̪d̪us̪,that day,அன்று  
ꢏꢬ꣄ꢱꢸ,आ॑र्सु,ஒர்ஸு,o'rsu,Orsu,ŏrsu,oɾs̪u,year,ஆண்டு  
ꢬꢵꢡ꣄,रात्,ராத்,raat,rAt,rāt,ɾɑːt̪,night,இரவு  
ꢬꢵꢣꢶ,रादि,ராதி,raadi,rAdi,rādi,ɾɑːd̪ɪ,night,இரவு  
ꢲꢶꢥ꣄ꢣꣁ,हिन्दा॑,ஹிந்தொ3,hindo',hindO,hindŏ,ɦɪn̪d̪o,today,இன்று  
ꢒꣂꢥ꣄ꢫ ꢣꢶꢥ꣄ꢥꢸ,कोन्य दिन्नु,கோன்ய தி3ன்னு,konya dinnu,konya dinnu,konya dinnu,koːn̪jə d̪ɪn̪n̪u,which day,என்று  
ꢒꣂꢥ꣄ꢫ ꢣꢶꢥ꣄ꢥꢸ,कोन्य दिन्नु,,konya dinnu,konya dinnu,konya dinnu,koːn̪jə d̪ɪn̪n̪u,which day,என்று  
ꢒꢵꢭꢸ,काल,கால்,kaalu,kAlu,kālu,kɑːlu,"period, time",காலம்  
ꢮꢿꢳ꣄,वेळ,வேள்,vel',veL,vel̤,ʋeːɭ,"period, time",காலம்  
ꢧꢭ꣄ꢡꢶ ꢧꢵꢬ꣄,फल्तिफार,ப2ல்தி பா2ர்,phalti phaar,phalti phAr,phalti phār,pʰəlt̪ɪ pʰɑːɾ,morning,காலை  
ꢱꣁꢳ ꢶꢧꢵꢬ꣄,सा॑ळिफार,ஸொளி பா2ர்,so'l'a iphaar,sOLa iphAr,sŏl̤a iphār,s̪oɭə ɪpʰɑːɾ,morning,காலை  
ꢧꣀꢭ ꢧꢵꢬ꣄,फैल फार,பை2ல பா2ர்,phaila phaar,phaila phAr,phaila phār,pʰəɪlə pʰɑːɾ,morning,காலை  
ꢣꢶꢥ꣄ꢥꢸ,दिन्नु,தி3ன்னு,dinnu,dinnu,dinnu,d̪ɪn̪n̪u,"day, week",கிழமை  
ꢮꢵꢬ꣄,वार्,வார்,vaar,vAr,vār,ʋɑːɾ,"day, week",கிழமை  
ꢱꢔꢨ꣄꣄ꢡꢸ,सकाब्दु,ஸகாப்3து3,sagabtu,sagabtu,sagabtu,s̪əgəbt̪u,saka/era,சகாப்தம்  
ꢮꢿꢳ꣄,वेळ,வேள்,vel',veL,vel̤,ʋeːɭ,time,சமயம்  
ꢮꢷꢳ꣄ ꢮꢾꢳꢸ,वीळ्वेळु,வீள் வேளு,veel' ve'l'u,vIL vELu,vīl̤ vĕl̤u,ʋiːɭ ʋeɭu,evening,சாயங்காலம்  
ꢮꢷꢳ꣄ ꢱꢾꢥ꣄ꢣꢸꢭꣁ,वीळ स॑न्दुला॑,வீள்ஸெந்து3லொ,veel' se'ndulo',vIL sEndulO,vīl̤ sĕndulŏ,ʋiːɭ s̪en̪d̪ulo,evening,சாயங்காலம்  
ꢪꢴꢞꣁ,म्हडा॑,ம:டொ3,mhad'o',mhaDO,mhaḍŏ,mɦəɖo,month,திங்கள்  
ꢣꢶꢥ꣄ꢥꢸ,दिन्नु,தி3ன்னு,dinnu,dinnu,dinnu,d̪ɪn̪n̪u,date,தேதி  
