ꢂꢖ꣄ꢔꢶꢞꢶ,अङगिडि,அங்கி3டி3,"shop, market",அங்காடி  
ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,अङगीकार्,அங்கீ3கார்,approval,அங்கீகாரம்  
ꢒꢸꢣꣁ,कुदा॑,குதொ3,pawn,அடகு/அடமானம்  
ꢒꢸꢣꢵꢖ꣄ꢔꢶꢞꢶ,कुदाङकिडि,குதா3ங்கி3டி3,pawn broker,அடகுக்கடை  
ꢃꢣꢬꣁ,आदरा॑,ஆத3ரொ,support,ஆதரவு  
ꢱꢲꢫꣁꢔ꣄,सहयोग,ஸஹயோக்3,support,ஆதரவு  
ꢃꢣꢵꢮ꣄,आदाव्,ஆதா3வ்,profit,ஆதாயம்  
ꢌꢥ꣄ꢡꢸꢬ꣄,ए॑न्तुर्,எந்துர்,machine,இயந்திரம்  
ꢲꢹꢣꢵꢬ,हूदार,ஹூதா3ர்,borrowal,இரவல்  
ꢬꢴꢥꢶ,र्हनि,ர:னி,stock,இருப்பு  
ꢔꣁꢱ꣄,गोस,கோ3ஸ்,free (as gift /present),இலவசம் / இனாம்  
ꢥꢶꢱ꣄ꢱꢸꢭ꣄ꢒꣁ,निस्सुल्का॑,நிஸ்ஸுல்கொ,free (as gift /present),இலவசம் / இனாம்  
ꢲꢸꢡ꣄ꢬꢵꢮ꣄,हुत्राव,ஹுத்ராவ்,import,இறக்குமதி  
ꢕꢸꢪ꣄ꢦꢸ,घुम्पु,கு3ம்பு,variety,இனம்  
ꢔꣂꢱ꣄,गोस्,கோ3ஸ்,free,இனாம்
ꢆꢡ꣄ꢬꢮꢵꢣ꣄,उत्रवाद्,உத்ரவாத்3,guarantee,உத்தரவாதம்  
ꢨꢵꢣ꣄ꢫꢮꢵꢥ꣄,बाद्यवान्,பா3த்3யவான்,owner,உரிமையாளர்  
ꢱꢹꢮꢵꢥ꣄ꢣꢵꢬ꣄,सुवान्दार्,ஸுவாந்தா3ர்,owner,உரிமையாளர்  
ꢂꢥ꣄ꢡꢬ꣄ꢒꢬꣁ,स्दलीयकरा॑,ஸ்த2லீயகரொ,local tax,உள்ளூர்வரி  
ꢱꢷꢭ꣄ꢒꢪ꣄,सुल्का॑,ஸுல்கொ,local tax,உள்ளூர்வரி  
ꢱꢵꢮꢤꢵꢥ꣄,सावधान,ஸாவதா4ன்,warning,எச்சரிக்கை  
ꢌꢭꢪ꣄,एलम्,எலம்,auction,ஏலம்  
ꢥꢷꢭꢵꢪ꣄,नीलाम,நீலாம்,auction,ஏலம்  
ꢲꢶꢖ꣄ꢔꢵꢮ꣄,हिङगाव्,ஹிங்கா3வ்,export,ஏற்றுமதி  
ꢬꢷꢠ꣄,रीण्,ரீண்,"debt, loan",கடன்  
ꢂꢖ꣄ꢔꢶꢞꢶ,अङगिडि,அங்கி3டி3,shop,கடை  
ꢂꢖ꣄ꢔꢶꢞꢶ ꢒꢾꢬꣁ,अङगिडिक॑रा॑,அங்கி3டி3கெரொ,shop keeper,கடைக்காரன்  
ꢒꢮ꣄ꢭꢶꢥꢶ,कव्लिनि,கவ்லினி,mixture,கலவை  
ꢪꢶꢱ꣄ꢬꢥꣁ,मिस्रना॑,மிஸ்ரனொ,mixture,கலவை  
ꢣꣁꢨ꣄ꢨꢶꢥꢶ,दोब्बिनि,தொ3ப்3பி3னி,discount,கழிவு  
ꢩꢶꢞ꣄ꢥꢶ,भिड्नि,பி4ட்3னி,discount,கழிவு  
ꢦꢸꢛ꣄ꢙꣁ,पुन्जा॑ कपिनि,புஞ்ஜொ,discount,கழிவு  
ꢒꢦꢶꢥꢶ,पुन्जा॑ कपिनि,கபினி,discount,கழிவு  
ꢏꢠ꣄ꢜ꣄ꢫꣁꢱ꣄ꢪꣁꢭ꣄,आ॑ण्ट्या॑स्मोल,ஒண்ட்யொஸ்மோல்,fixed price,கறார்  
ꢓꢾꢬꢵꢬꢸꢪꣁꢭ꣄,ख॑रारुमोल,கெ2ராருமோல்,fixed price,கறார்  
ꢒꢵꢱ꣄,कास्,காஸ்,money,காசு  
ꢲꢥ꣄ꢥꢮ꣄,हन्नव्,ஹன்னவ்,money,காசு  
ꢲꢥ꣄ꢥ꣄ꢮꢸꢦꢡ꣄ꢬꢸ,हन्नवुपत्रु,ஹன்னவுபத்ரு,cheque,காசோலை  
ꢨꢷꢪꣁ,बीमा॑,பீ3மொ,guarantee (insurance),காப்புறுதி  
ꢙꢷꢮꢥꢬꢒ꣄ꢰꣁ,जीवनरक्ष्,ஜீவன ரக்ஷொ,guarantee (insurance),காப்புறுதி  
ꢒꢵꢭꢵꢮꢤꢶ,कालावदि,காலாவதி4,expiry,காலாவதி  
ꢮꢿꢳꢸ ꢱꢪꢵꢦ꣄ꢡꢶ,वेळु समाप्ति,வேளு ஸமாப்தி,expiry,காலாவதி  
ꢪꢸꢱꢥ꣄ ꢒꢵꢭ꣄,मुसन्काल,முஸன் கால்,expiry,காலாவதி  
ꢔꢶꢜ꣄ꢜꢖ꣄ꢔꢶ,दिट्टङगि,கி3ட்டங்கி3,godown,கிடங்கு  
ꢒꢸꢜꢶꢭꢸ ꢆꢣ꣄ꢫꣂꢔ꣄,क्टिलु उद्योग,குடிலு உத்3யோக்3,cottage industry,குடிசைத் தொழில்   
ꢪꢶꢭꢥ꣄ꢮꢞ꣄ꢞꢶ,मिलन्वड्डि,மிளன்வட்3டி3,compound interest,கூட்டு வட்டி   
ꢮꢬ꣄ꢤꢥꢮ꣄ꢬꢸꢣ꣄ꢤꢶ,वधनव्रुद्धि,வர்த4னவ்ருத்3தி4,compound interest,கூட்டு வட்டி   
ꢱꢲꢫꣂꢔꢸ ꢱꢖ꣄ꢕꢸ,सहयोगु सङ्घु,ஸஹயோகு3 ஸங்கு4,co-operative society,கூட்டுறவுச் சங்கம்   
ꢲꢵꢡꢸ ꢦꣁꢡꢶ,हतु पा॑ति,ஹாது பொதி,handbook,கையேடு  
ꢣꢾꢥꢶꢓꢜ꣄ꢠꢶ,देनिखट्णि,தெ3னிக2ட்3ணி,transaction,கொடுக்கல் வாங்கல்   
ꢱꣁꢖ꣄ꢔꢵꢪꣂꢭ꣄,सा॑ङगामोल्,ஸொங்கா3மோல்,fair price,சகாயவிலை  
ꢥ꣄ꢫꢵꢮꢸꢪꣁꢭ꣄,न्यावु मोल,ந்யாவு மோல்,fair price,சகாயவிலை  
ꢦ꣄ꢬꢡꢶ ꢯꣁꢡ꣄,प्रति शोत,ப்ரதிஶோத்,percentage,சதவீதம்  
ꢦ꣄ꢬꢡꢶ ꢱꣁꢮꢸ,प्रति सोवु,ப்ரதிஸோவு,percentage,சதவீதம்  
